#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Sahn SA, Heffner JE. Pleural fluid analysis. Textbook of pleural diseases. 2008;None.",Pleural fluid analysis,Textbook of pleural diseases,2008,,,,,,Sahn SA; Heffner JE
100,"Debeljak A, Kecelj P. Medical thoracoscopy: wxperience with 212 patients. J BUON. 2000;5(2L):107.",Medical thoracoscopy: wxperience with 212 patients,J BUON,2000,5,2L,107,,,Debeljak A; Kecelj P
101,"Fielding D, Hopkins P, Serisier D et al.. Frozen section of pleural biopsies at medical thoracoscopy assists in correctly identifying benign disease. Eur Respir J. 1992;10(3):110.",Frozen section of pleural biopsies at medical thoracoscopy assists in correctly identifying benign disease,Eur Respir J,1992,10,3,110,,,Fielding D; Hopkins P; Serisier D; Fletcher SV; Clark R; Janssen JP; Boutin C
102,"Lee P, Hsu A, Lo C. Prospective evaluation of flex-rigid pleuroscopy for indeterminate pleural effusion: accuracy, safety and outcome. Respirology. 2007;12(2L):111.","Prospective evaluation of flex-rigid pleuroscopy for indeterminate pleural effusion: accuracy, safety and outcome",Respirology,2007,12,2L,111,,,Lee P; Hsu A; Lo C
103,"Macha HN, Reichle G, Zd V. The role of ultrasound assisted thoracoscopy in the diagnosis of pleural disease. Clinical experience in 687 cases. Eur J Cardiothorac Surg. 1993;7(3):112.",The role of ultrasound assisted thoracoscopy in the diagnosis of pleural disease. Clinical experience in 687 cases,Eur J Cardiothorac Surg,1993,7,3,112,,,Macha HN; Reichle G; Zd V
104,"Mclean AN, Bicknell SR, Mcalpine LG. Investigation of pleural effusion: an evaluation of the new Olympus LTF semiflexible thoracofiberscope and comparison with Abram's needle biopsy. Chest. 1998;114(2L):113.",Investigation of pleural effusion: an evaluation of the new Olympus LTF semiflexible thoracofiberscope and comparison with Abram's needle biopsy,Chest,1998,114,2L,113,,,Mclean AN; Bicknell SR; Mcalpine LG
105,"Munavvar M, Khan MA, Edwards J. Thoracoscopy. A safe, accurate diagnostic procedure using the rigid thoracoscope and local anesthesia. Eur Respir J. 1979;29(2L):115.","Thoracoscopy. A safe, accurate diagnostic procedure using the rigid thoracoscope and local anesthesia",Eur Respir J,1979,29,2L,115,,,Munavvar M; Khan MA; Edwards J
106,"Sakuraba M, Masuda K, Hebisawa A. Diagnostic value of thoracoscopic pleural biopsy for pleurisy under local anaesthesia. Aust NZ J Surg. 2006;76(2L):116.",Diagnostic value of thoracoscopic pleural biopsy for pleurisy under local anaesthesia,Aust NZ J Surg,2006,76,2L,116,,,Sakuraba M; Masuda K; Hebisawa A
107,"Schwarz C, Lubbert H, Rahn W. Medical thoracoscopy: hormone receptor content in pleural metastases due to breast cancer. Diagn Ther Endosc. 1998;24(3):119.",Medical thoracoscopy: hormone receptor content in pleural metastases due to breast cancer,Diagn Ther Endosc,1998,24,3,119,,,Schwarz C; Lubbert H; Rahn W
108,"Tassi G, Marchetti G, Wilsher ML, Veale AG. Medical thoracoscopy in the diagnosis of unexplained pleural effusion. Respirology. 1998;124(2L):121.",Medical thoracoscopy in the diagnosis of unexplained pleural effusion,Respirology,1998,124,2L,121,,,Tassi G; Marchetti G; Wilsher ML; Veale AG
109,"Janssen JP, Ramlal S. The long term follow up of exudative pleural effusion after nondiagnostic thoracoscopy. J Bronchol. 2004;11(2L):122.",The long term follow up of exudative pleural effusion after nondiagnostic thoracoscopy,J Bronchol,2004,11,2L,122,,,Janssen JP; Ramlal S
110,"Viskum K, Enk B, Heaton RW, Roberts CM. The role of fibreoptic bronchoscopy in the investigation of pleural effusion. Postgrad Med J. 1981;37(3):124.",The role of fibreoptic bronchoscopy in the investigation of pleural effusion,Postgrad Med J,1981,37,3,124,,,Viskum K; Enk B; Heaton RW; Roberts CM
111,"Upham JW, Mitchell CA, Armstrong JG. Investigation of pleural effusion: the role of bronchoscopy. Aust NZ J Med. 1992;22(3):125.",Investigation of pleural effusion: the role of bronchoscopy,Aust NZ J Med,1992,22,3,125,,,Upham JW; Mitchell CA; Armstrong JG
112,"Feinsilver SH, Barrows AA, Braman SS. Fiberoptic bronchoscopy and pleural effusion of unknown origin. Chest. 1986;90(3):126.",Fiberoptic bronchoscopy and pleural effusion of unknown origin,Chest,1986,90,3,126,,,Feinsilver SH; Barrows AA; Braman SS
113,"Chang SC, Perng RP. The role of fiberoptic bronchoscopy in evaluating the causes of pleural effusions. Arch Intern Med. 1989;149(2+):127.",The role of fiberoptic bronchoscopy in evaluating the causes of pleural effusions,Arch Intern Med,1989,149,2+,127,,,Chang SC; Perng RP
114,"Bueno EC, Clemente GM, Castro CB. Cytology and bacteriologic analysis of fluid and pleural biopsy specimens with Cope's needle. Study of 414 patients. Arch Intern Med. 1990;150(2+):128.",Cytology and bacteriologic analysis of fluid and pleural biopsy specimens with Cope's needle. Study of 414 patients,Arch Intern Med,1990,150,2+,128,,,Bueno EC; Clemente GM; Castro CB
115,"Liang QL, Shi HZ, Wang K. Diagnostic accuracy of adenosine deaminase in tuberculous pleurisy: a meta-analysis. Respir Med. 2008;102(1+):129.",Diagnostic accuracy of adenosine deaminase in tuberculous pleurisy: a meta-analysis,Respir Med,2008,102,1+,129,,,Liang QL; Shi HZ; Wang K
116,"Zemlin AE, Burgess LJ, Carstens ME. The diagnostic utility of adenosine deaminase isoenzymes in tuberculous pleural effusions. Int J Tuberc Lung Dis. 2009;13(2L):130.",The diagnostic utility of adenosine deaminase isoenzymes in tuberculous pleural effusions,Int J Tuberc Lung Dis,2009,13,2L,130,,,Zemlin AE; Burgess LJ; Carstens ME
117,"Antonangelo L, Vargas FS, Almeida LP. Influence of storage time and temperature on pleural fluid adenosine deaminase determination. Respirology. 2006;11(3):131.",Influence of storage time and temperature on pleural fluid adenosine deaminase determination,Respirology,2006,11,3,131,,,Antonangelo L; Vargas FS; Almeida LP
118,"Greco S, Girardi E, Masciangelo R. Adenosine deaminase and interferon gamma measurements for the diagnosis of tuberculous pleurisy: a meta-analysis. Int J Tuberc Lung Dis. 2003;7(1+):132.",Adenosine deaminase and interferon gamma measurements for the diagnosis of tuberculous pleurisy: a meta-analysis,Int J Tuberc Lung Dis,2003,7,1+,132,,,Greco S; Girardi E; Masciangelo R
119,"Losi M, Bossink A, Codecasa L. Use of a T-cell interferon-gamma release assay for the diagnosis of tuberculous pleurisy. Eur Respir J. 2007;30(2++):133.",Use of a T-cell interferon-gamma release assay for the diagnosis of tuberculous pleurisy,Eur Respir J,2007,30,2++,133,,,Losi M; Bossink A; Codecasa L
120,"Ariga H, Kawabe Y, Nagai H. Diagnosis of active tuberculous serositis by antigen-specific interferon-gamma response of cavity fluid cells. Clin Infect Dis. 2007;45(2++):134.",Diagnosis of active tuberculous serositis by antigen-specific interferon-gamma response of cavity fluid cells,Clin Infect Dis,2007,45,2++,134,,,Ariga H; Kawabe Y; Nagai H
121,"Trajman A, Pai M, Dheda K. Novel tests for diagnosing tuberculous pleural effusion: what works and what does not?. Eur Respir J. 2008;31(4):135.",Novel tests for diagnosing tuberculous pleural effusion: what works and what does not?,Eur Respir J,2008,31,4,135,,,Trajman A; Pai M; Dheda K
122,"Baumann MH, Nolan R, Petrini M. Pleural tuberculosis in the United States: incidence and drug resistance. Ann Intern Med. 1959;131(4):137.",Pleural tuberculosis in the United States: incidence and drug resistance,Ann Intern Med,1959,131,4,137,,,Baumann MH; Nolan R; Petrini M
123,"Balbir-Gurman A, Yigla M, Mahir A, Ferguson. GC. Cholesterol pleural effusion in rheumatoid lung disease. Semin Arthritis Rheum. 1966;35(3):139.",GC. Cholesterol pleural effusion in rheumatoid lung disease,Semin Arthritis Rheum,1966,35,3,139,,,Balbir-Gurman A; Yigla M; Mahir A; Ferguson
124,"Lillington GA, Carr DT, Mayne JG. Rheumatoid pleurisy with effusion. Arch Intern Med. 1971;128(3):140.",Rheumatoid pleurisy with effusion,Arch Intern Med,1971,128,3,140,,,Lillington GA; Carr DT; Mayne JG
125,"Hunder GG, Mcduffie FC, Huston KA. Pleural fluid complement, complement conversion, and immune complexes in immunologic and non immunologic diseases. J Lab Clin Med. 1977;90(3):141.","Pleural fluid complement, complement conversion, and immune complexes in immunologic and non immunologic diseases",J Lab Clin Med,1977,90,3,141,,,Hunder GG; Mcduffie FC; Huston KA
126,"Pettersson T, Klockars M, Hellstrom PE. Chemical and immunological features of pleural effusions: comparison between rheumatoid arthritis and other diseases. Thorax. 1982;37(2+):142.",Chemical and immunological features of pleural effusions: comparison between rheumatoid arthritis and other diseases,Thorax,1982,37,2+,142,,,Pettersson T; Klockars M; Hellstrom PE
127,"Halla JT, Schronhenloher RE, Volanakis JE. Immune complexes and other laboratory features of pleural effusions. Ann Intern Med. 1980;92(3):143.",Immune complexes and other laboratory features of pleural effusions,Ann Intern Med,1980,92,3,143,,,Halla JT; Schronhenloher RE; Volanakis JE
128,"Hunninghake GW, Fauci AS. Pulmonary involvement in the collagen vascular diseases. Am Rev Respir Dis. 1979;119(4):144.",Pulmonary involvement in the collagen vascular diseases,Am Rev Respir Dis,1979,119,4,144,,,Hunninghake GW; Fauci AS
129,"Good JT, King TE, Antony VB. Lupus pleuritis. Clinical features and pleural fluid characteristics with special reference to pleural fluid antinuclear antibodies. Mayo Clin Proc. 1970;84(3):146.",Lupus pleuritis. Clinical features and pleural fluid characteristics with special reference to pleural fluid antinuclear antibodies,Mayo Clin Proc,1970,84,3,146,,,Good JT; King TE; Antony VB
130,"Wang DY, Yang PC, Yu WL. Serial antinuclear antibodies titre in pleural and pericardial fluid. Eur Respir J. 2000;15(2+):147.",Serial antinuclear antibodies titre in pleural and pericardial fluid,Eur Respir J,2000,15,2+,147,,,Wang DY; Yang PC; Yu WL
131,"Porcel JM, Orid-Ros J, Esquerda A. Antinuclear antibody testing in pleural fluid for the diagnosis of lupus pleuritis. Lupus. 2007;16(2L):148.",Antinuclear antibody testing in pleural fluid for the diagnosis of lupus pleuritis,Lupus,2007,16,2L,148,,,Porcel JM; Orid-Ros J; Esquerda A
132,"Stein PD, Terrin ML, Hales CA. Clinical, laboratory, roentgenographic, and electrocardiographic findings in patients with acute pulmonary embolism and no pre-existing cardiac or pulmonary disease. Chest. 1991;100(3):149.","Clinical, laboratory, roentgenographic, and electrocardiographic findings in patients with acute pulmonary embolism and no pre-existing cardiac or pulmonary disease",Chest,1991,100,3,149,,,Stein PD; Terrin ML; Hales CA
133,"Romero Candeira S, Blasco H, Soler L, MJ. Biochemical and cytological characteristics of pleural effusions secondary to pulmonary embolism. Chest. 2002;121(3):150.",Biochemical and cytological characteristics of pleural effusions secondary to pulmonary embolism,Chest,2002,121,3,150,,,Romero Candeira S; Blasco H; Soler L; MJ
134,"Doerr CH, Allen MS, Nichols FC. (4). 152. Hillerdal G. Chylothorax and pseudochylothorax. Mayo Clin Proc. 1985;80(4):153.",(4). 152. Hillerdal G. Chylothorax and pseudochylothorax,Mayo Clin Proc,1985,80,4,153,,,Doerr CH; Allen MS; Nichols FC
135,"Wrightson JM, Stanton AE, Maskell NA. Pseudochylothorax without pleural thickeningdtime to reconsider pathogenesis. Chest. 2009;136(3):154.",Pseudochylothorax without pleural thickeningdtime to reconsider pathogenesis,Chest,2009,136,3,154,,,Wrightson JM; Stanton AE; Maskell NA
136,"Staats BA, Ellefson RD, Budahn LL. Prevalence and clinical course of pleural effusions at 30 days after coronary artery and cardiac surgery. Semin Respir Crit Care Med. 1980;55(3):162.",Prevalence and clinical course of pleural effusions at 30 days after coronary artery and cardiac surgery,Semin Respir Crit Care Med,1980,55,3,162,,,Staats BA; Ellefson RD; Budahn LL
137,"Ceyhan BB, Demiralp E, Celikel T. Analysis of pleural effusions using flow cytometry. Respiration. 1996;63(2+):163.",Analysis of pleural effusions using flow cytometry,Respiration,1996,63,2+,163,,,Ceyhan BB; Demiralp E; Celikel T
138,"Venekamp LN, Velkeniers B, Noppen M. Does 'idiopathic pleuritis' exist? Natural history of non-specific pleuritis diagnosed after thoracoscopy. Respiration. 2005;72(3).",Does 'idiopathic pleuritis' exist? Natural history of non-specific pleuritis diagnosed after thoracoscopy,Respiration,2005,72,3,,,,Venekamp LN; Velkeniers B; Noppen M
