#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Review A. {published data only}. {published data only}. 2012;None.,{published data only},{published data only},2012,,,,,,Review A
103,"Preshaw RM. A percutaneous method for inserting a feeding gastrostomy tube. Surgery, Gynecology and Obstetrics. 1981;152.",A percutaneous method for inserting a feeding gastrostomy tube,"Surgery, Gynecology and Obstetrics",1981,152,,,,,Preshaw RM
104,Rimon. None. None. 2005;None.,,,2005,,,,,,Rimon
105,"Rimon E, Kagansky N, Levy S. Percutaneous endoscopic gastrostomy; evidence of different prognosis in various patient subgroups. Age and Ageing. 2005;34(4).",Percutaneous endoscopic gastrostomy; evidence of different prognosis in various patient subgroups,Age and Ageing,2005,34,4,,,,Rimon E; Kagansky N; Levy S
106,Rosenzweig. None. None. 1994;None.,,,1994,,,,,,Rosenzweig
107,"Rosenzweig TB, Palestrant AM, Esplin CA, Gilsdorf RB. A method for radiologic-assisted gastrostomy when percutaneous endoscopic gastrostomy is contraindicated. The American Journal of Surgery. 1994;168(6).",A method for radiologic-assisted gastrostomy when percutaneous endoscopic gastrostomy is contraindicated,The American Journal of Surgery,1994,168,6,,,,Rosenzweig TB; Palestrant AM; Esplin CA; Gilsdorf RB
108,Sacks. None. None. 1983;None.,,,1983,,,,,,Sacks
109,"Sacks BA, Vine HS, Palestrant AM, Ellison HP, Shropshire D, Lowe R. A nonoperative technique for establishment of a gastrostomy in the dog. Investigative Radiology. 1983;18(5).",A nonoperative technique for establishment of a gastrostomy in the dog,Investigative Radiology,1983,18,5,,,,Sacks BA; Vine HS; Palestrant AM; Ellison HP; Shropshire D; Lowe R
110,Sanchez. None. None. 1992;None.,,,1992,,,,,,Sanchez
111,"Sanchez RB, E, Agostino D et al.. CT guidance for percutaneous gastrostomy and gastroenterostomy. Radiology. 1992;184(1).",CT guidance for percutaneous gastrostomy and gastroenterostomy,Radiology,1992,184,1,,,,Sanchez RB; E; Agostino D; Goodacre HB; Moyers BW; Casola P; G
112,Sen. None. None. 1993;None.,,,1993,,,,,,Sen
113,"Sen M, Fietkau R, Iro H, Sailer D, Sauer R. The influence of supportive nutritional therapy via percutaneous endoscopically guided gastrostomy on the quality of life of cancer patients. Supportive Care in Cancer. 1993;1.",The influence of supportive nutritional therapy via percutaneous endoscopically guided gastrostomy on the quality of life of cancer patients,Supportive Care in Cancer,1993,1,,,,,Sen M; Fietkau R; Iro H; Sailer D; Sauer R
114,Shin. None. None. 2010;None.,,,2010,,,,,,Shin
115,"Shin JH, Park AW. Updates on percutaneous radiologic gastrostomy/gastrojejunostomy and jejunostomy. Gut and Liver. 2010;4(Suppl 1).",Updates on percutaneous radiologic gastrostomy/gastrojejunostomy and jejunostomy,Gut and Liver,2010,4,Suppl 1,,,,Shin JH; Park AW
116, diffuse/ or plummer-vinson syndrome/ 2. (deglutition adj5 (disturbance$ or disorder$ or difficult$ or dysfunction$ or impair$ or condition$ or abnormal$ or damage. deglutition disorders/ or esophageal motility disorders/ or esophageal achalasia/ or esophageal spasm. None;None.,diffuse/ or plummer-vinson syndrome/ 2. (deglutition adj5 (disturbance$ or disorder$ or difficult$ or dysfunction$ or impair$ or condition$ or abnormal$ or damage,deglutition disorders/ or esophageal motility disorders/ or esophageal achalasia/ or esophageal spasm,,,,,,,
117, Dysphagia. Dysphagia. None;None.,Dysphagia,Dysphagia,,,,,,,
118," Swallowing adj5 (disturbance$ or disorder$ or difficult$ or dysfunction$ or impair$ or condition$ or abnormal$ or damage$ or injur $)).mp. [mp=title, original title, abstract, floating sub-heading, study name. Swallowing adj5 (disturbance$ or disorder$ or difficult$ or dysfunction$ or impair$ or condition$ or abnormal$ or damage$ or injur $)).mp. [mp=title, original title, abstract, floating sub-heading, study name. None;None.","Swallowing adj5 (disturbance$ or disorder$ or difficult$ or dysfunction$ or impair$ or condition$ or abnormal$ or damage$ or injur $)).mp. [mp=title, original title, abstract, floating sub-heading, study name","Swallowing adj5 (disturbance$ or disorder$ or difficult$ or dysfunction$ or impair$ or condition$ or abnormal$ or damage$ or injur $)).mp. [mp=title, original title, abstract, floating sub-heading, study name",,,,,,,
119," Endosonography/ 15. Ultrasonography, Interventional/ 16. None;12(11-17 19).",Endosonography/ 15,"Ultrasonography, Interventional/ 16",,12,11-17 19,,,,
120," or esophageal motility disorders/ or esophageal achalasia/ or esophageal spasm, diffuse/ or plummer-vinson syndrome/ 13.(deglutition adj5 (disturbance$ or disorder$ or difficult$ or dysfunction$ or impair$ or condition$ or abnormal$ or damage. or esophageal motility disorders/ or esophageal achalasia/ or esophageal spasm, diffuse/ or plummer-vinson syndrome/ 13.(deglutition adj5 (disturbance$ or disorder$ or difficult$ or dysfunction$ or impair$ or condition$ or abnormal$ or damage. None;None.","or esophageal motility disorders/ or esophageal achalasia/ or esophageal spasm, diffuse/ or plummer-vinson syndrome/ 13.(deglutition adj5 (disturbance$ or disorder$ or difficult$ or dysfunction$ or impair$ or condition$ or abnormal$ or damage","or esophageal motility disorders/ or esophageal achalasia/ or esophageal spasm, diffuse/ or plummer-vinson syndrome/ 13.(deglutition adj5 (disturbance$ or disorder$ or difficult$ or dysfunction$ or impair$ or condition$ or abnormal$ or damage",,,,,,,
121, Dysphagia. Dysphagia. None;None.,Dysphagia,Dysphagia,,,,,,,
122," Swallowing adj5 (disturbance$ or disorder$ or difficult$ or dysfunction$ or impair$ or condition$ or abnormal$ or damage$ or injur $)).mp. [mp=title, original title, abstract, name of substance word, subject. Gastrointestinal. None;17-19 21:22.","Swallowing adj5 (disturbance$ or disorder$ or difficult$ or dysfunction$ or impair$ or condition$ or abnormal$ or damage$ or injur $)).mp. [mp=title, original title, abstract, name of substance word, subject",Gastrointestinal,,,17-19 21,22,,,
123," Endosonography/ 26. Ultrasonography, Interventional. None;23(22-28 30).",Endosonography/ 26,"Ultrasonography, Interventional",,23,22-28 30,,,,
124, Double-Blind Method/ 6. Cross-Over Studies/ 7. Random Allocation/ 8. Placebo/ 9. None;None.,Double-Blind Method/ 6,Cross-Over Studies/ 7. Random Allocation/ 8. Placebo/ 9,,,,,,,
125, Rct.tw. Rct.tw. None;11.,Rct.tw,Rct.tw,,11,,,,,
126, Randomly allocated. Randomly allocated. None;None.,Randomly allocated,Randomly allocated,,,,,,,
127, Allocated randomly. Allocated randomly. None;None.,Allocated randomly,Allocated randomly,,,,,,,
128, Single blind. Single blind. None;None.,Single blind,Single blind,,,,,,,
129, Double blind. Double blind. None;None.,Double blind,Double blind,,,,,,,
130, Placebo. Placebo. None;None.,Placebo,Placebo,,,,,,,
131, exp esophagus function disorder/ 27.(deglutition adj5 (disturbance$ or disorder$ or difficult$ or dysfunction$ or impair$ or condition$ or abnormal$ or damage$ or injur $)).mp. exp esophagus function disorder/ 27.(deglutition adj5 (disturbance$ or disorder$ or difficult$ or dysfunction$ or impair$ or condition$ or abnormal$ or damage$ or injur $)).mp. None;None.,exp esophagus function disorder/ 27.(deglutition adj5 (disturbance$ or disorder$ or difficult$ or dysfunction$ or impair$ or condition$ or abnormal$ or damage$ or injur $)).mp,exp esophagus function disorder/ 27.(deglutition adj5 (disturbance$ or disorder$ or difficult$ or dysfunction$ or impair$ or condition$ or abnormal$ or damage$ or injur $)).mp,,,,,,,
132, esophageal adj10 achalasia). esophageal adj10 achalasia). None;None.,esophageal adj10 achalasia),esophageal adj10 achalasia),,,,,,,
133, Swallowing adj5 (disturbance$ or disorder$ or difficult$ or dysfunction$ or impair$ or condition$ or abnormal$ or damage$ or injur $)).mp. Endoscopic echography. None;43(39-44 46).,Swallowing adj5 (disturbance$ or disorder$ or difficult$ or dysfunction$ or impair$ or condition$ or abnormal$ or damage$ or injur $)).mp,Endoscopic echography,,43,39-44 46,,,,
