#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Armstrong C. Lung Cancer Screening Recommendations from the ACCP. Am. Fam. Physician. 2018;98(11).,Lung Cancer Screening Recommendations from the ACCP,Am. Fam. Physician,2018,98,11,,,,Armstrong C
60,"Sato T, Yutaka Y, Ueda Y. Diagnostic yield of electromagnetic navigational bronchoscopy: results of initial 35 cases in a Japanese institute. J Thorac Dis. 2018;10(Suppl 14). doi:10.21037/jtd.2018.04.123.",Diagnostic yield of electromagnetic navigational bronchoscopy: results of initial 35 cases in a Japanese institute,J Thorac Dis,2018,10,Suppl 14,,10.21037/jtd.2018.04.123,,Sato T; Yutaka Y; Ueda Y
61,"Seijo LM, De Torres JP, Lozano MD et al.. Diagnostic yield of electromagnetic navigation bronchoscopy is highly dependent on the presence of a Bronchus sign on CT imaging: results from a prospective study. Chest. 2010;138(6).",Diagnostic yield of electromagnetic navigation bronchoscopy is highly dependent on the presence of a Bronchus sign on CT imaging: results from a prospective study,Chest,2010,138,6,,,,Seijo LM; De Torres JP; Lozano MD; Bastarrika G; Alcaide AB; Lacunza MM; Zulueta JJ
62,"Steinfort DP, Bonney A, See K, Irving LB. Sequential multimodality bronchoscopic investigation of peripheral pulmonary lesions. Eur. Respir. J. 2016;47(2).",Sequential multimodality bronchoscopic investigation of peripheral pulmonary lesions,Eur. Respir. J,2016,47,2,,,,Steinfort DP; Bonney A; See K; Irving LB
63,"Stenger M, Zoorob S, Hussein AA. Electromagnetic navigation bronchoscopy as an adjunct diagnostic tool in the Danish lung cancer diagnostic pathway: an initial retrospective single centre series. J. Thorac. Dis. 2020;12(9). doi:10.21037/jtd-20-1236.",Electromagnetic navigation bronchoscopy as an adjunct diagnostic tool in the Danish lung cancer diagnostic pathway: an initial retrospective single centre series,J. Thorac. Dis,2020,12,9,,10.21037/jtd-20-1236,,Stenger M; Zoorob S; Hussein AA
64,"Sun J, Xie F, Zheng X et al.. Learning curve of electromagnetic navigation bronchoscopy for diagnosing peripheral pulmonary nodules in a single institution. Transl. Cancer Res. 2017;6(3).",Learning curve of electromagnetic navigation bronchoscopy for diagnosing peripheral pulmonary nodules in a single institution,Transl. Cancer Res,2017,6,3,,,,Sun J; Xie F; Zheng X; Jiang Y; Zhu L; Mao X; Han B
65,"Taton O, Bondue B, Gevenois PA, Remmelink M, Leduc D. Diagnostic Yield of Combined Pulmonary Cryobiopsies and Electromagnetic Navigation in Small Pulmonary Nodules. Pulm Med. 2018;None.",Diagnostic Yield of Combined Pulmonary Cryobiopsies and Electromagnetic Navigation in Small Pulmonary Nodules,Pulm Med,2018,,,,,,Taton O; Bondue B; Gevenois PA; Remmelink M; Leduc D
66,"Toennesen LL, Vindum HH, Risom E et al.. Learning Curves for Electromagnetic Navigation Bronchoscopy Using CUSUM Analysis. Journal of Bronchology & Interventional Pulmonology. 2022;29(3).",Learning Curves for Electromagnetic Navigation Bronchoscopy Using CUSUM Analysis,Journal of Bronchology & Interventional Pulmonology,2022,29,3,,,,Toennesen LL; Vindum HH; Risom E; Pulga A; Nessar RM; Arshad A; Christophersen A; Konge L; Clementsen PF
67,"Wang N, Ma H, Huang H. Electromagnetic Navigation Bronchoscopy Combined Endobronchial Ultrasound in the Diagnosis of Lung Nodules. Medicine (Baltimore). 2021;100(3):23979.",Electromagnetic Navigation Bronchoscopy Combined Endobronchial Ultrasound in the Diagnosis of Lung Nodules,Medicine (Baltimore),2021,100,3,23979,,,Wang N; Ma H; Huang H
68,"Wilson DS, Bartlett RJ. Improved Diagnostic Yield of Bronchoscopy in a Community Practice: Combination of Electromagnetic Navigation System and Rapid On-site Evaluation. Journal of Bronchology & Interventional Pulmonology. 2007;14(4). doi:10.1097/LBR.0b013e31815a7b00.",Improved Diagnostic Yield of Bronchoscopy in a Community Practice: Combination of Electromagnetic Navigation System and Rapid On-site Evaluation,Journal of Bronchology & Interventional Pulmonology,2007,14,4,,10.1097/LBR.0b013e31815a7b00,,Wilson DS; Bartlett RJ
69,"Yutaka Y, Sato T, Isowa M et al.. Electromagnetic navigation bronchoscopy versus virtual bronchoscopy navigation for improving the diagnosis of peripheral lung lesions: analysis of the predictors of successful diagnosis. Surg. Today. 2022;52(6).",Electromagnetic navigation bronchoscopy versus virtual bronchoscopy navigation for improving the diagnosis of peripheral lung lesions: analysis of the predictors of successful diagnosis,Surg. Today,2022,52,6,,,,Yutaka Y; Sato T; Isowa M; Murata Y; Tanaka S; Yamada Y; Ohsumi A; Nakajima D; Hamaji M; Menju T; Chen-Yoshikawa TF; Date H
70,"Avasarala SK, Roller L, Katsis J et al.. Sight Unseen: Diagnostic Yield and Safety Outcomes of a Novel Multimodality Navigation Bronchoscopy Platform with Real-Time Target Acquisition. Respiration. 2022;101(2).",Sight Unseen: Diagnostic Yield and Safety Outcomes of a Novel Multimodality Navigation Bronchoscopy Platform with Real-Time Target Acquisition,Respiration,2022,101,2,,,,Avasarala SK; Roller L; Katsis J; Chen H; Lentz RJ; Rickman OB; Maldonado F
71,"Dunn BK, Blaj M, Stahl J et al.. Evaluation of Electromagnetic Navigational Bronchoscopy Using Tomosynthesis-Assisted Visualization, Intraprocedural Positional Correction and Continuous Guidance for Evaluation of Peripheral Pulmonary Nodules. Journal of Bronchology & Interventional Pulmonology. 2023;30(1).","Evaluation of Electromagnetic Navigational Bronchoscopy Using Tomosynthesis-Assisted Visualization, Intraprocedural Positional Correction and Continuous Guidance for Evaluation of Peripheral Pulmonary Nodules",Journal of Bronchology & Interventional Pulmonology,2023,30,1,,,,Dunn BK; Blaj M; Stahl J; Speicher J; Anciano C; Hudson S; Kragel EA; Bowling MR
72,"Katsis J, Roller L, Aboudara M et al.. Diagnostic Yield of Digital Tomosynthesis-assisted Navigational Bronchoscopy for Indeterminate Lung Nodules. J Bronchology Interv Pulmonol. 2021;28(4).",Diagnostic Yield of Digital Tomosynthesis-assisted Navigational Bronchoscopy for Indeterminate Lung Nodules,J Bronchology Interv Pulmonol,2021,28,4,,,,Katsis J; Roller L; Aboudara M; Pannu J; Chen H; Johnson J; Lentz RJ; Rickman O; Maldonado F
73,"Agrawal A, Ho E, Chaddha U et al.. Factors Associated With Diagnostic Accuracy of Robotic Bronchoscopy With 12-Month Follow-up. Ann. Thorac. Surg. 2022;None.",Factors Associated With Diagnostic Accuracy of Robotic Bronchoscopy With 12-Month Follow-up,Ann. Thorac. Surg,2022,,,,,,Agrawal A; Ho E; Chaddha U; Demirkol B; Bhavani SV; Hogarth DK; Murgu S
74,"Chaddha U, Kovacs SP, Manley C et al.. Robot-assisted bronchoscopy for pulmonary lesion diagnosis: results from the initial multicenter experience. BMC Pulm. Med. 2019;19(1). doi:10.1186/s12890-019-1010-8.",Robot-assisted bronchoscopy for pulmonary lesion diagnosis: results from the initial multicenter experience,BMC Pulm. Med,2019,19,1,,10.1186/s12890-019-1010-8,,Chaddha U; Kovacs SP; Manley C; Hogarth DK; Cumbo-Nacheli G; Bhavani SV; Kumar R; Shende M; Egan JP; Murgu S
75,"Chen AC, Pastis NJ, Mahajan AK et al.. Robotic Bronchoscopy for Peripheral Pulmonary Lesions: A Multicenter Pilot and Feasibility Study (BENEFIT). Chest. 2021;159(2).",Robotic Bronchoscopy for Peripheral Pulmonary Lesions: A Multicenter Pilot and Feasibility Study (BENEFIT),Chest,2021,159,2,,,,Chen AC; Pastis NJ; Mahajan AK; Khandhar SJ; Simoff MJ; Machuzak MS; Cicenia J; Gildea TR; Silvestri GA
76,"Ekeke CN, Vercauteren M, Istvaniczdravkovic S. Lung Nodule Evaluation Using Robotic-Assisted Bronchoscopy at a Veteran's Affairs Hospital. Journal of, Clin. Med. 2021;10(16):19. doi:10.3390/jcm10163671.",Lung Nodule Evaluation Using Robotic-Assisted Bronchoscopy at a Veteran's Affairs Hospital,"Journal of, Clin. Med",2021,10,16,19,10.3390/jcm10163671,,Ekeke CN; Vercauteren M; Istvaniczdravkovic S
77,"Fielding DK, Bashirzadeh F, Son J et al.. First Human Use of a New Robotic-Assisted Fiber Optic Sensing Navigation System for Small Peripheral Pulmonary Nodules. Respiration. 2019;98(2).",First Human Use of a New Robotic-Assisted Fiber Optic Sensing Navigation System for Small Peripheral Pulmonary Nodules,Respiration,2019,98,2,,,,Fielding DK; Bashirzadeh F; Son J; Todman M; Chin A; Tan L; Steinke K; Windsor M; Sung A
78,"Kalchiem-Dekel OR, Connolly JG, Lin I et al.. Shape-Sensing Robotic-Assisted Bronchoscopy in the Diagnosis of Pulmonary Parenchymal Lesions. Chest. 2022;161(2).",Shape-Sensing Robotic-Assisted Bronchoscopy in the Diagnosis of Pulmonary Parenchymal Lesions,Chest,2022,161,2,,,,Kalchiem-Dekel OR; Connolly JG; Lin I; Husta BC; Adusumilli PS; Beattie JA; Buonocore DJ; Dycoco J; Fuentes P; Jones DR; Lee RP; Park BJ; Rocco G; Chawla M; Bott MJ
79,"Asahina H, Yamazaki K, Onodera Y et al.. Transbronchial biopsy using endobronchial ultrasonography with a guide sheath and virtual bronchoscopic navigation. Chest. 2005;128(3).",Transbronchial biopsy using endobronchial ultrasonography with a guide sheath and virtual bronchoscopic navigation,Chest,2005,128,3,,,,Asahina H; Yamazaki K; Onodera Y; Kikuchi E; Shinagawa N; Asano F; Nishimura M
80,"Asano F, Matsuno Y, Shinagawa N et al.. A virtual bronchoscopic navigation system for pulmonary peripheral lesions. Chest. 2006;130(2).",A virtual bronchoscopic navigation system for pulmonary peripheral lesions,Chest,2006,130,2,,,,Asano F; Matsuno Y; Shinagawa N; Yamazaki K; Suzuki T; Ishida T; Moriya H
81,"Asano F, Matsuno Y, Tsuzuku A et al.. Diagnosis of peripheral pulmonary lesions using a bronchoscope insertion guidance system combined with endobronchial ultrasonography with a guide sheath. Lung Cancer. 2008;60(3).",Diagnosis of peripheral pulmonary lesions using a bronchoscope insertion guidance system combined with endobronchial ultrasonography with a guide sheath,Lung Cancer,2008,60,3,,,,Asano F; Matsuno Y; Tsuzuku A; Anzai M; Shinagawa N; Yamazaki K; Ishida T; Moriya H
82,"Asano F, Shinagawa N, Ishida T et al.. Virtual bronchoscopic navigation combined with ultrathin bronchoscopy. A randomized clinical trial. Am. J. Respir. Crit. Care Med. 2013;188(3).",Virtual bronchoscopic navigation combined with ultrathin bronchoscopy. A randomized clinical trial,Am. J. Respir. Crit. Care Med,2013,188,3,,,,Asano F; Shinagawa N; Ishida T; Shindoh J; Anzai M; Tsuzuku A; Oizumi S; Morita S
83,"Bae S, Lim S, Ahn JJ et al.. Diagnosing peripheral lung lesions using endobronchial ultrasonography with guide sheath. Medicine. 2020;99(17):19870.",Diagnosing peripheral lung lesions using endobronchial ultrasonography with guide sheath,Medicine,2020,99,17,19870,,,Bae S; Lim S; Ahn JJ; Jegal Y; Seo KW; Ra SW; Kang BJ; Kim JH; Park SE; Han I; Kang H; An M; Ock M; Park EJ; Kwon W; Lee T
84,"Bo L, Li C, Pan L et al.. Diagnosing a solitary pulmonary nodule using multiple bronchoscopic guided technologies: A prospective randomized study. Lung Cancer. 2019;129.",Diagnosing a solitary pulmonary nodule using multiple bronchoscopic guided technologies: A prospective randomized study,Lung Cancer,2019,129,,,,,Bo L; Li C; Pan L; Wang H; Li S; Li Q; Bai C; Zeng Y; Nan Y; Wang Y; Huang H; Zhou R; Zhou H; Liu W; Sun J; Liu Z; Jin F
85,"Diez-Ferrer M, Morales A, Tebé C et al.. Ultrathin Bronchoscopy with and without Virtual Bronchoscopic Navigation: Influence of Segmentation on Diagnostic Yield. Respiration. 2019;97(3).",Ultrathin Bronchoscopy with and without Virtual Bronchoscopic Navigation: Influence of Segmentation on Diagnostic Yield,Respiration,2019,97,3,,,,Diez-Ferrer M; Morales A; Tebé C; Cubero N; López-Lisbona R; Padrones S; Aso S; Dorca J; Gil D; Rosell A
86,"Eberhardt R, Kahn N, Gompelmann D, Schumann M, Heussel CP, Herth FJ. LungPoint-a new approach to peripheral lesions. J. Thorac. Oncol. 2010;5(10).",LungPoint-a new approach to peripheral lesions,J. Thorac. Oncol,2010,5,10,,,,Eberhardt R; Kahn N; Gompelmann D; Schumann M; Heussel CP; Herth FJ
87,"Fukusumi M, Ichinose Y, Arimoto Y et al.. Bronchoscopy for Pulmonary Peripheral Lesions With Virtual Fluoroscopic Preprocedural Planning Combined With EBUS-GS: A Pilot Study. J Bronchology Interv Pulmonol. 2016;23(2).",Bronchoscopy for Pulmonary Peripheral Lesions With Virtual Fluoroscopic Preprocedural Planning Combined With EBUS-GS: A Pilot Study,J Bronchology Interv Pulmonol,2016,23,2,,,,Fukusumi M; Ichinose Y; Arimoto Y; Takeoka S; Homma C; Matsuoka H; Mouri A; Hamamoto Y; Matsumoto J; Kamimura M
88,"Haidong H, Yunye N, Wei Z et al.. Multiple guided technologies based on radial probe endobronchial ultrasound for the diagnosis of solitary peripheral pulmonary lesions: a single-center study. J. Cancer. 2017;8(17).",Multiple guided technologies based on radial probe endobronchial ultrasound for the diagnosis of solitary peripheral pulmonary lesions: a single-center study,J. Cancer,2017,8,17,,,,Haidong H; Yunye N; Wei Z; Zarogoulidis P; Hohenforst-Schmidt W; Man Y; Yuguang Y; Yuchao D; Chong B
89,"Ikezawa Y, Shinagawa N, Sukoh N et al.. Usefulness of Endobronchial Ultrasonography With a Guide Sheath and Virtual Bronchoscopic Navigation for Ground-Glass Opacity Lesions. Ann. Thorac. Surg. 2017;103(2).",Usefulness of Endobronchial Ultrasonography With a Guide Sheath and Virtual Bronchoscopic Navigation for Ground-Glass Opacity Lesions,Ann. Thorac. Surg,2017,103,2,,,,Ikezawa Y; Shinagawa N; Sukoh N; Morimoto M; Kikuchi H; Watanabe M; Nakano K; Oizumi S; Nishimura M
90,"Ishida T, Asano F, Yamazaki K et al.. Virtual bronchoscopic navigation combined with endobronchial ultrasound to diagnose small peripheral pulmonary lesions: a randomised trial. Thorax. 2011;66(12).",Virtual bronchoscopic navigation combined with endobronchial ultrasound to diagnose small peripheral pulmonary lesions: a randomised trial,Thorax,2011,66,12,,,,Ishida T; Asano F; Yamazaki K; Shinagawa N; Oizumi S; Moriya H; Munakata M; Nishimura M
91,"Iwano S, Imaizumi K, Okada T, Hasegawa Y, Naganawa S. Virtual bronchoscopy-guided transbronchial biopsy for aiding the diagnosis of peripheral lung cancer. Eur. J. Radiol. 2011;79(1).",Virtual bronchoscopy-guided transbronchial biopsy for aiding the diagnosis of peripheral lung cancer,Eur. J. Radiol,2011,79,1,,,,Iwano S; Imaizumi K; Okada T; Hasegawa Y; Naganawa S
92,"Kato A, Yasuo M, Tokoro Y et al.. Virtual bronchoscopic navigation as an aid to CT-guided transbronchial biopsy improves the diagnostic yield for small peripheral pulmonary lesions. Respirology. 2018;23(11).",Virtual bronchoscopic navigation as an aid to CT-guided transbronchial biopsy improves the diagnostic yield for small peripheral pulmonary lesions,Respirology,2018,23,11,,,,Kato A; Yasuo M; Tokoro Y; Kobayashi T; Ichiyama T; Tateishi K; Ushiki A; Urushihata K; Yamamoto H; Hanaoka M
93,"Li S, Yan W, Chen M, Li Z, Zhu Y, Wu QI. Virtual bronchoscopic navigation without fluoroscopy guidance for peripheral pulmonary lesions in inexperienced pulmonologist. Chin. J. Cancer Res. 2020;32(4).",Virtual bronchoscopic navigation without fluoroscopy guidance for peripheral pulmonary lesions in inexperienced pulmonologist,Chin. J. Cancer Res,2020,32,4,,,,Li S; Yan W; Chen M; Li Z; Zhu Y; Wu QI
94,"Maekura T, Sugimoto C, Tamiya A et al.. Combination of virtual bronchoscopic navigation, endobronchial ultrasound, and rapid on-site evaluation for diagnosing small peripheral pulmonary lesions: a prospective phase II study. J. Thorac. Dis. 2017;9(7).","Combination of virtual bronchoscopic navigation, endobronchial ultrasound, and rapid on-site evaluation for diagnosing small peripheral pulmonary lesions: a prospective phase II study",J. Thorac. Dis,2017,9,7,,,,Maekura T; Sugimoto C; Tamiya A; Saijo N; Naoki Y; Koba T; Kimura Y; Matsuda Y; Kanazu M; Takeuchi N; Sasaki Y; Naito Y; Tsuji T; Sugawara R; Kobayashi T; Nakao K; Taniguchi Y; Okishio K; Omachi N; Kasai T; Atagi S
95,"Matsumoto Y, Izumo T, Sasada S, Tsuchida T, Ohe Y. Diagnostic utility of endobronchial ultrasound with a guide sheath under the computed tomography workstation (ziostation) for small peripheral pulmonary lesions. Clin. Respir. J. 2017;11(2).",Diagnostic utility of endobronchial ultrasound with a guide sheath under the computed tomography workstation (ziostation) for small peripheral pulmonary lesions,Clin. Respir. J,2017,11,2,,,,Matsumoto Y; Izumo T; Sasada S; Tsuchida T; Ohe Y
96,"Miyoshi S, Isobe K, Shimizu H et al.. The Utility of Virtual Bronchoscopy Using a Computed Tomography Workstation for Conducting Conventional Bronchoscopy: A Retrospective Analysis of Clinical Practice. Respiration. 2018;97(1).",The Utility of Virtual Bronchoscopy Using a Computed Tomography Workstation for Conducting Conventional Bronchoscopy: A Retrospective Analysis of Clinical Practice,Respiration,2018,97,1,,,,Miyoshi S; Isobe K; Shimizu H; Sunakawa M; Suzuki A; Sugino K; Shiraga N; Sakamoto S; Takai Y; Iyoda A; Homma S
97,"Nakai T, Izumo T, Matsumoto Y, Tsuchida T. Virtual fluoroscopy during transbronchial biopsy for locating ground-glass nodules not visible on X-ray fluoroscopy. J. Thorac. Dis. 2017;9(12).",Virtual fluoroscopy during transbronchial biopsy for locating ground-glass nodules not visible on X-ray fluoroscopy,J. Thorac. Dis,2017,9,12,,,,Nakai T; Izumo T; Matsumoto Y; Tsuchida T
98,"Oki M, Saka H, Ando M et al.. Ultrathin Bronchoscopy with Multimodal Devices for Peripheral Pulmonary Lesions. A Randomized Trial. Am. J. Respir. Crit. Care Med. 2015;192(4).",Ultrathin Bronchoscopy with Multimodal Devices for Peripheral Pulmonary Lesions. A Randomized Trial,Am. J. Respir. Crit. Care Med,2015,192,4,,,,Oki M; Saka H; Ando M; Asano F; Kurimoto N; Morita K; Kitagawa C; Kogure Y; Miyazawa T
99,"Oki M, Saka H, Asano F. Use of an Ultrathin vs Thin Bronchoscope for Peripheral Pulmonary Lesions: A Randomized Trial. Chest. 2019;156(5). doi:10.1016/j.chest.2019.06.038.",Use of an Ultrathin vs Thin Bronchoscope for Peripheral Pulmonary Lesions: A Randomized Trial,Chest,2019,156,5,,10.1016/j.chest.2019.06.038,,Oki M; Saka H; Asano F
100,"Oki M, Saka H, Imabayashi T. Guide sheath versus non-guide sheath method for endobronchial ultrasound-guided biopsy of peripheral pulmonary lesions: A multicenter randomized trial. Eur. Respir. J. 2021;08:8. doi:10.1183/13993003.01678-2021.",Guide sheath versus non-guide sheath method for endobronchial ultrasound-guided biopsy of peripheral pulmonary lesions: A multicenter randomized trial,Eur. Respir. J,2021,08,,8,10.1183/13993003.01678-2021,,Oki M; Saka H; Imabayashi T
101,"Oshige M, Shirakawa T, Nakamura M et al.. Clinical application of virtual bronchoscopic navigation system for peripheral lung lesions. J Bronchology Interv Pulmonol. 2011;18(2).",Clinical application of virtual bronchoscopic navigation system for peripheral lung lesions,J Bronchology Interv Pulmonol,2011,18,2,,,,Oshige M; Shirakawa T; Nakamura M; Mineshita M; Kurimoto N; Miyazawa T; Becker HD
102,"Shinagawa N, Yamazaki K, Onodera Y et al.. Factors related to diagnostic sensitivity using an ultrathin bronchoscope under CT guidance. Chest. 2007;131(2).",Factors related to diagnostic sensitivity using an ultrathin bronchoscope under CT guidance,Chest,2007,131,2,,,,Shinagawa N; Yamazaki K; Onodera Y; Asahina H; Kikuchi E; Asano F; Miyasaka K; Nishimura M
103,"Sun J, Criner GJ, Dibardino D et al.. Efficacy and safety of virtual bronchoscopic navigation with fused fluoroscopy and vessel mapping for access of pulmonary lesions. Respirology. 2022;27(5).",Efficacy and safety of virtual bronchoscopic navigation with fused fluoroscopy and vessel mapping for access of pulmonary lesions,Respirology,2022,27,5,,,,Sun J; Criner GJ; Dibardino D; Li S; Nader D; Lam B; Kopas L; Wahidi MM; Majid A; Marron R; Verga S; Herth FJ
104,"Tachihara M, Tamura D, Kiriu T. Bronchoscopy Using Virtual Navigation and Endobronchial Ultrasonography with a Guide Sheath (EBUS-GS) with or without Fluoroscopy for Peripheral Pulmonary Lesions. Kobe J. Med. Sci. 2018;63(4).",Bronchoscopy Using Virtual Navigation and Endobronchial Ultrasonography with a Guide Sheath (EBUS-GS) with or without Fluoroscopy for Peripheral Pulmonary Lesions,Kobe J. Med. Sci,2018,63,4,,,,Tachihara M; Tamura D; Kiriu T
105,"Tamiya M, Okamoto N, Sasada S et al.. Diagnostic yield of combined bronchoscopy and endobronchial ultrasonography, under LungPoint guidance for small peripheral pulmonary lesions. Respirology. 2013;18(5).","Diagnostic yield of combined bronchoscopy and endobronchial ultrasonography, under LungPoint guidance for small peripheral pulmonary lesions",Respirology,2013,18,5,,,,Tamiya M; Okamoto N; Sasada S; Shiroyama T; Morishita N; Suzuki H; Yoshida E; Hirashima T; Kawahara K; Kawase I
106,"Wong K, Tse H, Pak KK et al.. Integrated use of virtual bronchoscopy and endobronchial ultrasonography on the diagnosis of peripheral lung lesions. J Bronchology Interv Pulmonol. 2014;21(1).",Integrated use of virtual bronchoscopy and endobronchial ultrasonography on the diagnosis of peripheral lung lesions,J Bronchology Interv Pulmonol,2014,21,1,,,,Wong K; Tse H; Pak KK; Wong CC; Lok P; Chan KC; Yee WK
107,"Xu C, Yuan Q, Wang Y. Usefulness of virtual bronchoscopic navigation combined with endobronchial ultrasound guided transbronchial lung biopsy for solitary pulmonary nodules. Medicine. 2019;98(7):14248. doi:10.1097/MD.0000000000014248.",Usefulness of virtual bronchoscopic navigation combined with endobronchial ultrasound guided transbronchial lung biopsy for solitary pulmonary nodules,Medicine,2019,98,7,14248,10.1097/MD.0000000000014248,,Xu C; Yuan Q; Wang Y
108,"Zhang H, Wang C, Zhang Y, Xu S, Wang Y, Wang W. Diagnostic Value of Endobronchial Ultrasonography with A Guide Sheath Combined with Virtual Bronchoscopic Biopsy for Pulmonary Peripheral Lesions, Iran. J. Radiol. 2020;18(1). doi:10.5812/iranjradiol.81792.","Diagnostic Value of Endobronchial Ultrasonography with A Guide Sheath Combined with Virtual Bronchoscopic Biopsy for Pulmonary Peripheral Lesions, Iran",J. Radiol,2020,18,1,,10.5812/iranjradiol.81792,,Zhang H; Wang C; Zhang Y; Xu S; Wang Y; Wang W
109,"Zheng X, Xie F, Li Y, Chen J, Jiang Y, Sun J. Ultrathin bronchoscope combined with virtual bronchoscopic navigation and endobronchial ultrasound for the diagnosis of peripheral pulmonary lesions with or without fluoroscopy: A randomized trial. Thorac Cancer. 2021;12(12).",Ultrathin bronchoscope combined with virtual bronchoscopic navigation and endobronchial ultrasound for the diagnosis of peripheral pulmonary lesions with or without fluoroscopy: A randomized trial,Thorac Cancer,2021,12,12,,,,Zheng X; Xie F; Li Y; Chen J; Jiang Y; Sun J
110,"Nadig TR, Thomas N, Nietert PJ et al.. Guided bronchoscopy for the evaluation of pulmonary lesions: An updated meta-analysis. Guided bronchoscopy for the evaluation of pulmonary lesions: An updated meta-analysis. 2023;None.",Guided bronchoscopy for the evaluation of pulmonary lesions: An updated meta-analysis,Guided bronchoscopy for the evaluation of pulmonary lesions: An updated meta-analysis,2023,,,,,,Nadig TR; Thomas N; Nietert PJ; Lozier J; Tanner NT; Wang Memoli JS; Pastis NJ; Silvestri GA
111,"Gildea TR, Folch EE, Khandhar SJ et al.. The Impact of Biopsy Tool Choice and Rapid On-Site Evaluation on Diagnostic Accuracy for Malignant Lesions in the Prospective: Multicenter NAVIGATE Study. Journal of Bronchology & Interventional Pulmonology. 2021;28(3).",The Impact of Biopsy Tool Choice and Rapid On-Site Evaluation on Diagnostic Accuracy for Malignant Lesions in the Prospective: Multicenter NAVIGATE Study,Journal of Bronchology & Interventional Pulmonology,2021,28,3,,,,Gildea TR; Folch EE; Khandhar SJ; Pritchett MA; Lemense GP; Linden PA; Arenberg DA; Rickman OB; Mahajan AK; Singh J; Cicenia J; Mehta AC; Lin H; Mattingley JS
112,"Bossuyt PM, Reitsma JB, Bruns DE. an updated list of essential items for reporting diagnostic accuracy studies. BMJ : British Medical Journal. 2015;351. doi:10.1136/bmj.h5527.",an updated list of essential items for reporting diagnostic accuracy studies,BMJ : British Medical Journal,2015,351,,,10.1136/bmj.h5527,,Bossuyt PM; Reitsma JB; Bruns DE
113,"Kops SE, Verhoeven RL, Vermeulen RJ, Rovers MM, Van Der Heijden EH, Govers TM. Cone beam CT-guided navigation bronchoscopy: a costeffective alternative to CT-guided transthoracic biopsy for diagnosis of peripheral pulmonary nodules. BMJ OpenRespir Res. 2022;9(1):1280.",Cone beam CT-guided navigation bronchoscopy: a costeffective alternative to CT-guided transthoracic biopsy for diagnosis of peripheral pulmonary nodules,BMJ OpenRespir Res,2022,9,1,1280,,,Kops SE; Verhoeven RL; Vermeulen RJ; Rovers MM; Van Der Heijden EH; Govers TM
