#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Chernow B, Sahn SA. Carcinomatous involvement of the pleura: an analysis of 96 patients. Am J Med. 1977;63(3).",Carcinomatous involvement of the pleura: an analysis of 96 patients,Am J Med,1977,63,3,,,,Chernow B; Sahn SA
95,"Emad A, Rezaian GR. Treatment of malignant pleural effusions with a combination of bleomycin and tetracycline. A comparison of bleomycin or tetracycline alone versus a combination of bleomycin and tetracycline. Cancer. 1996;78(1L).",Treatment of malignant pleural effusions with a combination of bleomycin and tetracycline. A comparison of bleomycin or tetracycline alone versus a combination of bleomycin and tetracycline,Cancer,1996,78,1L,,,,Emad A; Rezaian GR
96,"Hamed H, Fentiman IS, Chaudary MA. Comparison of intracavitary bleomycin and talc for control of pleural effusions secondary to carcinoma of the breast. Br J Surg. 1989;76(1+).",Comparison of intracavitary bleomycin and talc for control of pleural effusions secondary to carcinoma of the breast,Br J Surg,1989,76,1+,,,,Hamed H; Fentiman IS; Chaudary MA
97,"Hartman DL, Gaither JM, Kesler KA. Comparison of insufflated talc under thoracoscopic guidance with standard tetracycline and bleomycin pleurodesis for control of malignant pleural effusions. J Thorac Cardiovasc Surg. 1993;105(2L).",Comparison of insufflated talc under thoracoscopic guidance with standard tetracycline and bleomycin pleurodesis for control of malignant pleural effusions,J Thorac Cardiovasc Surg,1993,105,2L,,,,Hartman DL; Gaither JM; Kesler KA
98,"Kessinger A, Wigton RS. Intracavitary bleomycin and tetracycline in the management of malignant pleural effusions: a randomized study. J Surg Oncol. 1987;36(1L).",Intracavitary bleomycin and tetracycline in the management of malignant pleural effusions: a randomized study,J Surg Oncol,1987,36,1L,,,,Kessinger A; Wigton RS
99,"Martinez-Moragon E, Aparicio J, Rogado MC. Pleurodesis in malignant pleural effusions: a randomized study of tetracycline versus bleomycin. Eur Respir J. 1997;10(1+):100.",Pleurodesis in malignant pleural effusions: a randomized study of tetracycline versus bleomycin,Eur Respir J,1997,10,1+,100,,,Martinez-Moragon E; Aparicio J; Rogado MC
100,"Noppen M, Degreve J, Mignolet M. A prospective, randomised study comparing the efficacy of talc slurry and bleomycin in the treatment of malignant pleural effusions. Acta Clin Belg. 1997;52(1+):101.","A prospective, randomised study comparing the efficacy of talc slurry and bleomycin in the treatment of malignant pleural effusions",Acta Clin Belg,1997,52,1+,101,,,Noppen M; Degreve J; Mignolet M
101,"Ong KC, Indumathi V, Raghuram J. A comparative study of pleurodesis using talc slurry and bleomycin in the management of malignant pleural effusions. Respirology. 2000;5(1L):102.",A comparative study of pleurodesis using talc slurry and bleomycin in the management of malignant pleural effusions,Respirology,2000,5,1L,102,,,Ong KC; Indumathi V; Raghuram J
102,"Ruckdeschel JC, Moores D, Lee JY. Intrapleural therapy for malignant pleural effusions. a randomized comparison of bleomycin and tetracycline. erratum appears in Chest. 1991;103.",Intrapleural therapy for malignant pleural effusions. a randomized comparison of bleomycin and tetracycline,erratum appears in Chest,1991,103,,,,,Ruckdeschel JC; Moores D; Lee JY
103,"Hsu WH, Chiang CD, Chen CY. Ultrasound-guided small-bore Elecath tube insertion for the rapid sclerotherapy of malignant pleural effusion. Jpn J Clin Oncol. 1998;28(3):104.",Ultrasound-guided small-bore Elecath tube insertion for the rapid sclerotherapy of malignant pleural effusion,Jpn J Clin Oncol,1998,28,3,104,,,Hsu WH; Chiang CD; Chen CY
104,"Kilic D, Akay H, Kavukcu S. Management of recurrent malignant pleural effusion with chemical pleurodesis. Surg Today. 2005;35(3):105.",Management of recurrent malignant pleural effusion with chemical pleurodesis,Surg Today,2005,35,3,105,,,Kilic D; Akay H; Kavukcu S
105,"Lorch DG, Gordon L, Wooten S. Effect of patient positioning on distribution of tetracycline in the pleural space during pleurodesis. Chest. 1988;93(1L):107.",Effect of patient positioning on distribution of tetracycline in the pleural space during pleurodesis,Chest,1988,93,1L,107,,,Lorch DG; Gordon L; Wooten S
106,"Mager HJ, Maesen B, Verzijlbergen F. Distribution of talc suspension during treatment of malignant pleural effusion with talc pleurodesis. Eur Respir J. 1970;36(4):111.",Distribution of talc suspension during treatment of malignant pleural effusion with talc pleurodesis,Eur Respir J,1970,36,4,111,,,Mager HJ; Maesen B; Verzijlbergen F
107,"Berger RL, Dargan EL, Huang BL. Dissemination of cancer cells by needle biopsy of the lung. J Thorac Cardiovasc Surg. 1972;63(3):112.",Dissemination of cancer cells by needle biopsy of the lung,J Thorac Cardiovasc Surg,1972,63,3,112,,,Berger RL; Dargan EL; Huang BL
108,"Kumar UN, Varkey B. Case report: subcutaneous metastasis. Rare complication of drainage of malignant pleural fluid. Postgrad Med. 1976;60(3):113.",Case report: subcutaneous metastasis. Rare complication of drainage of malignant pleural fluid,Postgrad Med,1976,60,3,113,,,Kumar UN; Varkey B
109,"Chen TP, Liu HP, Lu HI. Incidence of incisional recurrence after thoracoscopy. Surg Endosc. 2004;18(2L):114.",Incidence of incisional recurrence after thoracoscopy,Surg Endosc,2004,18,2L,114,,,Chen TP; Liu HP; Lu HI
110,"Boutin C, Rey F, Viallat JR. Prevention of malignant seeding after invasive diagnostic procedures in patients with pleural mesothelioma. A randomized trial of local radiotherapy. Chest. 1995;108(1+):115.",Prevention of malignant seeding after invasive diagnostic procedures in patients with pleural mesothelioma. A randomized trial of local radiotherapy,Chest,1995,108,1+,115,,,Boutin C; Rey F; Viallat JR
111,"O'rourke N, Garcia JC, Paul J. A randomised controlled trial of intervention site radiotherapy in malignant pleural mesothelioma. Radiother Oncol. 2007;84(1+):116.",A randomised controlled trial of intervention site radiotherapy in malignant pleural mesothelioma,Radiother Oncol,2007,84,1+,116,,,O'rourke N; Garcia JC; Paul J
112,"Bydder S, Phillips M, Joseph DJ. A randomised trial of single-dose radiotherapy to prevent procedure tract metastasis by malignant mesothelioma. Br J Cancer. 2004;91(1+):117.",A randomised trial of single-dose radiotherapy to prevent procedure tract metastasis by malignant mesothelioma,Br J Cancer,2004,91,1+,117,,,Bydder S; Phillips M; Joseph DJ
113,"Low EM, Khoury GG, Matthews AW. Prevention of tumour seeding following thoracoscopy in mesothelioma by prophylactic radiotherapy. Clin Oncol. 1995;7(3):118.",Prevention of tumour seeding following thoracoscopy in mesothelioma by prophylactic radiotherapy,Clin Oncol,1995,7,3,118,,,Low EM; Khoury GG; Matthews AW
114,"Agarwal PP, Seely JM, Matzinger FR. Pleural mesothelioma: sensitivity and incidence of needle track seeding after image-guided biopsy versus surgical biopsy. Respir Med. 1999;241(3):121.",Pleural mesothelioma: sensitivity and incidence of needle track seeding after image-guided biopsy versus surgical biopsy,Respir Med,1999,241,3,121,,,Agarwal PP; Seely JM; Matzinger FR
115,"Gilkeson RC, Silverman P, Haaga JR. Using urokinase to treat malignant pleural effusions. AJR. 1999;173(3):122.",Using urokinase to treat malignant pleural effusions,AJR,1999,173,3,122,,,Gilkeson RC; Silverman P; Haaga JR
116,"Hsu L, Soong TC, Feng A. Intrapleural urokinase for the treatment of loculated malignant pleural effusions and trapped lungs in medically inoperable cancer patients. J Thorac Oncol. 2006;1(2L):123.",Intrapleural urokinase for the treatment of loculated malignant pleural effusions and trapped lungs in medically inoperable cancer patients,J Thorac Oncol,2006,1,2L,123,,,Hsu L; Soong TC; Feng A
117,"Tillett WS, Sherry S. The effect in patients of streptococcal fibrinolysin and streptococcal desoxyribonuclease on fibrinous, purulent, and sanguinous pleural exudations. J Clin Invest. 1949;28(3):124.","The effect in patients of streptococcal fibrinolysin and streptococcal desoxyribonuclease on fibrinous, purulent, and sanguinous pleural exudations",J Clin Invest,1949,28,3,124,,,Tillett WS; Sherry S
118,"Godley PJ, Bell RC. Major hemorrhage following administration of intrapleural streptokinase. Eur Respir J. 1984;86(4):126.",Major hemorrhage following administration of intrapleural streptokinase,Eur Respir J,1984,86,4,126,,,Godley PJ; Bell RC
119,"Harris RJ, Kavuru MS, Rice TW. The diagnostic and therapeutic utility of thoracoscopy. A review. Chest. 1995;108(4):127.",The diagnostic and therapeutic utility of thoracoscopy. A review,Chest,1995,108,4,127,,,Harris RJ; Kavuru MS; Rice TW
120,"Menzies R, Charbonneau M. Thoracoscopy for the diagnosis of pleural disease. Ann Intern Med. 1991;114(3):128.",Thoracoscopy for the diagnosis of pleural disease,Ann Intern Med,1991,114,3,128,,,Menzies R; Charbonneau M
121,"Danby CA, Adebonojo SA, Moritz DM. Video-assisted talc pleurodesis for malignant pleural effusions utilizing local anesthesia and I.V. sedation. Chest. 1998;113(3):129.",Video-assisted talc pleurodesis for malignant pleural effusions utilizing local anesthesia and I.V. sedation,Chest,1998,113,3,129,,,Danby CA; Adebonojo SA; Moritz DM
122,"Arapis K, Caliandro R, Stern JB. Thoracoscopic palliative treatment of malignant pleural effusions: results in 273 patients. Surg Endosc. 2006;20(2+):130.",Thoracoscopic palliative treatment of malignant pleural effusions: results in 273 patients,Surg Endosc,2006,20,2+,130,,,Arapis K; Caliandro R; Stern JB
123,"Canto A, Blasco E, Casillas M. Thoracoscopy in the diagnosis of pleural effusion. Thorax. 1977;32(3):131.",Thoracoscopy in the diagnosis of pleural effusion,Thorax,1977,32,3,131,,,Canto A; Blasco E; Casillas M
124,"Ferrer J, Roldan J, Teixidor J. Predictors of pleural malignancy in patients with pleural effusion undergoing thoracoscopy. Chest. 2005;127(2+):132.",Predictors of pleural malignancy in patients with pleural effusion undergoing thoracoscopy,Chest,2005,127,2+,132,,,Ferrer J; Roldan J; Teixidor J
125,"Aelony Y, King RR, Boutin C. Thoracoscopic talc poudrage in malignant pleural effusions: effective pleurodesis despite low pleural pH. Chest. 1998;113(2L):133.",Thoracoscopic talc poudrage in malignant pleural effusions: effective pleurodesis despite low pleural pH,Chest,1998,113,2L,133,,,Aelony Y; King RR; Boutin C
126,"Debeljak A, Kecelj P, Triller N. Talc pleurodesis: comparison of talc slurry instillation with thoracoscopic talc insufflation for malignant pleural effusions. J BUON. 2006;11(2L):134.",Talc pleurodesis: comparison of talc slurry instillation with thoracoscopic talc insufflation for malignant pleural effusions,J BUON,2006,11,2L,134,,,Debeljak A; Kecelj P; Triller N
127,"Foroulis CN, Kotoulas C, Konstantinou M. The management of malignant pleural effusions: talc pleurodesis versus bleomycin pleurodesis. Br J Dis Chest. 1969;6(3):137.",The management of malignant pleural effusions: talc pleurodesis versus bleomycin pleurodesis,Br J Dis Chest,1969,6,3,137,,,Foroulis CN; Kotoulas C; Konstantinou M
128,"Viallat JR, Rey F, Astoul P. Thoracoscopic talc poudrage pleurodesis for malignant effusions. A review of 360 cases. Chest. 1996;110(2L):138.",Thoracoscopic talc poudrage pleurodesis for malignant effusions. A review of 360 cases,Chest,1996,110,2L,138,,,Viallat JR; Rey F; Astoul P
129,"Weissberg D, Ben-Zeev I. Talc pleurodesis. Experience with 360 patients. J Thorac Cardiovasc Surg. 1993;106(2L):139.",Talc pleurodesis. Experience with 360 patients,J Thorac Cardiovasc Surg,1993,106,2L,139,,,Weissberg D; Ben-Zeev I
130,"Gasparri R, Leo F, Veronesi G. Video-assisted management of malignant pleural effusion in breast carcinoma. Cancer. 2006;106(2L):140.",Video-assisted management of malignant pleural effusion in breast carcinoma,Cancer,2006,106,2L,140,,,Gasparri R; Leo F; Veronesi G
131,"Qureshi RA, Collinson SL, Powell RJ. Management of malignant pleural effusion associated with trapped lung syndrome. Asian Cardiovasc Thorac Ann. 1998;16(4):142.",Management of malignant pleural effusion associated with trapped lung syndrome,Asian Cardiovasc Thorac Ann,1998,16,4,142,,,Qureshi RA; Collinson SL; Powell RJ
132,"Cardillo G, Facciolo F, Carbone L. Long-term follow-up of video-assisted talc pleurodesis in malignant recurrent pleural effusions. Eur J Cardiothorac Surg. 2002;21(2+):143.",Long-term follow-up of video-assisted talc pleurodesis in malignant recurrent pleural effusions,Eur J Cardiothorac Surg,2002,21,2+,143,,,Cardillo G; Facciolo F; Carbone L
133,"De Campos JR, Vargas FS, De Campos Werebe E. Thoracoscopy talc poudrage: a 15-year experience. Chest. 2001;119(2+):144.",Thoracoscopy talc poudrage: a 15-year experience,Chest,2001,119,2+,144,,,De Campos JR; Vargas FS; De Campos Werebe E
134,"Pien GW, Gant MJ, Washam CL. Use of an implantable pleural catheter for trapped lung syndrome in patients with malignant pleural effusion. Chest. 2001;119(3):145.",Use of an implantable pleural catheter for trapped lung syndrome in patients with malignant pleural effusion,Chest,2001,119,3,145,,,Pien GW; Gant MJ; Washam CL
135,"Putnam JB, Walsh GL, Swisher SG. Outpatient management of malignant pleural effusion by a chronic indwelling pleural catheter. Ann Thorac Surg. 2000;69(3):147.",Outpatient management of malignant pleural effusion by a chronic indwelling pleural catheter,Ann Thorac Surg,2000,69,3,147,,,Putnam JB; Walsh GL; Swisher SG
136,"Warren WH, Kalimi R, Khodadadian LM. Single-center experience with 250 tunnelled pleural catheter insertions for malignant pleural effusion. Ann Thorac Surg. 2006;85(2L):149.",Single-center experience with 250 tunnelled pleural catheter insertions for malignant pleural effusion,Ann Thorac Surg,2006,85,2L,149,,,Warren WH; Kalimi R; Khodadadian LM
137,"Bertolaccini L, Zamprogna C, Barberis L. Catheter-tract metastases associated with chronic indwelling pleural catheters. Rev Recent Clinical Trials. 2007;2(3):151.",Catheter-tract metastases associated with chronic indwelling pleural catheters,Rev Recent Clinical Trials,2007,2,3,151,,,Bertolaccini L; Zamprogna C; Barberis L
138,"Martini N, Bains MS, Beattie EJ. Indications for pleurectomy in malignant effusion. Cancer. 1975;35(3):152.",Indications for pleurectomy in malignant effusion,Cancer,1975,35,3,152,,,Martini N; Bains MS; Beattie EJ
139,"Fry WA, Khandekar JD. Parietal pleurectomy for malignant pleural effusion. Ann Surg Oncol. 1995;2(2L):153.",Parietal pleurectomy for malignant pleural effusion,Ann Surg Oncol,1995,2,2L,153,,,Fry WA; Khandekar JD
140,"Bernard A, De Dompsure RB, Hagry O. Early and late mortality after pleurodesis for malignant pleural effusion. Ann Thorac Surg. 2002;74(2L):154.",Early and late mortality after pleurodesis for malignant pleural effusion,Ann Thorac Surg,2002,74,2L,154,,,Bernard A; De Dompsure RB; Hagry O
141,"Waller DA, Morritt GN, Forty J. Video-assisted thoracoscopic pleurectomy in the management of malignant pleural effusion. Chest. 1995;107(3).",Video-assisted thoracoscopic pleurectomy in the management of malignant pleural effusion,Chest,1995,107,3,,,,Waller DA; Morritt GN; Forty J
