#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Siegel RL, Miller KD, Jemal A. Cancer statistics. CA Cancer J Clin. 2018;68(1).",Cancer statistics,CA Cancer J Clin,2018,68,1,,,,Siegel RL; Miller KD; Jemal A
86,"Dibardino DM, Yarmus LB, Semaan R, Andrade RS. Electromagnetic navigation bronchoscopy-guided thoracoscopic wedge resection of small pulmonary nodules. Semin Thorac Cardiovasc Surg. 2010;7(Suppl 4):104.",Electromagnetic navigation bronchoscopy-guided thoracoscopic wedge resection of small pulmonary nodules,Semin Thorac Cardiovasc Surg,2010,7,Suppl 4,104,,,Dibardino DM; Yarmus LB; Semaan R; Andrade RS
87,"Mcguire FR, Kerley M, Ochran J, T. Radiotherapy monitoring device implantation into peripheral lung cancers: a therapeutic utility of electromagnetic navigational bronchoscopy. J Bronchology Interv Pulmonol. 2007;14(3):106.",Radiotherapy monitoring device implantation into peripheral lung cancers: a therapeutic utility of electromagnetic navigational bronchoscopy,J Bronchology Interv Pulmonol,2007,14,3,106,,,Mcguire FR; Kerley M; Ochran J; T
88,"Steinfort DP, Siva S, Kron T. Multimodality guidance for accurate bronchoscopic insertion of fiducial markers. J Thorac Oncol. 2015;10(2):107.",Multimodality guidance for accurate bronchoscopic insertion of fiducial markers,J Thorac Oncol,2015,10,2,107,,,Steinfort DP; Siva S; Kron T
89,"Sun J, Mao X, Xie F. Electromagnetic navigation bronchoscopy guided injection of methylene blue combined with hookwire for preoperative localization of small pulmonary lesions in thoracoscopic surgery. J Thorac Dis. 2015;7(12):108.",Electromagnetic navigation bronchoscopy guided injection of methylene blue combined with hookwire for preoperative localization of small pulmonary lesions in thoracoscopic surgery,J Thorac Dis,2015,7,12,108,,,Sun J; Mao X; Xie F
90,"Speicher JE, Bowling MR, Anciano CJ. Bronchoscopically placed dye marking for minimally invasive thoracic surgery: a surgeon's perspective. Clin Pulm Med. 2017;24(6):109.",Bronchoscopically placed dye marking for minimally invasive thoracic surgery: a surgeon's perspective,Clin Pulm Med,2017,24,6,109,,,Speicher JE; Bowling MR; Anciano CJ
91,"Bolton WD, Cochran T, Ben-Or S. Electromagnetic navigational bronchoscopy reduces the time required for localization and resection of lung nodules. Innovations. 2017;12(5):110.",Electromagnetic navigational bronchoscopy reduces the time required for localization and resection of lung nodules,Innovations,2017,12,5,110,,,Bolton WD; Cochran T; Ben-Or S
92,"Gildea TR, Byfield D, Hogarth S, DK. A retrospective analysis of delays in the diagnosis of lung cancer and associated costs. ClinicoEcon Outcomes Res. 2017;9:111.",A retrospective analysis of delays in the diagnosis of lung cancer and associated costs,ClinicoEcon Outcomes Res,2017,9,,111,,,Gildea TR; Byfield D; Hogarth S; DK
93,"Heerink WJ, De Bock GH, De Jonge GJ. Complication rates of CT-guided transthoracic lung biopsy: meta-analysis. Eur Radiol. 2017;27(1):112.",Complication rates of CT-guided transthoracic lung biopsy: meta-analysis,Eur Radiol,2017,27,1,112,,,Heerink WJ; De Bock GH; De Jonge GJ
94,"Belanger AR, Akulian JA. An update on the role of advanced diagnostic bronchoscopy in the evaluation and staging of lung cancer. Ther Adv Respir Dis. 2017;11(5):113.",An update on the role of advanced diagnostic bronchoscopy in the evaluation and staging of lung cancer,Ther Adv Respir Dis,2017,11,5,113,,,Belanger AR; Akulian JA
95,"Stowe HB, Ogake S, Sunil S. Improved respiratory motion tracking through a novel fiducial marker placement guidance system during electromagnetic navigational bronchoscopy. Int J Radiat Oncol Biol Phys. 2017;99(2):114.",Improved respiratory motion tracking through a novel fiducial marker placement guidance system during electromagnetic navigational bronchoscopy,Int J Radiat Oncol Biol Phys,2017,99,2,114,,,Stowe HB; Ogake S; Sunil S
96,"Anciano C, Brown C, Bowling M. Going off road: the first case reports of the use of the transbronchial access tool with electromagnetic navigational bronchoscopy. J Bronchology Interv Pulmonol. 2017;24(3):115.",Going off road: the first case reports of the use of the transbronchial access tool with electromagnetic navigational bronchoscopy,J Bronchology Interv Pulmonol,2017,24,3,115,,,Anciano C; Brown C; Bowling M
97,"Fielding D, Bashirzadeh F, Son JH. First human use of a new robotic-assisted navigation system for small peripheral pulmonary nodules demonstrates good safety profile and high diagnostic yield. Chest. 2017;152(4):116.",First human use of a new robotic-assisted navigation system for small peripheral pulmonary nodules demonstrates good safety profile and high diagnostic yield,Chest,2017,152,4,116,,,Fielding D; Bashirzadeh F; Son JH
98,"Rivera MP, Mehta AC, Wahidi MM. Establishing the diagnosis of lung cancer: Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(5):117.","Establishing the diagnosis of lung cancer: Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,5,117,,,Rivera MP; Mehta AC; Wahidi MM
99,"Mullon JJ, Burkart KM, Silvestri G. Interventional pulmonology fellowship accreditation standards: executive summary of the multi-society interventional pulmonology fellowship accreditation committee. Chest. 2017;151(5):118.",Interventional pulmonology fellowship accreditation standards: executive summary of the multi-society interventional pulmonology fellowship accreditation committee,Chest,2017,151,5,118,,,Mullon JJ; Burkart KM; Silvestri G
100,"Zhao ZR, Lau RW, Ng CS. Hybrid theatre and alternative localization techniques in conventional and single-port videoassisted thoracoscopic surgery. J Thorac Dis. 2016;8(Suppl 3):119.",Hybrid theatre and alternative localization techniques in conventional and single-port videoassisted thoracoscopic surgery,J Thorac Dis,2016,8,Suppl 3,119,,,Zhao ZR; Lau RW; Ng CS
101,"Gu Y, Chen S, Shi J. The introduction of electromagnetic navigation bronchoscopy for the diagnosis of small pulmonary peripheral lesions in an Asian population. J Thorac Dis. 2017;9(9):120.",The introduction of electromagnetic navigation bronchoscopy for the diagnosis of small pulmonary peripheral lesions in an Asian population,J Thorac Dis,2017,9,9,120,,,Gu Y; Chen S; Shi J
102,"Battisti WP, Wager E, Baltzer L. Good publication practice for communicating company-sponsored medical research: GPP3. Ann Intern Med. 2015;163(6):121.",Good publication practice for communicating company-sponsored medical research: GPP3,Ann Intern Med,2015,163,6,121,,,Battisti WP; Wager E; Baltzer L
103,"Panchabhai TS, Mehta AC. Historical perspectives of bronchoscopy. Connecting the dots. Ann Am Thorac Soc. 2015;12(5).",Historical perspectives of bronchoscopy. Connecting the dots,Ann Am Thorac Soc,2015,12,5,,,,Panchabhai TS; Mehta AC
