#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Risks of chest drain insertion. NPSA. 2008;003.,Risks of chest drain insertion,NPSA,2008,003,,,,,
105,"Tsai TH, Jerng J, Yang P. Clinical applications of transthoracic ultrasound in chest medicine. J Med Ultrasound. 2008;16(4):112.",Clinical applications of transthoracic ultrasound in chest medicine,J Med Ultrasound,2008,16,4,112,,,Tsai TH; Jerng J; Yang P
106,"Wu RG, Yuan A, Liaw YS. Image comparison of real-time gray-scale ultrasound and color Doppler ultrasound for use in diagnosis of minimal pleural effusion. Am J Respir Crit Care Med. 1994;150(4):114.",Image comparison of real-time gray-scale ultrasound and color Doppler ultrasound for use in diagnosis of minimal pleural effusion,Am J Respir Crit Care Med,1994,150,4,114,,,Wu RG; Yuan A; Liaw YS
107,"Qureshi NR, Rahman NM, Gleeson FV. Thoracic ultrasound in the diagnosis of malignant pleural effusion. Thorax. 2009;64(2+):115.",Thoracic ultrasound in the diagnosis of malignant pleural effusion,Thorax,2009,64,2+,115,,,Qureshi NR; Rahman NM; Gleeson FV
108,"Chian CF, Su WL, Soh LH. Echogenic swirling pattern as a predictor of malignant pleural effusions in patients with malignancies. Chest. 2004;126(2L):116.",Echogenic swirling pattern as a predictor of malignant pleural effusions in patients with malignancies,Chest,2004,126,2L,116,,,Chian CF; Su WL; Soh LH
109,"Yang PC, Luh KT, Chang DB. ThoraxsonographyePart II: Peripheral pulmonary consolidation. Ultrasound Med Biol. 1992;146(4):118.",ThoraxsonographyePart II: Peripheral pulmonary consolidation,Ultrasound Med Biol,1992,146,4,118,,,Yang PC; Luh KT; Chang DB
110,"Kearney SE, Davies CW, Davies RJ. Computed tomography and ultrasound in parapneumonic effusions and empyema. Curr Opin Pulm Med. 1996;55(4):120.",Computed tomography and ultrasound in parapneumonic effusions and empyema,Curr Opin Pulm Med,1996,55,4,120,,,Kearney SE; Davies CW; Davies RJ
111,"Chen KY, Liaw YS, Wang HC. Sonographic septation: a useful prognostic indicator of acute thoracic empyema. J Ultrasound Med. 2000;19(2):121.",Sonographic septation: a useful prognostic indicator of acute thoracic empyema,J Ultrasound Med,2000,19,2,121,,,Chen KY; Liaw YS; Wang HC
112,"Shankar S, Gulati M, Kang M. Image-guided percutaneous drainage of thoracic empyema: can sonography predict the outcome?. Eur Radiol. 2000;10(2):122.",Image-guided percutaneous drainage of thoracic empyema: can sonography predict the outcome?,Eur Radiol,2000,10,2,122,,,Shankar S; Gulati M; Kang M
113,"Vansonnenberg E, Wittich GR, Goodacre BW. Percutaneous drainage of thoracic collections. J Thorac Imaging. 1998;13(4):123.",Percutaneous drainage of thoracic collections,J Thorac Imaging,1998,13,4,123,,,Vansonnenberg E; Wittich GR; Goodacre BW
114,"Targhetta R, Bourgeois JM, Chavagneux R. Ultrasonographic approach to diagnosing hydropneumothorax. Chest. 1992;101(3):124.",Ultrasonographic approach to diagnosing hydropneumothorax,Chest,1992,101,3,124,,,Targhetta R; Bourgeois JM; Chavagneux R
115,"Reissig A, Kroegel C. Accuracy of transthoracic sonography in excluding postinterventional pneumothorax and hydropneumothorax. Comparison to chest radiography. Eur J Radiol. 2005;53(2):125.",Accuracy of transthoracic sonography in excluding postinterventional pneumothorax and hydropneumothorax. Comparison to chest radiography,Eur J Radiol,2005,53,2,125,,,Reissig A; Kroegel C
116,"Goodman TR, Traill ZC, Phillips AJ. Ultrasound detection of pneumothorax. Clin Radiol. 1999;54(2L):126.",Ultrasound detection of pneumothorax,Clin Radiol,1999,54,2L,126,,,Goodman TR; Traill ZC; Phillips AJ
117,"Slater A, Goodwin M, Anderson KE. COPD can mimic the appearance of pneumothorax on thoracic ultrasound. Chest. 2006;129(2):127.",COPD can mimic the appearance of pneumothorax on thoracic ultrasound,Chest,2006,129,2,127,,,Slater A; Goodwin M; Anderson KE
118,"Koh DM, Burke S, Davies N. Transthoracic US of the chest: clinical uses and applications. Radiographics. 2002;22(1):128.",Transthoracic US of the chest: clinical uses and applications,Radiographics,2002,22,1,128,,,Koh DM; Burke S; Davies N
119,"Emamian SA, Kaasbol MA, Olsen JF. Accuracy of the diagnosis of pleural effusion on supine chest x-ray. Eur Radiol. 1997;7(2):129.",Accuracy of the diagnosis of pleural effusion on supine chest x-ray,Eur Radiol,1997,7,2,129,,,Emamian SA; Kaasbol MA; Olsen JF
120,"Lichtenstein D, Hulot JS, Rabiller A. Feasibility and safety of ultrasoundaided thoracentesis in mechanically ventilated patients. Intensive Care Med. 1999;25(2L):130.",Feasibility and safety of ultrasoundaided thoracentesis in mechanically ventilated patients,Intensive Care Med,1999,25,2L,130,,,Lichtenstein D; Hulot JS; Rabiller A
121,"Mayo PH, Goltz HR, Tafreshi M. Safety of ultrasound-guided thoracentesis in patients receiving mechanical ventilation. Radiology. 1983;125(2+):133.",Safety of ultrasound-guided thoracentesis in patients receiving mechanical ventilation,Radiology,1983,125,2+,133,,,Mayo PH; Goltz HR; Tafreshi M
122,"Collins TR, Sahn SA. Thoracocentesis. Clinical value, complications, technical problems, and patient experience. Chest. 1987;91(2+):134.","Thoracocentesis. Clinical value, complications, technical problems, and patient experience",Chest,1987,91,2+,134,,,Collins TR; Sahn SA
123,"Grodzin CJ, Balk RA. Indwelling small pleural catheter needle thoracentesis in the management of large pleural effusions. Chest. 1997;111(3).",Indwelling small pleural catheter needle thoracentesis in the management of large pleural effusions,Chest,1997,111,3,,,,Grodzin CJ; Balk RA
