#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Non-small cell lung cancer (PDQ): Treatment. Non-small cell lung cancer (PDQ): Treatment. 2005;None.,Non-small cell lung cancer (PDQ): Treatment,Non-small cell lung cancer (PDQ): Treatment,2005,,,,,,
166,"Rao V, Todd T, Kuus A, Buth KJ, Pearson FG. Exercise oximetry versus spirometry in the assessment of risk prior to lung resection. Ann Thorac Surg. 1995;60(3):188.",Exercise oximetry versus spirometry in the assessment of risk prior to lung resection,Ann Thorac Surg,1995,60,3,188,,,Rao V; Todd T; Kuus A; Buth KJ; Pearson FG
167,"Brunelli A, Refai M, Xiumé F. Oxygen desaturation during maximal stair-climbing test and postoperative complications after major lung resections. Eur J Cardiothorac Surg. 2008;31(1):189.",Oxygen desaturation during maximal stair-climbing test and postoperative complications after major lung resections,Eur J Cardiothorac Surg,2008,31,1,189,,,Brunelli A; Refai M; Xiumé F
168,"Varela G, Cordovilla R, Jiménez MF, Novoa N. Utility of standardized exercise oximetry to predict cardiopulmonary morbidity after lung resection. Eur J Cardiothorac Surg. 2001;19(3):190.",Utility of standardized exercise oximetry to predict cardiopulmonary morbidity after lung resection,Eur J Cardiothorac Surg,2001,19,3,190,,,Varela G; Cordovilla R; Jiménez MF; Novoa N
169,"Melendez JA, Barrera R. Predictive respiratory complication quotient predicts pulmonary complications in thoracic surgical patients [published correction appears in. Ann Thorac Surg. 1998;6(6):191.",Predictive respiratory complication quotient predicts pulmonary complications in thoracic surgical patients [published correction appears in,Ann Thorac Surg,1998,6,6,191,,,Melendez JA; Barrera R
170,"Brunelli A, Fianchini A, Gesuita R, Carle F, Ferguson MK, Durkin AE. POSSUM scoring system as an instrument of audit in lung resection surgery. Physiological and operative severity score for the enumeration of mortality and morbidity. Eur J Cardiothorac Surg. 1999;67(2):193.",POSSUM scoring system as an instrument of audit in lung resection surgery. Physiological and operative severity score for the enumeration of mortality and morbidity,Eur J Cardiothorac Surg,1999,67,2,193,,,Brunelli A; Fianchini A; Gesuita R; Carle F; Ferguson MK; Durkin AE
171,"Berrisford R, Brunelli A, Rocco G, Treasure T, Utley M. Audit and guidelines committee of the European Society of Thoracic Surgeons ; European Association of Cardiothoracic Surgeons . The European Thoracic Surgery Data base project: modelling the risk of in-hospital death following lung resection. Eur J Cardiothorac Surg. 2005;28(2):194.",Audit and guidelines committee of the European Society of Thoracic Surgeons ; European Association of Cardiothoracic Surgeons . The European Thoracic Surgery Data base project: modelling the risk of in-hospital death following lung resection,Eur J Cardiothorac Surg,2005,28,2,194,,,Berrisford R; Brunelli A; Rocco G; Treasure T; Utley M
172,"Falcoz PE, Conti M, Brouchet L. The Thoracic Surgery Scoring System (Thoracoscore): risk model for in-hospital death in 15,183 patients requiring thoracic surgery. J Thorac Cardiovasc Surg. 1993;133(2):196.","The Thoracic Surgery Scoring System (Thoracoscore): risk model for in-hospital death in 15,183 patients requiring thoracic surgery",J Thorac Cardiovasc Surg,1993,133,2,196,,,Falcoz PE; Conti M; Brouchet L
173,"Zibrak JD, Donnell O, Marton CR, Tisi K, GM. Preoperative evaluation of pulmonary function. Validity, indications, and benefi ts. Am Rev Respir Dis. 1979;112(10):198.","Preoperative evaluation of pulmonary function. Validity, indications, and benefi ts",Am Rev Respir Dis,1979,112,10,198,,,Zibrak JD; Donnell O; Marton CR; Tisi K; GM
174,"Stein M, Koota GM, Simon M, Frank HA. Pulmonary evaluation of surgical patients. JAMA. 1962;181(9):199.",Pulmonary evaluation of surgical patients,JAMA,1962,181,9,199,,,Stein M; Koota GM; Simon M; Frank HA
175,"Kearney DJ, Lee TH, Reilly JJ, Decamp MM, Sugarbaker DJ. Assessment of operative risk in patients undergoing lung resection. Importance of predicted pulmonary function. Chest. 1994;105(3):200.",Assessment of operative risk in patients undergoing lung resection. Importance of predicted pulmonary function,Chest,1994,105,3,200,,,Kearney DJ; Lee TH; Reilly JJ; Decamp MM; Sugarbaker DJ
176,"Harpole DH, Liptay MJ, Decamp MM et al.. Prospective analysis of pneumonectomy: risk factors for major morbidity and cardiac dysrhythmias. Ann Thorac Surg. 1996;61(3):201.",Prospective analysis of pneumonectomy: risk factors for major morbidity and cardiac dysrhythmias,Ann Thorac Surg,1996,61,3,201,,,Harpole DH; Liptay MJ; Decamp MM; Jr; Mentzer SJ; Swanson SJ; Sugarbaker DJ
177,"Brooks D, Solway S, Gibbons WJ. ATS statement on six-minute walk test. Am J Respir Crit Care Med. 2003;167(9).",ATS statement on six-minute walk test,Am J Respir Crit Care Med,2003,167,9,,,,Brooks D; Solway S; Gibbons WJ
178,"Ribas J, Díaz O, Barberà JA. Invasive exercise testing in the evaluation of patients at high-risk for lung resection. Eur Respir J. 1998;12(6):166.",Invasive exercise testing in the evaluation of patients at high-risk for lung resection,Eur Respir J,1998,12,6,166,,,Ribas J; Díaz O; Barberà JA
179,"Bolliger CT, Solèr M, Stulz P. Evaluation of high-risk lung resection candidates: pulmonary haemodynamics versus exercise testing. A series of fi ve patients. Respiration. 1994;61(4):167.",Evaluation of high-risk lung resection candidates: pulmonary haemodynamics versus exercise testing. A series of fi ve patients,Respiration,1994,61,4,167,,,Bolliger CT; Solèr M; Stulz P
180,"Wang JS, Abboud RT, Evans KG, Finley RJ, Graham BL. Role of CO diffusing capacity during exercise in the preoperative evaluation for lung resection. Am J Respir Crit Care Med. 2000;162(4 Pt 1):168.",Role of CO diffusing capacity during exercise in the preoperative evaluation for lung resection,Am J Respir Crit Care Med,2000,162,4 Pt 1,168,,,Wang JS; Abboud RT; Evans KG; Finley RJ; Graham BL
181,"Vidal Melo MF, Barazanji K, Winga E, Johnson RL. Estimate of pulmonary diffusing capacity for oxygen during exercise in humans from routine O(2) and CO(2) measurements. Clin Physiol Funct Imaging. 2004;24(1):169.",Estimate of pulmonary diffusing capacity for oxygen during exercise in humans from routine O(2) and CO(2) measurements,Clin Physiol Funct Imaging,2004,24,1,169,,,Vidal Melo MF; Barazanji K; Winga E; Johnson RL
182,"Swinburn CR, Wakefi Eld JM, Jones PW. Performance, ventilation, and oxygen consumption in three different types of exercise test in patients with chronic obstructive lung disease. Thorax. 1985;40(8):170.","Performance, ventilation, and oxygen consumption in three different types of exercise test in patients with chronic obstructive lung disease",Thorax,1985,40,8,170,,,Swinburn CR; Wakefi Eld JM; Jones PW
183,"Pollock M, Roa J, Benditt J, Celli B. Estimation of ventilatory reserve by stair climbing. A study in patients with chronic airfl ow obstruction. Chest. 1993;104(5):171.",Estimation of ventilatory reserve by stair climbing. A study in patients with chronic airfl ow obstruction,Chest,1993,104,5,171,,,Pollock M; Roa J; Benditt J; Celli B
184,"Bolton J, Weiman DS, Haynes JL, Hornung CA, Olsen GN, Almond CH. Stair climbing as an indicator of pulmonary function. Chest. 1987;92(5):172.",Stair climbing as an indicator of pulmonary function,Chest,1987,92,5,172,,,Bolton J; Weiman DS; Haynes JL; Hornung CA; Olsen GN; Almond CH
185,"Brunelli A, Refai A, Monteverde M et al.. Stair climbing test predicts cardiopulmonary complications after lung resection. Chest. 2002;121(4):173.",Stair climbing test predicts cardiopulmonary complications after lung resection,Chest,2002,121,4,173,,,Brunelli A; Refai A; Monteverde M; Borri M; Salati A; Fianchini M; A
186,"Olsen GN, Bolton J, Weiman DS, Hornung CA. Stair climbing as an exercise test to predict the postoperative complications of lung resection. Two years' experience. Chest. 1991;99(3):174.",Stair climbing as an exercise test to predict the postoperative complications of lung resection. Two years' experience,Chest,1991,99,3,174,,,Olsen GN; Bolton J; Weiman DS; Hornung CA
187,"Brunelli A, Xiumé F, Refai M. Peak oxygen consumption measured during the stair-climbing test in lung resection candidates. Respiration. 2010;80(3):175.",Peak oxygen consumption measured during the stair-climbing test in lung resection candidates,Respiration,2010,80,3,175,,,Brunelli A; Xiumé F; Refai M
188,"Koegelenberg C, Diacon AH, Irani S, Bolliger CT. Stair climbing in the functional assessment of lung resection candidates. Respiration. 2008;75(4):176.",Stair climbing in the functional assessment of lung resection candidates,Respiration,2008,75,4,176,,,Koegelenberg C; Diacon AH; Irani S; Bolliger CT
189,"Toker A, Ziyade S, Bayrak Y. Prediction of cardio pul monary morbidity after resection for lung cancer: stair climbing test complications after lung cancer surgery. Thorac Cardiovasc Surg. 2007;55(4):177.",Prediction of cardio pul monary morbidity after resection for lung cancer: stair climbing test complications after lung cancer surgery,Thorac Cardiovasc Surg,2007,55,4,177,,,Toker A; Ziyade S; Bayrak Y
190,"Brunelli A, Sabbatini A, Xiume 'F. Inability to perform maximal stair climbing test before lung resection: a propensity score analysis on early outcome. Eur J Cardiothorac Surg. 2005;27(3):178.",Inability to perform maximal stair climbing test before lung resection: a propensity score analysis on early outcome,Eur J Cardiothorac Surg,2005,27,3,178,,,Brunelli A; Sabbatini A; Xiume 'F
191,"Brunelli A, Monteverde M, Refai A, Fianchini M, A. Stair climbing test as a predictor of cardiopulmonary complications after pulmonary lobectomy in the elderly. Ann Thorac Surg. 2004;77(1):179.",Stair climbing test as a predictor of cardiopulmonary complications after pulmonary lobectomy in the elderly,Ann Thorac Surg,2004,77,1,179,,,Brunelli A; Monteverde M; Refai A; Fianchini M; A
192,"Solway S, Brooks D, Lacasse Y, Thomas S. A qualitative systematic overview of the measurement properties of functional walk tests used in the cardiorespiratory domain. Chest. 2001;119(1):180.",A qualitative systematic overview of the measurement properties of functional walk tests used in the cardiorespiratory domain,Chest,2001,119,1,180,,,Solway S; Brooks D; Lacasse Y; Thomas S
193,"Singh SJ, Morgan M, Scott S, Walters D, Hardman AE. Development of a shuttle walking test of disability in patients with chronic airways obstruction. Thorax. 1992;47(12):181.",Development of a shuttle walking test of disability in patients with chronic airways obstruction,Thorax,1992,47,12,181,,,Singh SJ; Morgan M; Scott S; Walters D; Hardman AE
194,"Win T, Jackson A, Groves AM. Relationship of shuttle walk test and lung cancer surgical outcome. Eur J Cardiothorac Surg. 2004;26(6):182.",Relationship of shuttle walk test and lung cancer surgical outcome,Eur J Cardiothorac Surg,2004,26,6,182,,,Win T; Jackson A; Groves AM
195,"Benzo RP, Sciurba FC. Oxygen consumption, shuttle walking test and the evaluation of lung resection. Respiration. 2010;80(1):183.","Oxygen consumption, shuttle walking test and the evaluation of lung resection",Respiration,2010,80,1,183,,,Benzo RP; Sciurba FC
196,"Crapo RO, Casaburi R, Coates AL. ATS Committee on Profi ciency Standards for Clinical Pulmonary Function. ATS Committee on Profi ciency Standards for Clinical Pulmonary Function. None;None.",ATS Committee on Profi ciency Standards for Clinical Pulmonary Function,ATS Committee on Profi ciency Standards for Clinical Pulmonary Function,,,,,,,Crapo RO; Casaburi R; Coates AL
197,"Olsen GN, Block AJ, Tobias JA. Prediction of postpneumonectomy pulmonary function using quantitative macroaggregate lung scanning. Chest. 1974;66(1):203.",Prediction of postpneumonectomy pulmonary function using quantitative macroaggregate lung scanning,Chest,1974,66,1,203,,,Olsen GN; Block AJ; Tobias JA
198,"Nezu K, Kushibe K, Tojo T, Takahama M, Kitamura S. Recovery and limitation of exercise capacity after lung resection for lung cancer. Chest. 1998;113(6):204.",Recovery and limitation of exercise capacity after lung resection for lung cancer,Chest,1998,113,6,204,,,Nezu K; Kushibe K; Tojo T; Takahama M; Kitamura S
199,"Bolliger CT, Jordan P, Solèr M. Pulmonary function and exercise capacity after lung resection. Eur Respir J. 1996;9(3):205.",Pulmonary function and exercise capacity after lung resection,Eur Respir J,1996,9,3,205,,,Bolliger CT; Jordan P; Solèr M
200,"Pelletier C, Lapointe L, Leblanc P. Effects of lung resection on pulmonary function and exercise capacity. Thorax. 1990;45(7):206.",Effects of lung resection on pulmonary function and exercise capacity,Thorax,1990,45,7,206,,,Pelletier C; Lapointe L; Leblanc P
201,"Ali MK, Ewer MS, Atallah MR. Regional and overall pulmonary function changes in lung cancer. Correlations with tumor stage, extent of pulmonary resection, and patient survival. J Thorac Cardiovasc Surg. 1983;86(1):207.","Regional and overall pulmonary function changes in lung cancer. Correlations with tumor stage, extent of pulmonary resection, and patient survival",J Thorac Cardiovasc Surg,1983,86,1,207,,,Ali MK; Ewer MS; Atallah MR
202,"Sarna L, Evangelista L, Tashkin D. Impact of respiratory symptoms and pulmonary function on quality of life of long-term survivors of non-small cell lung cancer. Chest. 2004;125(2):208.",Impact of respiratory symptoms and pulmonary function on quality of life of long-term survivors of non-small cell lung cancer,Chest,2004,125,2,208,,,Sarna L; Evangelista L; Tashkin D
203,"Rivera MP, Detterbeck FC, Socinski MA. Impact of preoperative chemotherapy on pulmonary function tests in resectable early-stage non-small cell lung cancer. Chest. 2009;135(6):209.",Impact of preoperative chemotherapy on pulmonary function tests in resectable early-stage non-small cell lung cancer,Chest,2009,135,6,209,,,Rivera MP; Detterbeck FC; Socinski MA
204,"Leo F, Solli P, Spaggiari L. Respiratory function changes after chemotherapy: an additional risk for postoperative respiratory complications?. Ann Thorac Surg. 2004;77(1):210.",Respiratory function changes after chemotherapy: an additional risk for postoperative respiratory complications?,Ann Thorac Surg,2004,77,1,210,,,Leo F; Solli P; Spaggiari L
205,"Takeda S, Funakoshi Y, Kadota Y. Fall in diffusing capacity associated with induction therapy for lung cancer: a predictor of postoperative complication?. Ann Thorac Surg. 2006;82(1):211.",Fall in diffusing capacity associated with induction therapy for lung cancer: a predictor of postoperative complication?,Ann Thorac Surg,2006,82,1,211,,,Takeda S; Funakoshi Y; Kadota Y
206,"Margaritora S, Cesario A, Cusumano G. Is pulmonary function damaged by neoadjuvant lung cancer therapy? A comprehensive serial time-trend analysis of pulmonary function after induction radiochemotherapy plus surgery. J Thorac Cardiovasc Surg. 2010;139(6):212.",Is pulmonary function damaged by neoadjuvant lung cancer therapy? A comprehensive serial time-trend analysis of pulmonary function after induction radiochemotherapy plus surgery,J Thorac Cardiovasc Surg,2010,139,6,212,,,Margaritora S; Cesario A; Cusumano G
207,"Cerfolio RJ, Talati A, Bryant AS. Changes in pulmonary function tests after neoadjuvant therapy predict postoperative complications. Ann Thorac Surg. 2009;88(3):213.",Changes in pulmonary function tests after neoadjuvant therapy predict postoperative complications,Ann Thorac Surg,2009,88,3,213,,,Cerfolio RJ; Talati A; Bryant AS
208,"Fujita S, Katakami N, Takahashi Y. Postoperative complications after induction chemoradiotherapy in patients with non-small-cell lung cancer. Eur J Cardiothorac Surg. 2006;29(6):214.",Postoperative complications after induction chemoradiotherapy in patients with non-small-cell lung cancer,Eur J Cardiothorac Surg,2006,29,6,214,,,Fujita S; Katakami N; Takahashi Y
209,"Fishman A, Martinez F, Naunheim K. A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema. N Engl J Med. 2003;348(21):215.",A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema,N Engl J Med,2003,348,21,215,,,Fishman A; Martinez F; Naunheim K
210,"Duarte IG, Gal AA, Mansour KA, Lee RB, Miller JI. Pathologic fi ndings in lung volume reduction surgery. Chest. 1998;113(3):216.",Pathologic fi ndings in lung volume reduction surgery,Chest,1998,113,3,216,,,Duarte IG; Gal AA; Mansour KA; Lee RB; Miller JI
211,"Keller CA, Naunheim KS, Osterloh J, Espiritu J, Mcdonald JW, Ramos RR. Histopathologic diagnosis made in lung tissue resected from patients with severe emphysema undergoing lung volume reduction surgery. Chest. 1997;111(4):217.",Histopathologic diagnosis made in lung tissue resected from patients with severe emphysema undergoing lung volume reduction surgery,Chest,1997,111,4,217,,,Keller CA; Naunheim KS; Osterloh J; Espiritu J; Mcdonald JW; Ramos RR
212,"Mckenna Rj, Fischel RJ, Brenner M, Gelb AF. Combined operations for lung volume reduction surgery and lung cancer. Chest. 1996;110(4):218.",Combined operations for lung volume reduction surgery and lung cancer,Chest,1996,110,4,218,,,Mckenna Rj; Fischel RJ; Brenner M; Gelb AF
213,"Vaughan P, Oey I, Nakas A, Martin-Ucar A, Edwards J, Waller D. Is there a role for therapeutic lobectomy for emphysema?. Eur J Cardiothorac Surg. 2007;31(3):219.",Is there a role for therapeutic lobectomy for emphysema?,Eur J Cardiothorac Surg,2007,31,3,219,,,Vaughan P; Oey I; Nakas A; Martin-Ucar A; Edwards J; Waller D
214,"Demeester SR, Patterson GA, Sundaresan RS et al.. Lung volume reduction surgery alters management of pulmonary nodules in patients with severe COPD. J Thorac Cardiovasc Surg. 1997;115(3):221.",Lung volume reduction surgery alters management of pulmonary nodules in patients with severe COPD,J Thorac Cardiovasc Surg,1997,115,3,221,,,Demeester SR; Patterson GA; Sundaresan RS; Cooper J; Tc; Martinez F; Paine R; Iii
215,"Derose JJ, Argenziano M, El-Amir N. Lung reduction operation and resection of pulmonary nodules in patients with severe emphysema. Ann Thorac Surg. 1998;65(2):222.",Lung reduction operation and resection of pulmonary nodules in patients with severe emphysema,Ann Thorac Surg,1998,65,2,222,,,Derose JJ; Argenziano M; El-Amir N
216,"Rozenshtein A, White CS, Austin J, Romney BM, Protopapas Z, Krasna MJ. Incidental lung carcinoma detected at CT in patients selected for lung volume reduction surgery to treat severe pulmonary emphysema. Radiology. 1998;207(2):223.",Incidental lung carcinoma detected at CT in patients selected for lung volume reduction surgery to treat severe pulmonary emphysema,Radiology,1998,207,2,223,,,Rozenshtein A; White CS; Austin J; Romney BM; Protopapas Z; Krasna MJ
217,"Allen GM, Derose. Pulmonary nodule resection during lung volume reduction surgery. AORN. 1997;66(5).",Pulmonary nodule resection during lung volume reduction surgery,AORN,1997,66,5,,,,Allen GM; Derose
218,"Choong CK, Meyers BF, Battafarano RJ. Lung cancer resection combined with lung volume reduction in patients with severe emphysema. J Thorac Cardiovasc Surg. 2004;127(5):225.",Lung cancer resection combined with lung volume reduction in patients with severe emphysema,J Thorac Cardiovasc Surg,2004,127,5,225,,,Choong CK; Meyers BF; Battafarano RJ
219,"Pompeo E, Dominicis D, Ambrogi E et al.. Quality of life after tailored combined surgery for stage I non-small-cell lung cancer and severe emphysema. Ann Thorac Surg. 2003;76(6):226.",Quality of life after tailored combined surgery for stage I non-small-cell lung cancer and severe emphysema,Ann Thorac Surg,2003,76,6,226,,,Pompeo E; Dominicis D; Ambrogi E; Mineo V; Elia D; Mineo S; TC
220,"Nakajima T, Sekine Y, Yamada Y. Long-term surgical outcome in patients with lung cancer and coexisting severe COPD. Thorac Cardiovasc Surg. 2009;57(6):227.",Long-term surgical outcome in patients with lung cancer and coexisting severe COPD,Thorac Cardiovasc Surg,2009,57,6,227,,,Nakajima T; Sekine Y; Yamada Y
221,"Mentzer SJ, Swanson SJ. Treatment of patients with lung cancer and severe emphysema. Chest. 1999;116(suppl 6).",Treatment of patients with lung cancer and severe emphysema,Chest,1999,116,suppl 6,,,,Mentzer SJ; Swanson SJ
222,"Barrera R, Shi WJ, Amar D. Smoking and timing of cessation: impact on pulmonary complications after thoracotomy. Chest. 2005;127(6):229.",Smoking and timing of cessation: impact on pulmonary complications after thoracotomy,Chest,2005,127,6,229,,,Barrera R; Shi WJ; Amar D
223,"Groth SS, Whitson BA, Kuskowski MA, Holmstrom AM, Rubins JB, Kelly RF. Impact of preoperative smoking status on postoperative complication rates and pulmonary function test results 1-year following pulmonary resection for non-small cell lung cancer. Lung Cancer. 2009;64(3):230.",Impact of preoperative smoking status on postoperative complication rates and pulmonary function test results 1-year following pulmonary resection for non-small cell lung cancer,Lung Cancer,2009,64,3,230,,,Groth SS; Whitson BA; Kuskowski MA; Holmstrom AM; Rubins JB; Kelly RF
224,"Nakagawa M, Tanaka H, Tsukuma H, Kishi Y. Relationship between the duration of the preoperative smoke-free period and the incidence of postoperative pulmonary complications after pulmonary surgery. Chest. 2001;120(3):231.",Relationship between the duration of the preoperative smoke-free period and the incidence of postoperative pulmonary complications after pulmonary surgery,Chest,2001,120,3,231,,,Nakagawa M; Tanaka H; Tsukuma H; Kishi Y
225,"Mason DP, Subramanian S, Nowicki ER. Impact of smoking cessation before resection of lung cancer: a Society of Thoracic Surgeons General Thoracic Surgery Database study. Ann Thorac Surg. 2009;88(2):232.",Impact of smoking cessation before resection of lung cancer: a Society of Thoracic Surgeons General Thoracic Surgery Database study,Ann Thorac Surg,2009,88,2,232,,,Mason DP; Subramanian S; Nowicki ER
226,"Nakamura H, Haruki T, Adachi Y, Fujioka S, Miwa K, Taniguchi Y. Smoking affects prognosis after lung cancer surgery. Surg Today. 2008;38(3):233.",Smoking affects prognosis after lung cancer surgery,Surg Today,2008,38,3,233,,,Nakamura H; Haruki T; Adachi Y; Fujioka S; Miwa K; Taniguchi Y
227,"Slatore CG, Au DH, Hollingworth W. Cost-effectiveness of a smoking cessation program implemented at the time of surgery for lung cancer. J Thorac Oncol. 2009;4(4):234.",Cost-effectiveness of a smoking cessation program implemented at the time of surgery for lung cancer,J Thorac Oncol,2009,4,4,234,,,Slatore CG; Au DH; Hollingworth W
228,"Leone FT, Evers-Casey S, Toll BA et al.. Follow-up and surveillance of the lung cancer patient after curative-intent therapy: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(5).","Follow-up and surveillance of the lung cancer patient after curative-intent therapy: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,5,,,,Leone FT; Evers-Casey S; Toll BA; Vachani A; Colt HG; Murgu SD; Korst RJ; Slatore CG; Unger M; Quadrelli S
229,"Ries AL, Make BJ, Lee SM. The effects of pulmonary 241. The effects of pulmonary 241. None;None.",The effects of pulmonary 241,The effects of pulmonary 241,,,,,,,Ries AL; Make BJ; Lee SM
230,"Riesenberg H, Lübbe AS. In-patient rehabilitation of lung cancer patients-a prospective study. Support Care Cancer. 2010;18(7):242.",In-patient rehabilitation of lung cancer patients-a prospective study,Support Care Cancer,2010,18,7,242,,,Riesenberg H; Lübbe AS
231,"Arbane G, Tropman D, Jackson D, Garrod R. Evaluation of an early exercise intervention after thoracotomy for non-small cell lung cancer (NSCLC), effects on quality of life, muscle strength and exercise tolerance: randomised controlled trial. Lung Cancer. 2011;71(2):243.","Evaluation of an early exercise intervention after thoracotomy for non-small cell lung cancer (NSCLC), effects on quality of life, muscle strength and exercise tolerance: randomised controlled trial",Lung Cancer,2011,71,2,243,,,Arbane G; Tropman D; Jackson D; Garrod R
232,"Spruit MA, Janssen PP, Willemsen S, Hochstenbag M, Wouters E. Exercise capacity before and after an 8-week multidisciplinary inpatient rehabilitation program in lung cancer patients: a pilot study. Lung Cancer. 2006;52(2):244.",Exercise capacity before and after an 8-week multidisciplinary inpatient rehabilitation program in lung cancer patients: a pilot study,Lung Cancer,2006,52,2,244,,,Spruit MA; Janssen PP; Willemsen S; Hochstenbag M; Wouters E
233,"Kaneda H, Saito Y, Okamoto M, Maniwa T, Minami K, Imamura H. Early postoperative mobilization with walking at 4 hours after lobectomy in lung cancer patients. Gen Thorac Cardiovasc Surg. 2005;55(12):237.",Early postoperative mobilization with walking at 4 hours after lobectomy in lung cancer patients,Gen Thorac Cardiovasc Surg,2005,55,12,237,,,Kaneda H; Saito Y; Okamoto M; Maniwa T; Minami K; Imamura H
234,"Weinstein H, Bates AT, Spaltro BE, Thaler HT, Steingart RM. Infl uence of preoperative exercise capacity on length of stay after thoracic cancer surgery. Ann Thorac Surg. 2007;84(1):238.",Infl uence of preoperative exercise capacity on length of stay after thoracic cancer surgery,Ann Thorac Surg,2007,84,1,238,,,Weinstein H; Bates AT; Spaltro BE; Thaler HT; Steingart RM
235,"Bobbio A, Chetta A, Ampollini L. Preoperative pulmonary rehabilitation in patients undergoing lung resection for non-small cell lung cancer. Eur J Cardiothorac Surg. 2008;33(1):239.",Preoperative pulmonary rehabilitation in patients undergoing lung resection for non-small cell lung cancer,Eur J Cardiothorac Surg,2008,33,1,239,,,Bobbio A; Chetta A; Ampollini L
236,"Jones LW, Eves ND, Peterson BL. Safety and feasibility of aerobic training on cardiopulmonary function and quality of life in postsurgical nonsmall cell lung cancer patients: a pilot study. Cancer. 2008;113(12):240.",Safety and feasibility of aerobic training on cardiopulmonary function and quality of life in postsurgical nonsmall cell lung cancer patients: a pilot study,Cancer,2008,113,12,240,,,Jones LW; Eves ND; Peterson BL
237,"Cesario A, Ferri L, Galetta D. Post-operative respiratory rehabilitation after lung resection for non-small cell lung cancer. Lung Cancer. 2007;57(2).",Post-operative respiratory rehabilitation after lung resection for non-small cell lung cancer,Lung Cancer,2007,57,2,,,,Cesario A; Ferri L; Galetta D
