#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ikeda S, Yanai N, Ishikawa S. Flexible bronchofiberscope. Keio J Med. 1968;17.",Flexible bronchofiberscope,Keio J Med,1968,17,,,,,Ikeda S; Yanai N; Ishikawa S
99,"Putinati S, Ballerin L, Corbetta L. Patient satisfaction with conscious sedation for bronchoscopy. Chest. 1999;115.",Patient satisfaction with conscious sedation for bronchoscopy,Chest,1999,115,,,,,Putinati S; Ballerin L; Corbetta L
100,"Gonzalez R, De-La-Rosa-Ramirez I, Maldonado-Hernandez A. Should patients undergoing a bronchoscopy be sedated?. Acta Anaesthesiol Scand. 2003;47.",Should patients undergoing a bronchoscopy be sedated?,Acta Anaesthesiol Scand,2003,47,,,,,Gonzalez R; De-La-Rosa-Ramirez I; Maldonado-Hernandez A
101,"Rand D, IA. Thorax. Thorax. 2013;68:100. doi:10.1136/thoraxjnl-2013-203618i29.",Thorax,Thorax,2013,68,,100,10.1136/thoraxjnl-2013-203618i29,,Rand D; IA
102,"Hatton MQ, Allen MB, Vathenen AS. Does sedation help in fibreoptic bronchoscopy. BMJ. 1994;309:101.",Does sedation help in fibreoptic bronchoscopy,BMJ,1994,309,,101,,,Hatton MQ; Allen MB; Vathenen AS
103,"Silvestri GA, Vincent BD, Wahidi MM. A phase 3, randomized, double-blind study to assess the efficacy and safety of fospropofol disodium injection for moderate sedation in patients undergoing flexible bronchoscopy. Chest. 2009;135:102.","A phase 3, randomized, double-blind study to assess the efficacy and safety of fospropofol disodium injection for moderate sedation in patients undergoing flexible bronchoscopy",Chest,2009,135,,102,,,Silvestri GA; Vincent BD; Wahidi MM
104,"Maguire GP, Rubinfeld AR, Trembath PW. Patients prefer sedation for fibreoptic bronchoscopy. Respirology. 1998;3:103.",Patients prefer sedation for fibreoptic bronchoscopy,Respirology,1998,3,,103,,,Maguire GP; Rubinfeld AR; Trembath PW
105,De S. Assessment of patient satisfaction and lidocaine requirement during flexible bronchoscopy without sedation. J Bronchol. 2009;16:104.,Assessment of patient satisfaction and lidocaine requirement during flexible bronchoscopy without sedation,J Bronchol,2009,16,,104,,,De S
106,"Morris LG, Zeitler DM, Amin MR. Unsedated flexible fiberoptic bronchoscopy in the resident clinic: technique and patient satisfaction. Implementing and ensuring safe sedation practice for healthcare procedures in adults. 2001;117:107.",Unsedated flexible fiberoptic bronchoscopy in the resident clinic: technique and patient satisfaction,Implementing and ensuring safe sedation practice for healthcare procedures in adults,2001,117,,107,,,Morris LG; Zeitler DM; Amin MR
107,"Ramsay MA, Savege TM, Simpson BR. Controlled sedation with alphaxalone-alphadolone. Br Med J. 1974;2:108.",Controlled sedation with alphaxalone-alphadolone,Br Med J,1974,2,,108,,,Ramsay MA; Savege TM; Simpson BR
108,"Chernik DA, Gillings D, Laine H. Validity and reliability of the Observer's Assessment of Alertness/Sedation Scale: study with intravenous midazolam. J Clin Psychopharmacol. 1990;10:109.",Validity and reliability of the Observer's Assessment of Alertness/Sedation Scale: study with intravenous midazolam,J Clin Psychopharmacol,1990,10,,109,,,Chernik DA; Gillings D; Laine H
109,"Clarkson K, Power CK, Connell O, F. A comparative evaluation of propofol and midazolam as sedative agents in fiberoptic bronchoscopy. Chest. 1993;104:110.",A comparative evaluation of propofol and midazolam as sedative agents in fiberoptic bronchoscopy,Chest,1993,104,,110,,,Clarkson K; Power CK; Connell O; F
110,"Clark G, Licker M, Younossian AB. Titrated sedation with propofol or midazolam for flexible bronchoscopy: a randomised trial. Eur Respir J. 2009;34:111.",Titrated sedation with propofol or midazolam for flexible bronchoscopy: a randomised trial,Eur Respir J,2009,34,,111,,,Clark G; Licker M; Younossian AB
111,"Crawford M, Pollock J, Anderson K. Comparison of midazolam with propofol for sedation in outpatient bronchoscopy. Br J Anaesth. 1993;70:112.",Comparison of midazolam with propofol for sedation in outpatient bronchoscopy,Br J Anaesth,1993,70,,112,,,Crawford M; Pollock J; Anderson K
112,"Greig JH, Cooper SM, Kasimbazi HJ. Sedation for fibre optic bronchoscopy. Respir Med. 1995;89:113.",Sedation for fibre optic bronchoscopy,Respir Med,1995,89,,113,,,Greig JH; Cooper SM; Kasimbazi HJ
113,"Houghton CM, Raghuram A, Sullivan PJ. Pre-medication for bronchoscopy: a randomised double blind trial comparing alfentanil with midazolam. Respir Med. 2004;98:114.",Pre-medication for bronchoscopy: a randomised double blind trial comparing alfentanil with midazolam,Respir Med,2004,98,,114,,,Houghton CM; Raghuram A; Sullivan PJ
114,"Hwang J, Jeon Y, Park HP. Comparison of alfetanil and ketamine in combination with propofol for patient-controlled sedation during fiberoptic bronchoscopy. Acta Anaesthesiol Scand. 2005;49:115.",Comparison of alfetanil and ketamine in combination with propofol for patient-controlled sedation during fiberoptic bronchoscopy,Acta Anaesthesiol Scand,2005,49,,115,,,Hwang J; Jeon Y; Park HP
115,"Lo YL, Lin TY, Fang YF. Feasibility of bispectral index-guided propofol infusion for flexible bronchoscopy sedation: a randomized controlled trial. PLoS ONE. 2011;6:116.",Feasibility of bispectral index-guided propofol infusion for flexible bronchoscopy sedation: a randomized controlled trial,PLoS ONE,2011,6,,116,,,Lo YL; Lin TY; Fang YF
116,"Schlatter L, Pflimlin E, Fehrke B. Propofol versus propofol plus hydrocodone for flexible bronchoscopy: a randomised study. Eur Respir J. 2011;38:117.",Propofol versus propofol plus hydrocodone for flexible bronchoscopy: a randomised study,Eur Respir J,2011,38,,117,,,Schlatter L; Pflimlin E; Fehrke B
117,"Stolz D, Chhajed PN, Leuppi JD. Cough suppression during flexible bronchoscopy using combined sedation with midazolam and hydrocodone: a randomised, double blind, placebo controlled trial. Thorax. 2004;59:118.","Cough suppression during flexible bronchoscopy using combined sedation with midazolam and hydrocodone: a randomised, double blind, placebo controlled trial",Thorax,2004,59,,118,,,Stolz D; Chhajed PN; Leuppi JD
118,"Stolz D, Kurer G, Meyer A. Propofol versus combined sedation in flexible bronchoscopy: a randomised non-inferiority trial. Eur Respir J. 2009;34:119.",Propofol versus combined sedation in flexible bronchoscopy: a randomised non-inferiority trial,Eur Respir J,2009,34,,119,,,Stolz D; Kurer G; Meyer A
119,"Dundee JW, Collier PS, Carlisle RJ. Prolonged midazolam elimination half-life. Br J Clin Pharmacol. 1986;21:120.",Prolonged midazolam elimination half-life,Br J Clin Pharmacol,1986,21,,120,,,Dundee JW; Collier PS; Carlisle RJ
120,"Dreher M, Ekkernkamp E, Storre JH. Sedation during flexible bronchoscopy in patients with pre-existing respiratory failure: midazolam versus midazolam plus alfentanil. Respiration. 2010;79:121.",Sedation during flexible bronchoscopy in patients with pre-existing respiratory failure: midazolam versus midazolam plus alfentanil,Respiration,2010,79,,121,,,Dreher M; Ekkernkamp E; Storre JH
121,"Korttila K, Saarnivaara L, Tarkkanen J. Effect of age on amnesia and sedation induced by flunitrazepam during local anaesthesia for bronchoscopy. Br J Anaesth. 1978;50:122.",Effect of age on amnesia and sedation induced by flunitrazepam during local anaesthesia for bronchoscopy,Br J Anaesth,1978,50,,122,,,Korttila K; Saarnivaara L; Tarkkanen J
122,"Gray A, Bell GD. National Confidential Enquiry into Patient Outcome and Death (NCEPOD). National Confidential Enquiry into Patient Outcome and Death (NCEPOD). 2013;None:123.",National Confidential Enquiry into Patient Outcome and Death (NCEPOD),National Confidential Enquiry into Patient Outcome and Death (NCEPOD),2013,,,123,,,Gray A; Bell GD
123,"Cullinane M, Gray A, Hargraves C. Scoping our practice. The 2004 Report of the National Confidential Enquiry into Patient Outcome and Death. Scoping our practice. The 2004 Report of the National Confidential Enquiry into Patient Outcome and Death. 2004;None:124.",Scoping our practice. The 2004 Report of the National Confidential Enquiry into Patient Outcome and Death,Scoping our practice. The 2004 Report of the National Confidential Enquiry into Patient Outcome and Death,2004,,,124,,,Cullinane M; Gray A; Hargraves C
124,"Diaz-Fuentes G, Dalvi A, Blum S. Requirement of sedation during flexible bronchoscopy among substance and nonsubstance users. J Bronchol. 2006;13:125.",Requirement of sedation during flexible bronchoscopy among substance and nonsubstance users,J Bronchol,2006,13,,125,,,Diaz-Fuentes G; Dalvi A; Blum S
125,"Antoniades N, Worsnop C. Topical lidocaine through the bronchoscope reduces cough rate during bronchoscopy. Respirology. 2009;14:126.",Topical lidocaine through the bronchoscope reduces cough rate during bronchoscopy,Respirology,2009,14,,126,,,Antoniades N; Worsnop C
126,Guay J. Methemoglobinemia related to local anesthetics: a summary of 242 episodes. Anesth Analg. 2009;108:127.,Methemoglobinemia related to local anesthetics: a summary of 242 episodes,Anesth Analg,2009,108,,127,,,Guay J
127,"Osula S, Stockton P, Abdelaziz MM. Intratracheal cocaine induced myocardial infarction: an unusual complication of fibreoptic bronchoscopy. Thorax. 2003;58:128.",Intratracheal cocaine induced myocardial infarction: an unusual complication of fibreoptic bronchoscopy,Thorax,2003,58,,128,,,Osula S; Stockton P; Abdelaziz MM
128,"Benzaquen BS, Cohen V, Eisenberg MJ. Effects of cocaine on the coronary arteries. Am Heart J. 2001;142:129.",Effects of cocaine on the coronary arteries,Am Heart J,2001,142,,129,,,Benzaquen BS; Cohen V; Eisenberg MJ
129,"Randell T, Yli-Hankala A, Valli H. Topical anaesthesia of the nasal mucosa for fibreoptic airway endoscopy. Br J Anaesth. 1992;68:130.",Topical anaesthesia of the nasal mucosa for fibreoptic airway endoscopy,Br J Anaesth,1992,68,,130,,,Randell T; Yli-Hankala A; Valli H
130,"Webb AR, Woodhead MA, Hr D. Topical nasal anaesthesia for fibreoptic bronchoscopy: patients' preference for lignocaine gel. Thorax. 1989;44:131.",Topical nasal anaesthesia for fibreoptic bronchoscopy: patients' preference for lignocaine gel,Thorax,1989,44,,131,,,Webb AR; Woodhead MA; Hr D
131,"Zainudin BM, Rafia MH, Sufarlan AW. Topical nasal anaesthesia for fibreoptic bronchoscopy: lignocaine spray or gel?. Singapore Med J. 1993;34:132.",Topical nasal anaesthesia for fibreoptic bronchoscopy: lignocaine spray or gel?,Singapore Med J,1993,34,,132,,,Zainudin BM; Rafia MH; Sufarlan AW
132,"Keane D, Mcnicholas WT. Comparison of nebulized and sprayed topical anaesthesia for fibreoptic bronchoscopy. Eur Respir J. 1992;5:133.",Comparison of nebulized and sprayed topical anaesthesia for fibreoptic bronchoscopy,Eur Respir J,1992,5,,133,,,Keane D; Mcnicholas WT
133,Webb J. Local anaesthesia for fibreoptic bronchoscopy-where are we now?. Respir Med. 1990;84:134.,Local anaesthesia for fibreoptic bronchoscopy-where are we now?,Respir Med,1990,84,,134,,,Webb J
134,"Isaac PA, Barry JE, Vaughan RS. A jet nebuliser for delivery of topical anesthesia to the respiratory tract. A comparison with cricothyroid puncture and direct spraying for fibreoptic bronchoscopy. Anaesthesia. 1990;45:135.",A jet nebuliser for delivery of topical anesthesia to the respiratory tract. A comparison with cricothyroid puncture and direct spraying for fibreoptic bronchoscopy,Anaesthesia,1990,45,,135,,,Isaac PA; Barry JE; Vaughan RS
135,"Stolz D, Chhajed PN, Leuppi J. Nebulized lidocaine for flexible bronchoscopy: a randomized, double-blind, placebo-controlled trial. Chest. 2005;128:136.","Nebulized lidocaine for flexible bronchoscopy: a randomized, double-blind, placebo-controlled trial",Chest,2005,128,,136,,,Stolz D; Chhajed PN; Leuppi J
136,"Hasmoni MH, Rani M, Harun R. Randomized-controlled trial to study the equivalence of 1% versus 2% lignocaine in cough suppression and satisfaction during bronchoscopy. J Bronchol Interv Pulmonol. 2008;15:137.",Randomized-controlled trial to study the equivalence of 1% versus 2% lignocaine in cough suppression and satisfaction during bronchoscopy,J Bronchol Interv Pulmonol,2008,15,,137,,,Hasmoni MH; Rani M; Harun R
137,"Mainland PA, Kong AS, Chung DC. Absorption of lidocaine during aspiration anesthesia of the airway. J Clin Anesth. 2001;13:138.",Absorption of lidocaine during aspiration anesthesia of the airway,J Clin Anesth,2001,13,,138,,,Mainland PA; Kong AS; Chung DC
138,"Xue FS, Liu HP, He N. Spray-as-you-go airway topical anesthesia in patients with a difficult airway: a randomized, double-blind comparison of 2% and 4% lidocaine. Anesth Analg. 2009;108:139.","Spray-as-you-go airway topical anesthesia in patients with a difficult airway: a randomized, double-blind comparison of 2% and 4% lidocaine",Anesth Analg,2009,108,,139,,,Xue FS; Liu HP; He N
139,"Efthimiou J, Higenbottam T, Holt D. Plasma concentrations of lignocaine during fibreoptic bronchoscopy. Thorax. 1982;37:140.",Plasma concentrations of lignocaine during fibreoptic bronchoscopy,Thorax,1982,37,,140,,,Efthimiou J; Higenbottam T; Holt D
140,"Milman N, Laub M, Munch EP. Serum concentrations of lignocaine and its metabolite monoethylglycinexylidide during fibre-optic bronchoscopy in local anaesthesia. Respir Med. 1998;92:141.",Serum concentrations of lignocaine and its metabolite monoethylglycinexylidide during fibre-optic bronchoscopy in local anaesthesia,Respir Med,1998,92,,141,,,Milman N; Laub M; Munch EP
141,"Frey WC, Emmons EE, Morris MJ. Safety of high dose lidocaine in flexible bronchoscopy. J Bronchol. 2008;15:142.",Safety of high dose lidocaine in flexible bronchoscopy,J Bronchol,2008,15,,142,,,Frey WC; Emmons EE; Morris MJ
142,"Martin KM, Larsen PD, Segal R. Effective nonanatomical endoscopy training produces clinical airway endoscopy proficiency. Anesth Analg. 2004;99:143.",Effective nonanatomical endoscopy training produces clinical airway endoscopy proficiency,Anesth Analg,2004,99,,143,,,Martin KM; Larsen PD; Segal R
143,"Langmack EL, Martin RJ, Pak J. Serum lidocaine concentrations in asthmatics undergoing research bronchoscopy. Chest. 2000;117:144.",Serum lidocaine concentrations in asthmatics undergoing research bronchoscopy,Chest,2000,117,,144,,,Langmack EL; Martin RJ; Pak J
144,"Ameer B, Burlingame MB, Harman EM. Systemic absorption of topical lidocaine in elderly and young adults undergoing bronchoscopy. Pharmacotherapy. 1989;9:145.",Systemic absorption of topical lidocaine in elderly and young adults undergoing bronchoscopy,Pharmacotherapy,1989,9,,145,,,Ameer B; Burlingame MB; Harman EM
145,"Rivera MP, Mehta AC. Initial diagnosis of lung cancer. Chest. 2007;132(3).",Initial diagnosis of lung cancer,Chest,2007,132,3,,,,Rivera MP; Mehta AC
146,"Mclean AN, Semple PA, Franklin DH. The Scottish multi-centre prospective study of bronchoscopy for bronchial carcinoma and suggested audit standards. Respir Med. 1998;92:147.",The Scottish multi-centre prospective study of bronchoscopy for bronchial carcinoma and suggested audit standards,Respir Med,1998,92,,147,,,Mclean AN; Semple PA; Franklin DH
147,"Gellert AR, Rudd RM, Sinha G. Fibreoptic bronchoscopy: effect of multiple bronchial biopsies on diagnostic yield in bronchial carcinoma. Thorax. 1982;37:148.",Fibreoptic bronchoscopy: effect of multiple bronchial biopsies on diagnostic yield in bronchial carcinoma,Thorax,1982,37,,148,,,Gellert AR; Rudd RM; Sinha G
148,"Popovich J, Kvale PA, Eichenhorn MS. Diagnostic accuracy of multiple biopsies from flexible fiberoptic bronchoscopy. A comparison of central versus peripheral carcinoma. Am Rev Respir Dis. 1982;125:149.",Diagnostic accuracy of multiple biopsies from flexible fiberoptic bronchoscopy. A comparison of central versus peripheral carcinoma,Am Rev Respir Dis,1982,125,,149,,,Popovich J; Kvale PA; Eichenhorn MS
149,"Slade MG, Rahman NM, Stanton AE. Improving standards in flexible bronchoscopy for lung cancer. Eur Respir J. 2011;37:150.",Improving standards in flexible bronchoscopy for lung cancer,Eur Respir J,2011,37,,150,,,Slade MG; Rahman NM; Stanton AE
150,"Hetzel J, Eberhardt R, Herth F. Cryobiopsy increases the diagnostic yield of endobronchial biopsy: a multicentre trial. Eur Respir J. 2012;39:151.",Cryobiopsy increases the diagnostic yield of endobronchial biopsy: a multicentre trial,Eur Respir J,2012,39,,151,,,Hetzel J; Eberhardt R; Herth F
151,"Navani N, Brown JM, Nankivell M. Suitability of EBUS-TBNA specimens for subtyping and genotyping of NSCLC: a multi-centre study of 774 patients. Am J Respir Crit Care Med. 2012;185:152.",Suitability of EBUS-TBNA specimens for subtyping and genotyping of NSCLC: a multi-centre study of 774 patients,Am J Respir Crit Care Med,2012,185,,152,,,Navani N; Brown JM; Nankivell M
152,"Van Der Drift MA, Van Der Wilt G, Thunnissen F. A prospective study of the timing and cost-effectiveness of bronchial washing during bronchoscopy for pulmonary malignant tumors. Chest. 2005;128:153.",A prospective study of the timing and cost-effectiveness of bronchial washing during bronchoscopy for pulmonary malignant tumors,Chest,2005,128,,153,,,Van Der Drift MA; Van Der Wilt G; Thunnissen F
153,"Bradley B, Branley HM, Egan JJ. Interstitial lung disease guideline: the British Thoracic Society in collaboration with the Thoracic Society of Australia and New Zealand and the Irish Thoracic Society. Curr Opin Pulm Med. 2008;63(Suppl 5):155.",Interstitial lung disease guideline: the British Thoracic Society in collaboration with the Thoracic Society of Australia and New Zealand and the Irish Thoracic Society,Curr Opin Pulm Med,2008,63,Suppl 5,155,,,Bradley B; Branley HM; Egan JJ
154,"Leonard C, Tormey VJ, Keane O, C. Bronchoscopic diagnosis of sarcoidosis. Eur Respir J. 1997;10:156.",Bronchoscopic diagnosis of sarcoidosis,Eur Respir J,1997,10,,156,,,Leonard C; Tormey VJ; Keane O; C
155,"Agusti C, Xaubet A, Arriols R. Multinuclear giant cells in bronchoalveolar lavage in interstitial lung diseases. Respiration. 1987;51:157.",Multinuclear giant cells in bronchoalveolar lavage in interstitial lung diseases,Respiration,1987,51,,157,,,Agusti C; Xaubet A; Arriols R
156,"Puar HS, Young RC, Jr, Armstrong EM. Bronchial and transbronchial lung biopsy without fluoroscopy in sarcoidosis. Chest. 1985;87:158.",Bronchial and transbronchial lung biopsy without fluoroscopy in sarcoidosis,Chest,1985,87,,158,,,Puar HS; Young RC; Jr; Armstrong EM
157,"Milman N, Graudal N, Jacobsen GK. Bronchoalveolar lavage in radiologically detected diffuse lung disease. Diagnostic value of total and differential cell count in a series of 130 patients. APMIS. 1995;103:159.",Bronchoalveolar lavage in radiologically detected diffuse lung disease. Diagnostic value of total and differential cell count in a series of 130 patients,APMIS,1995,103,,159,,,Milman N; Graudal N; Jacobsen GK
158,"Mitchell DM, Emerson CJ, Collins JV. Transbronchial lung biopsy with the fibreoptic bronchoscope: analysis of results in 433 patients. Br J Dis Chest. 1981;75:160.",Transbronchial lung biopsy with the fibreoptic bronchoscope: analysis of results in 433 patients,Br J Dis Chest,1981,75,,160,,,Mitchell DM; Emerson CJ; Collins JV
159,"Shorr AF, Torrington KG, Hnatiuk OW. Endobronchial biopsy for sarcoidosis: a prospective study. Chest. 2001;120.",Endobronchial biopsy for sarcoidosis: a prospective study,Chest,2001,120,,,,,Shorr AF; Torrington KG; Hnatiuk OW
160,"Rand D, IA. Thorax. Thorax. 2013;68:161. doi:10.1136/thoraxjnl-2013-203618.",Thorax,Thorax,2013,68,,161,10.1136/thoraxjnl-2013-203618,,Rand D; IA
161,"Velardocchio JM, Boutin C, Irisson M. Broncho alveolar lavage in diffuse lung diseases, comparison with transbronchial and thoracoscopic lung biopsy. Eur J Respir Dis. 1983;62(126):162.","Broncho alveolar lavage in diffuse lung diseases, comparison with transbronchial and thoracoscopic lung biopsy",Eur J Respir Dis,1983,62,126,162,,,Velardocchio JM; Boutin C; Irisson M
162,"Rohatgi PK, Kuzmowych TV, Delaney MD. Indications for transbronchial lung biopsy in the diagnosis of intrathoracic sarcoidosis. Respiration. 1981;42:163.",Indications for transbronchial lung biopsy in the diagnosis of intrathoracic sarcoidosis,Respiration,1981,42,,163,,,Rohatgi PK; Kuzmowych TV; Delaney MD
163,"Navani N, Booth HL, Kocjan G. Combination of endobronchial ultrasound-guided transbronchial needle aspiration with standard bronchoscopic techniques for the diagnosis of stage I and stage II pulmonary sarcoidosis. Respirology. 2011;16:164.",Combination of endobronchial ultrasound-guided transbronchial needle aspiration with standard bronchoscopic techniques for the diagnosis of stage I and stage II pulmonary sarcoidosis,Respirology,2011,16,,164,,,Navani N; Booth HL; Kocjan G
164,"Descombes E, Gardiol D, Leuenberger P. Transbronchial lung biopsy: an analysis of 530 cases with reference to the number of samples. Monaldi Arch Chest Dis. 1997;52:165.",Transbronchial lung biopsy: an analysis of 530 cases with reference to the number of samples,Monaldi Arch Chest Dis,1997,52,,165,,,Descombes E; Gardiol D; Leuenberger P
165,"Anders GT, Johnson JE, Bush BA. Transbronchial biopsy without fluoroscopy. A seven-year perspective. Chest. 1988;94:166.",Transbronchial biopsy without fluoroscopy. A seven-year perspective,Chest,1988,94,,166,,,Anders GT; Johnson JE; Bush BA
166,"Rhee CK, Kang HH, Kang JY. Diagnostic yield of flexible bronchoscopy without fluoroscopic guidance in evaluating peripheral lung lesions. J Bronchol. 2010;17:167.",Diagnostic yield of flexible bronchoscopy without fluoroscopic guidance in evaluating peripheral lung lesions,J Bronchol,2010,17,,167,,,Rhee CK; Kang HH; Kang JY
167,Chechani V. Bronchoscopic diagnosis of solitary pulmonary nodules and lung masses in the absence of endobronchial abnormality. Chest. 1996;109:168.,Bronchoscopic diagnosis of solitary pulmonary nodules and lung masses in the absence of endobronchial abnormality,Chest,1996,109,,168,,,Chechani V
168,"De Fenoyl O, Capron F, Lebeau B. Transbronchial biopsy without fluoroscopy: a five year experience in outpatients. Thorax. 1989;44:169.",Transbronchial biopsy without fluoroscopy: a five year experience in outpatients,Thorax,1989,44,,169,,,De Fenoyl O; Capron F; Lebeau B
169,"Mcleod DT, Neill P, Gwanzura L. Pneumocystis carinii pneumonia in patients with AIDS in Central Africa. Respir Med. 1990;84:170.",Pneumocystis carinii pneumonia in patients with AIDS in Central Africa,Respir Med,1990,84,,170,,,Mcleod DT; Neill P; Gwanzura L
170,"Malin AS, Gwanzura LK, Klein S. Pneumocystis carinii pneumonia in Zimbabwe. Lancet. 1995;346:171.",Pneumocystis carinii pneumonia in Zimbabwe,Lancet,1995,346,,171,,,Malin AS; Gwanzura LK; Klein S
171,"Abramson MJ, Stone CA, Holmes PW. The role of bronchoalveolar lavage in the diagnosis of suspected opportunistic pneumonia. Aust N Z J Med. 1987;17:172.",The role of bronchoalveolar lavage in the diagnosis of suspected opportunistic pneumonia,Aust N Z J Med,1987,17,,172,,,Abramson MJ; Stone CA; Holmes PW
172,"Rano A, Agusti C, Jimenez P. Pulmonary infiltrates in non-HIV immunocompromised patients: a diagnostic approach using non-invasive and bronchoscopic procedures. Thorax. 2001;56:173.",Pulmonary infiltrates in non-HIV immunocompromised patients: a diagnostic approach using non-invasive and bronchoscopic procedures,Thorax,2001,56,,173,,,Rano A; Agusti C; Jimenez P
173,"Jensen BN, Gerstoft J, Hojlyng N. Pulmonary pathogens in HIV-infected patients. Scand J Infect Dis. 1990;22:174.",Pulmonary pathogens in HIV-infected patients,Scand J Infect Dis,1990,22,,174,,,Jensen BN; Gerstoft J; Hojlyng N
174,"Golden JA, Hollander H, Stulbarg MS. Bronchoalveolar lavage as the exclusive diagnostic modality for Pneumocystis carinii pneumonia. A prospective study among patients with acquired immunodeficiency syndrome. Chest. 1986;90:175.",Bronchoalveolar lavage as the exclusive diagnostic modality for Pneumocystis carinii pneumonia. A prospective study among patients with acquired immunodeficiency syndrome,Chest,1986,90,,175,,,Golden JA; Hollander H; Stulbarg MS
175,"Heurlin N, Lidman EK, C. Fiberoptic bronchoscopy and sputum examination for diagnosis of pulmonary disease in AIDS patients in Stockholm. Scand J Infect Dis. 1990;22:176.",Fiberoptic bronchoscopy and sputum examination for diagnosis of pulmonary disease in AIDS patients in Stockholm,Scand J Infect Dis,1990,22,,176,,,Heurlin N; Lidman EK; C
176,"Orenstein M, Webber CA, Cash M. Value of bronchoalveolar lavage in the diagnosis of pulmonary infection in acquired immune deficiency syndrome. Thorax. 1986;41:177.",Value of bronchoalveolar lavage in the diagnosis of pulmonary infection in acquired immune deficiency syndrome,Thorax,1986,41,,177,,,Orenstein M; Webber CA; Cash M
177,"Chuang MT, Rosen MJ, Teirstein AS. Flexible bronchoscopy in the diagnosis of Pneumocystis carinii pneumonia in patients with acquired immune deficiency syndrome. South Med J. 1986;79:178.",Flexible bronchoscopy in the diagnosis of Pneumocystis carinii pneumonia in patients with acquired immune deficiency syndrome,South Med J,1986,79,,178,,,Chuang MT; Rosen MJ; Teirstein AS
178,"Gracia JD, Miravitlles M, Mayordomo C. Empiric treatments impair the diagnostic yield of BAL in HIV-positive patients. Chest. 1997;111:179.",Empiric treatments impair the diagnostic yield of BAL in HIV-positive patients,Chest,1997,111,,179,,,Gracia JD; Miravitlles M; Mayordomo C
179,"Meduri GU, Stover DE, Greeno RA. Bilateral bronchoalveolar lavage in the diagnosis of opportunistic pulmonary infections. Chest. 1991;100:180.",Bilateral bronchoalveolar lavage in the diagnosis of opportunistic pulmonary infections,Chest,1991,100,,180,,,Meduri GU; Stover DE; Greeno RA
180,"Baughman RP, Dohn MN, Shipley R. Increased Pneumocystis carinii recovery from the upper lobes in Pneumocystis pneumonia. The effect of aerosol pentamidine prophylaxis. Chest. 1993;103:181.",Increased Pneumocystis carinii recovery from the upper lobes in Pneumocystis pneumonia. The effect of aerosol pentamidine prophylaxis,Chest,1993,103,,181,,,Baughman RP; Dohn MN; Shipley R
181,"Read CA, Cerrone F, Busseniers AE. Differential lobe lavage for diagnosis of acute Pneumocystis carinii pneumonia in patients receiving prophylactic aerosolized pentamidine therapy. Chest. 1993;103:182.",Differential lobe lavage for diagnosis of acute Pneumocystis carinii pneumonia in patients receiving prophylactic aerosolized pentamidine therapy,Chest,1993,103,,182,,,Read CA; Cerrone F; Busseniers AE
182,"Salzman SH, Schindel ML, Aranda CP. The role of bronchoscopy in the diagnosis of pulmonary tuberculosis in patients at risk for HIV infection. Chest. 1992;102:183.",The role of bronchoscopy in the diagnosis of pulmonary tuberculosis in patients at risk for HIV infection,Chest,1992,102,,183,,,Salzman SH; Schindel ML; Aranda CP
183,"Kennedy DJ, Lewis WP, Barnes PF. Yield of bronchoscopy for the diagnosis of tuberculosis in patients with human immunodeficiency virus infection. Chest. 1992;102:184.",Yield of bronchoscopy for the diagnosis of tuberculosis in patients with human immunodeficiency virus infection,Chest,1992,102,,184,,,Kennedy DJ; Lewis WP; Barnes PF
184,"Miro AM, Gibilara E, Powell S. The role of fiberoptic bronchoscopy for diagnosis of pulmonary tuberculosis in patients at risk for AIDS. Chest. 1992;101:185.",The role of fiberoptic bronchoscopy for diagnosis of pulmonary tuberculosis in patients at risk for AIDS,Chest,1992,101,,185,,,Miro AM; Gibilara E; Powell S
185,"Kibiki GS, Mulder B, Van Der Ven AJ. Laboratory diagnosis of pulmonary tuberculosis in TB and HIV endemic settings and the contribution of real time PCR for M. tuberculosis in bronchoalveolar lavage fluid. Trop Med Int Health. 2007;12:186.",Laboratory diagnosis of pulmonary tuberculosis in TB and HIV endemic settings and the contribution of real time PCR for M. tuberculosis in bronchoalveolar lavage fluid,Trop Med Int Health,2007,12,,186,,,Kibiki GS; Mulder B; Van Der Ven AJ
186,"Baughman RP, Dohn MN, Loudon RG. Bronchoscopy with bronchoalveolar lavage in tuberculosis and fungal infections. Chest. 1991;99:187.",Bronchoscopy with bronchoalveolar lavage in tuberculosis and fungal infections,Chest,1991,99,,187,,,Baughman RP; Dohn MN; Loudon RG
187,"Levy H, Horak DA, Tegtmeier BR. The value of bronchoalveolar lavage and bronchial washings in the diagnosis of invasive pulmonary aspergillosis. Respir Med. 1992;86:188.",The value of bronchoalveolar lavage and bronchial washings in the diagnosis of invasive pulmonary aspergillosis,Respir Med,1992,86,,188,,,Levy H; Horak DA; Tegtmeier BR
188,"Kahn FW, Jones JM, England DM. The role of bronchoalveolar lavage in the diagnosis of invasive pulmonary aspergillosis. Am J Clin Pathol. 1986;86:189.",The role of bronchoalveolar lavage in the diagnosis of invasive pulmonary aspergillosis,Am J Clin Pathol,1986,86,,189,,,Kahn FW; Jones JM; England DM
