#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Introduction to bronchoscopy. Introduction to bronchoscopy. 2009;None.,Introduction to bronchoscopy,Introduction to bronchoscopy,2009,,,,,,
83,"Silvestri GA, Vincent BD, Wahidi MM, Robinette E, Hansbrough JR, Downie GH. A phase 3, randomized, doubleblind study to assess the efficacy and safety of fospropofol disodium injection for moderate sedation in patients undergoing flexible bronchoscopy. Chest. 2009;135.","A phase 3, randomized, doubleblind study to assess the efficacy and safety of fospropofol disodium injection for moderate sedation in patients undergoing flexible bronchoscopy",Chest,2009,135,,,,,Silvestri GA; Vincent BD; Wahidi MM; Robinette E; Hansbrough JR; Downie GH
84,"Meduri GU, Stover DE, Greeno RA, Nash T, Zaman MB. Bilateral bronchoalveolar lavage in the diagnosis of opportunistic pulmonary infections. Chest. 1991;100.",Bilateral bronchoalveolar lavage in the diagnosis of opportunistic pulmonary infections,Chest,1991,100,,,,,Meduri GU; Stover DE; Greeno RA; Nash T; Zaman MB
85,"Krause A, Hohberg B, Heine F, John M, Burmester GR, Witt C. Cytokines derived from alveolar macrophages induce fever after bronchoscopy and bronchoalveolar lavage. Am J Respir Crit Care Med. 1997;155.",Cytokines derived from alveolar macrophages induce fever after bronchoscopy and bronchoalveolar lavage,Am J Respir Crit Care Med,1997,155,,,,,Krause A; Hohberg B; Heine F; John M; Burmester GR; Witt C
86,"Pereira W, Kovnat DM, Khan MA, Iacovino JR, Spivack ML, Snider GL. Fever and pneumonia after flexible fiberoptic bronchoscopy. Am Rev Respir Dis. 1975;112.",Fever and pneumonia after flexible fiberoptic bronchoscopy,Am Rev Respir Dis,1975,112,,,,,Pereira W; Kovnat DM; Khan MA; Iacovino JR; Spivack ML; Snider GL
87,"Gonza ´lez Aguirre JE, Martinez C, U et al.. Bronchoscope insertion route and patient comfort during flexible bronchoscopy. Int J Tuberc Lung Dis. 2015;19.",Bronchoscope insertion route and patient comfort during flexible bronchoscopy,Int J Tuberc Lung Dis,2015,19,,,,,Gonza ´lez Aguirre JE; Martinez C; U; Mier R; D; Moreno A; M; Longoria M; R
88,"Yigla M, Oren I, Bentur L, Solomonov A, Elias N, Altshuler R. Incidence of bacteraemia following fibreoptic bronchoscopy. Eur Respir J. 1999;14.",Incidence of bacteraemia following fibreoptic bronchoscopy,Eur Respir J,1999,14,,,,,Yigla M; Oren I; Bentur L; Solomonov A; Elias N; Altshuler R
89,"Webb AR, Fernando SS, Dalton HR, Arrowsmith JE, Woodhead MA, Cummin AR. Local anaesthesia for fibreoptic bronchoscopy: transcricoid injection or the 'spray as you go' technique?. Thorax. 1990;45.",Local anaesthesia for fibreoptic bronchoscopy: transcricoid injection or the 'spray as you go' technique?,Thorax,1990,45,,,,,Webb AR; Fernando SS; Dalton HR; Arrowsmith JE; Woodhead MA; Cummin AR
90,"Watts MR, Geraghty R, Moore A, Saunders J, Swift CG. Premedication for bronchoscopy in older patients: a double-blind comparison of two regimens. Respir Med. 2005;99.",Premedication for bronchoscopy in older patients: a double-blind comparison of two regimens,Respir Med,2005,99,,,,,Watts MR; Geraghty R; Moore A; Saunders J; Swift CG
91,"Stolz D, Chhajed PN, Leuppi JD, Brutsche M, Pflimlin E, Tamm M. Cough suppression during flexible bronchoscopy using combined sedation with midazolam and hydrocodone: a randomised, double blind, placebo controlled trial. Thorax. 2004;59.","Cough suppression during flexible bronchoscopy using combined sedation with midazolam and hydrocodone: a randomised, double blind, placebo controlled trial",Thorax,2004,59,,,,,Stolz D; Chhajed PN; Leuppi JD; Brutsche M; Pflimlin E; Tamm M
92,"Humbert M, Robinson DS, Assoufi B, Kay AB, Durham SR. Safety of fibreoptic bronchoscopy in asthmatic and control subjects and effect on asthma control over two weeks. Thorax. 1996;51.",Safety of fibreoptic bronchoscopy in asthmatic and control subjects and effect on asthma control over two weeks,Thorax,1996,51,,,,,Humbert M; Robinson DS; Assoufi B; Kay AB; Durham SR
93,"Diette GB, Lechtzin N, Haponik E, Devrotes A, Hr R. Distraction therapy with nature sights and sounds reduces pain during flexible bronchoscopy: a complementary approach to routine analgesia. Chest. 2003;123.",Distraction therapy with nature sights and sounds reduces pain during flexible bronchoscopy: a complementary approach to routine analgesia,Chest,2003,123,,,,,Diette GB; Lechtzin N; Haponik E; Devrotes A; Hr R
94,"Putinati S, Ballerin L, Corbetta L, Trevisani L, Potena A. Patient satisfaction with conscious sedation for bronchoscopy. Chest. 1999;115.",Patient satisfaction with conscious sedation for bronchoscopy,Chest,1999,115,,,,,Putinati S; Ballerin L; Corbetta L; Trevisani L; Potena A
95,"Yoon HI, Kim JH, Lee JH, Park S, Lee CT, Hwang JY. Comparison of propofol and the combination of propofol and alfentanil during bronchoscopy: a randomized study. Acta Anaesthesiol Scand. 2011;55.",Comparison of propofol and the combination of propofol and alfentanil during bronchoscopy: a randomized study,Acta Anaesthesiol Scand,2011,55,,,,,Yoon HI; Kim JH; Lee JH; Park S; Lee CT; Hwang JY
96,"Hwang J, Jeon Y, Park HP, Lim YJ, Oh YS. Comparison of alfetanil and ketamine in combination with propofol for patient-controlled sedation during fiberoptic bronchoscopy. Acta Anaesthesiol Scand. 2005;49.",Comparison of alfetanil and ketamine in combination with propofol for patient-controlled sedation during fiberoptic bronchoscopy,Acta Anaesthesiol Scand,2005,49,,,,,Hwang J; Jeon Y; Park HP; Lim YJ; Oh YS
97,"Schwarz Y, Greif J, Lurie O, Tarrasch R, Weinbroum AA. Dextromethorphan premedication reduces midazolam requirement: objective and subjective parameters in peribronchoscopy. European Clinical Respiratory Journal. 2007;74:33324. doi:10.3402/ecrj.v3.33324.",Dextromethorphan premedication reduces midazolam requirement: objective and subjective parameters in peribronchoscopy,European Clinical Respiratory Journal,2007,74,,33324,10.3402/ecrj.v3.33324,,Schwarz Y; Greif J; Lurie O; Tarrasch R; Weinbroum AA
