#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Light RW. Pleural effusions. Med Clin North Am. 2011;95.,Pleural effusions,Med Clin North Am,2011,95,,,,,Light RW
97,"Eickelberg O, Sommerfeld CO, Wyser C. MMP and TIMP expression pattern in pleural effusions of different origins. Am J Respir Crit Care Med. 1997;156.",MMP and TIMP expression pattern in pleural effusions of different origins,Am J Respir Crit Care Med,1997,156,,,,,Eickelberg O; Sommerfeld CO; Wyser C
98,"Teixeira LR, Dias MB, Sales RK. Profile of metalloproteinases and their association with inflammatory markers in pleural effusions. Lung. 2016;194.",Profile of metalloproteinases and their association with inflammatory markers in pleural effusions,Lung,2016,194,,,,,Teixeira LR; Dias MB; Sales RK
99,"P, Camemi R, Caruso A, R. Matrix metalloproteinases production in malignant pleural effusions after talc pleurodesis. Clin Exp Immunol. 2003;134:100.",Matrix metalloproteinases production in malignant pleural effusions after talc pleurodesis,Clin Exp Immunol,2003,134,,100,,,P; Camemi R; Caruso A; R
100,"Hurewitz AN, Wu CL, Mancuso P. Tetracycline and doxycycline inhibit pleural fluid metalloproteinases. A possible mechanism for chemical pleurodesis. Chest. 1993;103:101.",Tetracycline and doxycycline inhibit pleural fluid metalloproteinases. A possible mechanism for chemical pleurodesis,Chest,1993,103,,101,,,Hurewitz AN; Wu CL; Mancuso P
101,"Nieman GF, Zerler BR. A role for the anti-inflammatory properties of tetracyclines in the prevention of acute lung injury. Curr Med Chem. 2001;8:102.",A role for the anti-inflammatory properties of tetracyclines in the prevention of acute lung injury,Curr Med Chem,2001,8,,102,,,Nieman GF; Zerler BR
102,"Macaulay VM, Byrne O, Saunders KJ, MP. Phase I study of intrapleural batimastat (BB-94), a matrix metalloproteinase inhibitor, in the treatment of malignant pleural effusions. Clin Cancer Res. 1999;5:105.","Phase I study of intrapleural batimastat (BB-94), a matrix metalloproteinase inhibitor, in the treatment of malignant pleural effusions",Clin Cancer Res,1999,5,,105,,,Macaulay VM; Byrne O; Saunders KJ; MP
103,"Shichiri M, Hirata Y. Antiangiogenesis signals by endostatin. FASEB J. 2001;15:106.",Antiangiogenesis signals by endostatin,FASEB J,2001,15,,106,,,Shichiri M; Hirata Y
104,"Nasreen N, Mohammed KA, Brown S. Talc mediates angiostasis in malignant pleural effusions via endostatin induction. Eur Respir J. 2007;29:107.",Talc mediates angiostasis in malignant pleural effusions via endostatin induction,Eur Respir J,2007,29,,107,,,Nasreen N; Mohammed KA; Brown S
105,"Montes JF, Garcia-Valero J, Ferrer J. Evidence of innervation in talc-induced pleural adhesions. Chest. 2006;130:108.",Evidence of innervation in talc-induced pleural adhesions,Chest,2006,130,,108,,,Montes JF; Garcia-Valero J; Ferrer J
106,"Bradshaw M, Mansfield A, Peikert T. The role of vascular endothelial growth factor in the pathogenesis, diagnosis and treatment of malignant pleural effusion. Curr Oncol Rep. 2013;15:109.","The role of vascular endothelial growth factor in the pathogenesis, diagnosis and treatment of malignant pleural effusion",Curr Oncol Rep,2013,15,,109,,,Bradshaw M; Mansfield A; Peikert T
107,"Papaioannou AI, Kostikas K, Tsopa P. Residual pleural thickening is related to vascular endothelial growth factor levels in parapneumonic pleural effusions. Respiration. 2010;80:110.",Residual pleural thickening is related to vascular endothelial growth factor levels in parapneumonic pleural effusions,Respiration,2010,80,,110,,,Papaioannou AI; Kostikas K; Tsopa P
108,"Zhu D, Xu X, Zheng Z. Regulation of vascular endothelial growth factor and pigment epithelium-derived factor in rat retinal explants under retinal acidification. Eye (Lond). 2009;23:111.",Regulation of vascular endothelial growth factor and pigment epithelium-derived factor in rat retinal explants under retinal acidification,Eye (Lond),2009,23,,111,,,Zhu D; Xu X; Zheng Z
109,"Lee G, Melkerneker YC, Thompson D, PJ. Transforming growth factor beta induces vascular endothelial growth factor elaboration from pleural mesothelial cells in vivo and in vitro. Am J Respir Crit Care Med. 2002;165:112.",Transforming growth factor beta induces vascular endothelial growth factor elaboration from pleural mesothelial cells in vivo and in vitro,Am J Respir Crit Care Med,2002,165,,112,,,Lee G; Melkerneker YC; Thompson D; PJ
110,"Strizzi L, Vianale G, Catalano A. Basic fibroblast growth factor in mesothelioma pleural effusions: correlation with patient survival and angiogenesis. Int J Oncol. 2001;18:113.",Basic fibroblast growth factor in mesothelioma pleural effusions: correlation with patient survival and angiogenesis,Int J Oncol,2001,18,,113,,,Strizzi L; Vianale G; Catalano A
111,"Dvorak HF, Brown LF, Detmar M. Vascular permeability factor/vascular endothelial growth factor, microvascular hyperpermeability, and angiogenesis. Am J Pathol. 1995;146:114.","Vascular permeability factor/vascular endothelial growth factor, microvascular hyperpermeability, and angiogenesis",Am J Pathol,1995,146,,114,,,Dvorak HF; Brown LF; Detmar M
112,"Yano S, Herbst RS, Shinohara H. Treatment for malignant pleural effusion of human lung adenocarcinoma by inhibition of vascular endothelial growth factor receptor tyrosine kinase phosphorylation. Clin Cancer Res. 2000;6:115.",Treatment for malignant pleural effusion of human lung adenocarcinoma by inhibition of vascular endothelial growth factor receptor tyrosine kinase phosphorylation,Clin Cancer Res,2000,6,,115,,,Yano S; Herbst RS; Shinohara H
113,"Ribeiro SC, Vargas FS, Antonangelo L. Monoclonal anti-vascular endothelial growth factor antibody reduces fluid volume in an experimental model of inflammatory pleural effusion. Respirology. 2009;14:116.",Monoclonal anti-vascular endothelial growth factor antibody reduces fluid volume in an experimental model of inflammatory pleural effusion,Respirology,2009,14,,116,,,Ribeiro SC; Vargas FS; Antonangelo L
114,"Teixeira LR, Vargas FS, Acencio MM. Blockage of vascular endothelial growth factor (VEGF) reduces experimental pleurodesis. Lung Cancer. 2011;74:117.",Blockage of vascular endothelial growth factor (VEGF) reduces experimental pleurodesis,Lung Cancer,2011,74,,117,,,Teixeira LR; Vargas FS; Acencio MM
115,"Guo YB, Kalomenidis I, Hawthorne M. Pleurodesis is inhibited by antivascular endothelial growth factor antibody. Chest. 2005;128:118.",Pleurodesis is inhibited by antivascular endothelial growth factor antibody,Chest,2005,128,,118,,,Guo YB; Kalomenidis I; Hawthorne M
116,"Wojtukiewicz MZ, Sierko E. Leczenie celowane u chorych na raka jelita grubego. Onkologia w Praktyce Klinicznej. 2007;3:119.",Leczenie celowane u chorych na raka jelita grubego,Onkologia w Praktyce Klinicznej,2007,3,,119,,,Wojtukiewicz MZ; Sierko E
117,"Kalomenidis I, Kollintza A, Sigala I. Angiopoietin-2 levels are elevated in exudative pleural effusions. Chest. 2006;129:120.",Angiopoietin-2 levels are elevated in exudative pleural effusions,Chest,2006,129,,120,,,Kalomenidis I; Kollintza A; Sigala I
118,"Bouten PJ, Zonjee M, Bender J. The chemistry of tissue adhesive materials. Prog Polym Sci. 2014;39:121.",The chemistry of tissue adhesive materials,Prog Polym Sci,2014,39,,121,,,Bouten PJ; Zonjee M; Bender J
119,"Cetin B, Atalay C, Koçkaya A, E. The efficacy of fibrin tissue adhesives in pleurodesis in rats. Exp Lung Res. 2005;31:122.",The efficacy of fibrin tissue adhesives in pleurodesis in rats,Exp Lung Res,2005,31,,122,,,Cetin B; Atalay C; Koçkaya A; E
120,"Marchi E, De Carvalho MV, Ventureli TR. Abrasion plus local fibrin sealant instillation produces pleurodesis similar to pleurectomy in rabbits. Chest. 2016;150:123.",Abrasion plus local fibrin sealant instillation produces pleurodesis similar to pleurectomy in rabbits,Chest,2016,150,,123,,,Marchi E; De Carvalho MV; Ventureli TR
121,"Nishino T, Takizawa H, Nishioka K. Malignant pleural mesothelioma presenting refractory pneumothorax successfully treated by intrapleural administration of diluted fibrin glue; Report of a case. Kyobu Geka. 2017;70.",Malignant pleural mesothelioma presenting refractory pneumothorax successfully treated by intrapleural administration of diluted fibrin glue; Report of a case,Kyobu Geka,2017,70,,,,,Nishino T; Takizawa H; Nishioka K
122,"Oishi H, Hoshikawa Y, Sado T. A case of successful therapy by intrapleural injection of fibrin glue for chylothorax after lung transplantation for lymphangioleiomyomatosis. Ann Thorac Cardiovasc Surg. 2017;23:125.",A case of successful therapy by intrapleural injection of fibrin glue for chylothorax after lung transplantation for lymphangioleiomyomatosis,Ann Thorac Cardiovasc Surg,2017,23,,125,,,Oishi H; Hoshikawa Y; Sado T
123,"Yazicioglu A, Demirag F, Alici IO. Can sericin prove useful as a pleurodesis agent or tissue glue?. Thorac Cardiovasc Surg. 2016;65:126.",Can sericin prove useful as a pleurodesis agent or tissue glue?,Thorac Cardiovasc Surg,2016,65,,126,,,Yazicioglu A; Demirag F; Alici IO
124,"Yano S, Herbst RS, Shinohara H. Treatment for malignant pleural effusion of human lung adenocarcinoma by inhibition of vascular endothelial growth factor receptor tyrosine kinase phosphorylation. Clin Cancer Res. 2000;6:127.",Treatment for malignant pleural effusion of human lung adenocarcinoma by inhibition of vascular endothelial growth factor receptor tyrosine kinase phosphorylation,Clin Cancer Res,2000,6,,127,,,Yano S; Herbst RS; Shinohara H
125,"Nasreen N, Mohammed KA, Galffy G. MCP-1 in pleural injury: CCR2 mediates haptotaxis of pleural mesothelial cells. Am J Physiol Lung Cell Mol Physiol. 2000;278:128.",MCP-1 in pleural injury: CCR2 mediates haptotaxis of pleural mesothelial cells,Am J Physiol Lung Cell Mol Physiol,2000,278,,128,,,Nasreen N; Mohammed KA; Galffy G
126,"Thomas R, Cheah HM, Creaney J. Longitudinal measurement of pleural fluid biochemistry and cytokines in malignant pleural effusions. Chest. 2016;149:129.",Longitudinal measurement of pleural fluid biochemistry and cytokines in malignant pleural effusions,Chest,2016,149,,129,,,Thomas R; Cheah HM; Creaney J
127,"Lansley SM, Cheah HM, Lee G, YC. Role of MCP-1 in pleural effusion development in a carrageenan-induced murine model of pleurisy. Respirology. 2017;22:130.",Role of MCP-1 in pleural effusion development in a carrageenan-induced murine model of pleurisy,Respirology,2017,22,,130,,,Lansley SM; Cheah HM; Lee G; YC
128,"Lansley SM, Cheah HM, Varano D, Vergiliana JF. Tissue plasminogen activator potently stimulates pleural effusion via a monocyte chemotacticprotein-1-dependent mechanism. Am J Respir Cell Mol Biol. 2015;53:131.",Tissue plasminogen activator potently stimulates pleural effusion via a monocyte chemotacticprotein-1-dependent mechanism,Am J Respir Cell Mol Biol,2015,53,,131,,,Lansley SM; Cheah HM; Varano D; Vergiliana JF
129,"Pichelmayer O, Gruenberger B, Zielinski C. Bevacizumab is active in malignant effusion. Ann Oncol. 2006;17:132.",Bevacizumab is active in malignant effusion,Ann Oncol,2006,17,,132,,,Pichelmayer O; Gruenberger B; Zielinski C
130,"Wahidi MM, Reddy C, Yarmus L. Randomized trial of pleural fluid drainage frequency in patients with malignant pleural effusions. The ASAP trial. Am J Respir Crit Care Med. 2017;195:133.",Randomized trial of pleural fluid drainage frequency in patients with malignant pleural effusions. The ASAP trial,Am J Respir Crit Care Med,2017,195,,133,,,Wahidi MM; Reddy C; Yarmus L
131,"Muruganandan S, Azzopardi M, Fitzgerald DB. Aggressive versus symptom-guided drainage of malignant pleural effusion via indwelling pleural catheters (AMPLE-2): an open-label randomised trial. Lancet Respir Med. 2018;6:134.",Aggressive versus symptom-guided drainage of malignant pleural effusion via indwelling pleural catheters (AMPLE-2): an open-label randomised trial,Lancet Respir Med,2018,6,,134,,,Muruganandan S; Azzopardi M; Fitzgerald DB
132,"Raman T, Meena N. A single institution experience for the management of recurrent pleural effusions with tunneled pleural catheter and its evolution. Ther Adv Respir Dis. 2017;11:135.",A single institution experience for the management of recurrent pleural effusions with tunneled pleural catheter and its evolution,Ther Adv Respir Dis,2017,11,,135,,,Raman T; Meena N
133,"Thomas R, Fysh E, Smith NA. Effect of an indwelling pleural catheter vs talc pleurodesis on hospitalization days in patients with malignant pleural effusion: the AMPLE randomized clinical trial. JAMA. 2017;318:136.",Effect of an indwelling pleural catheter vs talc pleurodesis on hospitalization days in patients with malignant pleural effusion: the AMPLE randomized clinical trial,JAMA,2017,318,,136,,,Thomas R; Fysh E; Smith NA
134,"Olfert JA, Penz ED, Manns BJ. Cost-effectiveness of indwelling pleural catheter compared with talc in malignant pleural effusion. Respirology. 2017;22:137.",Cost-effectiveness of indwelling pleural catheter compared with talc in malignant pleural effusion,Respirology,2017,22,,137,,,Olfert JA; Penz ED; Manns BJ
135,"Bhatnagar R, Zahan-Evans N, Kearney C. A novel drug-eluting indwelling pleural catheter for the management of malignant effusions. Am J Respir Crit Care Med. 2018;197:138.",A novel drug-eluting indwelling pleural catheter for the management of malignant effusions,Am J Respir Crit Care Med,2018,197,,138,,,Bhatnagar R; Zahan-Evans N; Kearney C
136,"Tremblay A, Kearney CT, Hanks C. EGFR mutation status in primary lung adenocarcinomas and corresponding metastatic lesions: discordance in pleural metastasis. Clin Lung Cancer. 2011;43:141.",EGFR mutation status in primary lung adenocarcinomas and corresponding metastatic lesions: discordance in pleural metastasis,Clin Lung Cancer,2011,43,,141,,,Tremblay A; Kearney CT; Hanks C
137,"Agalioti T, Giannou AD, Stathopoulos GT. Pleural involvement in lung cancer. J Thorac Dis. 2015;7:142.",Pleural involvement in lung cancer,J Thorac Dis,2015,7,,142,,,Agalioti T; Giannou AD; Stathopoulos GT
138,"Gow CH, Chang YL, Hsu YC. Comparison of epidermal growth factor receptor mutations between primary and corresponding metastatic tumors in tyrosine kinase inhibitor-naive non-small-cell lung cancer. Ann Oncol. 2009;20:143.",Comparison of epidermal growth factor receptor mutations between primary and corresponding metastatic tumors in tyrosine kinase inhibitor-naive non-small-cell lung cancer,Ann Oncol,2009,20,,143,,,Gow CH; Chang YL; Hsu YC
139,"Spella M, Giannou AD, Stathopoulos GT. Switching off malignant pleural effusion formation-fantasy or future?. Thorac Dis. 2015;7:144.",Switching off malignant pleural effusion formation-fantasy or future?,Thorac Dis,2015,7,,144,,,Spella M; Giannou AD; Stathopoulos GT
140,"Wei H, Du F, Lu Y. Successful ceritinib treatment in a man with MPE and an ALK fusion gene mutation after multiple treatments. Springerplus. 2016;5:145.",Successful ceritinib treatment in a man with MPE and an ALK fusion gene mutation after multiple treatments,Springerplus,2016,5,,145,,,Wei H; Du F; Lu Y
141,"Sun JM, Choi YL, Won JK. A dramatic response to crizotinib in a nonsmall-cell lung cancer patient with IHC-positive and FISH-negative ALK. J Thorac Oncol. 2012;7:146.",A dramatic response to crizotinib in a nonsmall-cell lung cancer patient with IHC-positive and FISH-negative ALK,J Thorac Oncol,2012,7,,146,,,Sun JM; Choi YL; Won JK
142,"Lansley SM, Varano D, Vergiliana JF, Cleaver AL. A commercially available preparation of Staphylococcus aureus bio-products potently inhibits tumour growth in a murine model of mesothelioma. Respirology. 2014;19:147.",A commercially available preparation of Staphylococcus aureus bio-products potently inhibits tumour growth in a murine model of mesothelioma,Respirology,2014,19,,147,,,Lansley SM; Varano D; Vergiliana JF; Cleaver AL
143,"Ren S, Terman DS, Bohach G. Intrapleural staphylococcal superantigen induces resolution of malignant pleural effusions and a survival benefit in non-small cell lung cancer. Chest. 2004;126.",Intrapleural staphylococcal superantigen induces resolution of malignant pleural effusions and a survival benefit in non-small cell lung cancer,Chest,2004,126,,,,,Ren S; Terman DS; Bohach G
