#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Becker HD. Bronchoscopy: the past, the present, and the future. Clin Chest Med. 2010;31(1).","Bronchoscopy: the past, the present, and the future",Clin Chest Med,2010,31,1,,,,Becker HD
95,"Wahidi MM, Herth F, Yasufuku K. Technical aspects of endobronchial ultrasound-guided transbronchial needle aspiration: CHEST guideline and expert panel report. Chest. 2016;149(3).",Technical aspects of endobronchial ultrasound-guided transbronchial needle aspiration: CHEST guideline and expert panel report,Chest,2016,149,3,,,,Wahidi MM; Herth F; Yasufuku K
96,"Majori M, Anghinolfi M, Scarascia A. Conventional transbronchial needle aspiration with 23 gauge needle: a preliminary study. J Thorac Dis. 2015;7(4):758.",Conventional transbronchial needle aspiration with 23 gauge needle: a preliminary study,J Thorac Dis,2015,7,4,758,,,Majori M; Anghinolfi M; Scarascia A
97,Wang K. Transbronchial needle aspiration. J Bronchology Interv Pulmonol. 1994;1(1).,Transbronchial needle aspiration,J Bronchology Interv Pulmonol,1994,1,1,,,,Wang K
98,"Ost DE, Ernst A, Lei X. Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE registry. Am J Respir Crit Care Med. 2016;193(1).",Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE registry,Am J Respir Crit Care Med,2016,193,1,,,,Ost DE; Ernst A; Lei X
99,"Harrow EM, Oldenburg FA, Jr, Lingenfelter MS. Transbronchial needle aspiration in clinical practice. A five-year experience. Chest. 1989;96(6):100.",Transbronchial needle aspiration in clinical practice. A five-year experience,Chest,1989,96,6,100,,,Harrow EM; Oldenburg FA; Jr; Lingenfelter MS
100,"Han NJ, Song K, Lee KH. Superficial endobronchial lung cancer: radiologic-pathologic correlation. Korean J Radiol. 2002;3(4):101.",Superficial endobronchial lung cancer: radiologic-pathologic correlation,Korean J Radiol,2002,3,4,101,,,Han NJ; Song K; Lee KH
101,"Waxman AB. Flexible bronchoscopy: indications, contraindications, and consent. Flexible bronchoscopy: indications, contraindications, and consent. 2009;None:102.","Flexible bronchoscopy: indications, contraindications, and consent","Flexible bronchoscopy: indications, contraindications, and consent",2009,,,102,,,Waxman AB
102,Steinbrook R. Improving protection for research subjects. N Engl J Med. 2002;346(18).,Improving protection for research subjects,N Engl J Med,2002,346,18,,,,Steinbrook R
103,"Dreisin RB, Albert RK, Talley PA. Flexible fiberoptic bronchoscopy in the teaching hospital. Yield and complications. Chest. 1978;74(2):104.",Flexible fiberoptic bronchoscopy in the teaching hospital. Yield and complications,Chest,1978,74,2,104,,,Dreisin RB; Albert RK; Talley PA
104,"Simpson FG, Arnold AG, Purvis A. Postal survey of bronchoscopic practice by physicians in the United Kingdom. Thorax. 1986;41(4):105.",Postal survey of bronchoscopic practice by physicians in the United Kingdom,Thorax,1986,41,4,105,,,Simpson FG; Arnold AG; Purvis A
105,"Ernst A, Silvestri GA, Johnstone D, College A, Physicians C. Interventional pulmonary procedures: guidelines from the American College of Chest Physicians. Chest. 2003;123(5):106.",Interventional pulmonary procedures: guidelines from the American College of Chest Physicians,Chest,2003,123,5,106,,,Ernst A; Silvestri GA; Johnstone D; College A; Physicians C
106,"Rand D, Blaikley IA, Booton J, R. British Thoracic Society guideline for diagnostic flexible bronchoscopy in adults: accredited by NICE. Murray and Nadel's textbook of respiratory medicine. 2005;68:108.",British Thoracic Society guideline for diagnostic flexible bronchoscopy in adults: accredited by NICE,Murray and Nadel's textbook of respiratory medicine,2005,68,,108,,,Rand D; Blaikley IA; Booton J; R
107,"Albertini RE, Harrell JH, Kurihara N. Arterial hypoxemia induced by fiberoptic bronchoscopy. JAMA. 1974;230(12):109.",Arterial hypoxemia induced by fiberoptic bronchoscopy,JAMA,1974,230,12,109,,,Albertini RE; Harrell JH; Kurihara N
108,"Steinberg KP, Mitchell DR, Maunder RJ. Safety of bronchoalveolar lavage in patients with adult respiratory distress syndrome. Am Rev Respir Dis. 1993;148:110.",Safety of bronchoalveolar lavage in patients with adult respiratory distress syndrome,Am Rev Respir Dis,1993,148,,110,,,Steinberg KP; Mitchell DR; Maunder RJ
109,"Hertz MI, Woodward ME, Gross CR. Safety of bronchoalveolar lavage in the critically ill, mechanically ventilated patient. Crit Care Med. 1991;19(12):111.","Safety of bronchoalveolar lavage in the critically ill, mechanically ventilated patient",Crit Care Med,1991,19,12,111,,,Hertz MI; Woodward ME; Gross CR
110,"Prebil SE, Andrews J, Cribbs SK. Safety of research bronchoscopy in critically ill patients. J Crit Care. 2014;29(6):112.",Safety of research bronchoscopy in critically ill patients,J Crit Care,2014,29,6,112,,,Prebil SE; Andrews J; Cribbs SK
111,"Combe L, Messika B, Labbe J, ´. High-flow nasal oxygen for bronchoalveolar lavage in acute respiratory failure patients. Eur Respir J. 2016;47(4):113.",High-flow nasal oxygen for bronchoalveolar lavage in acute respiratory failure patients,Eur Respir J,2016,47,4,113,,,Combe L; Messika B; Labbe J; ´
112,"Fleisher LA, Beckman JA, Brown KA. AHA 2007 guidelines on perioperative cardiovascular evaluation and care for noncardiac surgery: a report of the American College of Cardiology/American Heart Association Task Force on Practice Guidelines (writing committee to revise the 2002 guidelines on perioperative cardiovascular evaluation for noncardiac surgery) developed in collaboration with the American Society of Echocardiography, American Society of Nuclear Cardiology, Heart Rhythm Society, Society of Cardiovascular Anesthesiologists, Society for Cardiovascular Angiography and Interventions, Society for Vascular Medicine and Biology, and Society for Vascular Surgery. J Am Coll Cardiol. 2007;50(17):114.","AHA 2007 guidelines on perioperative cardiovascular evaluation and care for noncardiac surgery: a report of the American College of Cardiology/American Heart Association Task Force on Practice Guidelines (writing committee to revise the 2002 guidelines on perioperative cardiovascular evaluation for noncardiac surgery) developed in collaboration with the American Society of Echocardiography, American Society of Nuclear Cardiology, Heart Rhythm Society, Society of Cardiovascular Anesthesiologists, Society for Cardiovascular Angiography and Interventions, Society for Vascular Medicine and Biology, and Society for Vascular Surgery",J Am Coll Cardiol,2007,50,17,114,,,Fleisher LA; Beckman JA; Brown KA
113,"Davies L, Mister R, Spence D. Cardiovascular consequences of fibreoptic bronchoscopy. Eur Respir J. 1997;10(3):115.",Cardiovascular consequences of fibreoptic bronchoscopy,Eur Respir J,1997,10,3,115,,,Davies L; Mister R; Spence D
114,"Dweik RA, Mehta AC, Meeker DP. Analysis of the safety of bronchoscopy after recent acute myocardial infarction. Chest. 1996;110(3):116.",Analysis of the safety of bronchoscopy after recent acute myocardial infarction,Chest,1996,110,3,116,,,Dweik RA; Mehta AC; Meeker DP
115,"Dunagan DP, Burke HL, Aquino SL. Fiberoptic bronchoscopy in coronary care unit patients: indications, safety, and clinical implications. Chest. 1998;114(6):117.","Fiberoptic bronchoscopy in coronary care unit patients: indications, safety, and clinical implications",Chest,1998,114,6,117,,,Dunagan DP; Burke HL; Aquino SL
116,"Matot I, Kramer MR, Glantz L. Myocardial ischemia in sedated patients undergoing fiberoptic bronchoscopy. Chest. 1997;112(6):118.",Myocardial ischemia in sedated patients undergoing fiberoptic bronchoscopy,Chest,1997,112,6,118,,,Matot I; Kramer MR; Glantz L
117,"Stover DE, Zaman MB, Hajdu SI. Bronchoalveolar lavage in the diagnosis of diffuse pulmonary infiltrates in the immunosuppressed host. Ann Intern Med. 1984;101(1):119.",Bronchoalveolar lavage in the diagnosis of diffuse pulmonary infiltrates in the immunosuppressed host,Ann Intern Med,1984,101,1,119,,,Stover DE; Zaman MB; Hajdu SI
118,"Martin WJ, Ii, Smith TF, Sanderson DR. Role of bronchoalveolar lavage in the assessment of opportunistic pulmonary infections: utility and complications. Mayo Clin Proc. 1987;62(7):120.",Role of bronchoalveolar lavage in the assessment of opportunistic pulmonary infections: utility and complications,Mayo Clin Proc,1987,62,7,120,,,Martin WJ; Ii; Smith TF; Sanderson DR
119,"Shofer S, Wahidi MM. Transbronchial lung biopsy. Transbronchial lung biopsy. 2009;None:121.",Transbronchial lung biopsy,Transbronchial lung biopsy,2009,,,121,,,Shofer S; Wahidi MM
120,"Wahidi MM, Garland R, Feller-Kopman D. Effect of clopidogrel with and without aspirin on bleeding following transbronchial lung biopsy. Chest. 2005;127(3):122.",Effect of clopidogrel with and without aspirin on bleeding following transbronchial lung biopsy,Chest,2005,127,3,122,,,Wahidi MM; Garland R; Feller-Kopman D
121,"Ernst A, Eberhardt R, Wahidi M. Effect of routine clopidogrel use on bleeding complications after transbronchial biopsy in humans. Chest. 2006;129(3):123.",Effect of routine clopidogrel use on bleeding complications after transbronchial biopsy in humans,Chest,2006,129,3,123,,,Ernst A; Eberhardt R; Wahidi M
122,"Morrison B, Horst T, Brown BM, MJ. Bridging with glycoprotein IIb/IIIa inhibitors for periprocedural management of antiplatelet therapy in patients with drug eluting stents. Catheter Cardiovasc Interv. 2012;79(4):124.",Bridging with glycoprotein IIb/IIIa inhibitors for periprocedural management of antiplatelet therapy in patients with drug eluting stents,Catheter Cardiovasc Interv,2012,79,4,124,,,Morrison B; Horst T; Brown BM; MJ
123,"Papin TA, Lynch JP, Weg JG. Transbronchial biopsy in the thrombocytopenic patient. Chest. 1985;88(4):125.",Transbronchial biopsy in the thrombocytopenic patient,Chest,1985,88,4,125,,,Papin TA; Lynch JP; Weg JG
124,"Brickey DA, Lawlor DP. Transbronchial biopsy in the presence of profound elevation of the international normalized ratio. Chest. 1999;115(6):126.",Transbronchial biopsy in the presence of profound elevation of the international normalized ratio,Chest,1999,115,6,126,,,Brickey DA; Lawlor DP
125,"Douketis JD, Spyropoulos AC, Spencer FA. Perioperative management of antithrombotic therapy: antithrombotic therapy and prevention of thrombosis, 9th ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2012;141(2):127.","Perioperative management of antithrombotic therapy: antithrombotic therapy and prevention of thrombosis, 9th ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2012,141,2,127,,,Douketis JD; Spyropoulos AC; Spencer FA
126,"Kozak EA, Brath LK. Do ""screening"" coagulation tests predict bleeding in patients undergoing fiberoptic bronchoscopy with biopsy. Chest. 1994;106(3):128.","Do ""screening"" coagulation tests predict bleeding in patients undergoing fiberoptic bronchoscopy with biopsy",Chest,1994,106,3,128,,,Kozak EA; Brath LK
127,"Bloomfield GL, Ridings PC, Blocher CR. A proposed relationship between increased intraabdominal, intrathoracic, and intracranial pressure. Crit Care Med. 1997;25(3):129.","A proposed relationship between increased intraabdominal, intrathoracic, and intracranial pressure",Crit Care Med,1997,25,3,129,,,Bloomfield GL; Ridings PC; Blocher CR
128,"Peerless JR, Snow N, Likavec MJ. The effect of fiberoptic bronchoscopy on cerebral hemodynamics in patients with severe head injury. Chest. 1995;108(4):130.",The effect of fiberoptic bronchoscopy on cerebral hemodynamics in patients with severe head injury,Chest,1995,108,4,130,,,Peerless JR; Snow N; Likavec MJ
129,"Kerwin AJ, Croce MA, Timmons SD. Effects of fiberoptic bronchoscopy on intracranial pressure in patients with brain injury: a prospective clinical study. J Trauma. 2000;48(5):131.",Effects of fiberoptic bronchoscopy on intracranial pressure in patients with brain injury: a prospective clinical study,J Trauma,2000,48,5,131,,,Kerwin AJ; Croce MA; Timmons SD
130,"Grosu HB, Morice RC, Sarkiss M. Safety of flexible bronchoscopy, rigid bronchoscopy, and endobronchial ultrasound-guided transbronchial needle aspiration in patients with malignant space-occupying brain lesions. Chest. 2015;147(6):132.","Safety of flexible bronchoscopy, rigid bronchoscopy, and endobronchial ultrasound-guided transbronchial needle aspiration in patients with malignant space-occupying brain lesions",Chest,2015,147,6,132,,,Grosu HB; Morice RC; Sarkiss M
131,"Diaz-Guzman E, Vadi S, Minai OA. Safety of diagnostic bronchoscopy in patients with pulmonary hypertension. Respiration. 2009;77(3):133.",Safety of diagnostic bronchoscopy in patients with pulmonary hypertension,Respiration,2009,77,3,133,,,Diaz-Guzman E; Vadi S; Minai OA
132,"Neuman Y, Koslow M, Matveychuk A. Increased hypoxemia in patients with COPD and pulmonary hypertension undergoing bronchoscopy with biopsy. Int J Chron Obstruct Pulmon Dis. 2015;10:134.",Increased hypoxemia in patients with COPD and pulmonary hypertension undergoing bronchoscopy with biopsy,Int J Chron Obstruct Pulmon Dis,2015,10,,134,,,Neuman Y; Koslow M; Matveychuk A
133,"Diaz-Fuentes G, Bajantri B, Adrish M. Safety of bronchoscopy in patients with echocardiographic evidence of pulmonary hypertension. Respiration. 2016;92(3):135.",Safety of bronchoscopy in patients with echocardiographic evidence of pulmonary hypertension,Respiration,2016,92,3,135,,,Diaz-Fuentes G; Bajantri B; Adrish M
134,"Scott D, Kerr M. Inferior vena caval pressure in late pregnancy. BJOG. 1963;70(6):136.",Inferior vena caval pressure in late pregnancy,BJOG,1963,70,6,136,,,Scott D; Kerr M
135,Kammerer WS. Nonobstetric surgery during pregnancy. Med Clin North Am. 1979;63(6):137.,Nonobstetric surgery during pregnancy,Med Clin North Am,1979,63,6,137,,,Kammerer WS
136,"Imad J, Bahhady AE. Risks of and recommendations for flexible bronchoscopy in pregnancy. Chest. 2004;126:138.",Risks of and recommendations for flexible bronchoscopy in pregnancy,Chest,2004,126,,138,,,Imad J; Bahhady AE
137,"Shaw P, Duncan A, Vouyouka A. Radiation exposure and pregnancy. Journal of Vascular Surgery. 2011;53(1).",Radiation exposure and pregnancy,Journal of Vascular Surgery,2011,53,1,,,,Shaw P; Duncan A; Vouyouka A
