#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"F, Killian G. father of bronchoscopy. Arch Otolaryngol. 1965;82.",father of bronchoscopy,Arch Otolaryngol,1965,82,,,,,F; Killian G
75,"Fielding D, Bashirzadeh F, Son JW, Todman M, Chin A, Tan L. First human use of a new robotic-assisted fiber optic sensing navigation system for small peripheral pulmonary nodules. Respiration. 2019;98.",First human use of a new robotic-assisted fiber optic sensing navigation system for small peripheral pulmonary nodules,Respiration,2019,98,,,,,Fielding D; Bashirzadeh F; Son JW; Todman M; Chin A; Tan L
76,"Postmus PE, Kerr KM, Oudkerk M, Senan S, Waller DA, Vansteenkiste J. ESMO Guidelines Committee. Early and locally advanced non-small-cell lung cancer (NSCLC): ESMO clinical practice guidelines for diagnosis, treatment and follow-up. Ann Oncol. 2017;28.","ESMO Guidelines Committee. Early and locally advanced non-small-cell lung cancer (NSCLC): ESMO clinical practice guidelines for diagnosis, treatment and follow-up",Ann Oncol,2017,28,,,,,Postmus PE; Kerr KM; Oudkerk M; Senan S; Waller DA; Vansteenkiste J
77,"Ghanem S, Bitar E, Hossri S, Weerasinghe S, Atallah C, JP. What we know about surgical therapy in early-stage non-small-cell lung cancer: a guide for the medical oncologist. Cancer Manag Res. 2017;9.",What we know about surgical therapy in early-stage non-small-cell lung cancer: a guide for the medical oncologist,Cancer Manag Res,2017,9,,,,,Ghanem S; Bitar E; Hossri S; Weerasinghe S; Atallah C; JP
78,"Kang KH, Okoye CC, Patel RB, Siva S, Biswas T, Ellis RJ. Complications from stereotactic body radiotherapy for lung cancer. Cancers. 2015;7.",Complications from stereotactic body radiotherapy for lung cancer,Cancers,2015,7,,,,,Kang KH; Okoye CC; Patel RB; Siva S; Biswas T; Ellis RJ
79,"Xie F, Zheng X, Han XB, Herth B, Sun F, J. Navigation bronchoscopy-guided radiofrequency ablation for nonsurgical peripheral pulmonary tumors. Respiration. 2017;94.",Navigation bronchoscopy-guided radiofrequency ablation for nonsurgical peripheral pulmonary tumors,Respiration,2017,94,,,,,Xie F; Zheng X; Han XB; Herth B; Sun F; J
80,"Tanabe T, Koizumi T, Tsushima K, Ito M, Kanda S, Kobayashi T. Comparative study of three different catheters for CT imaging-bronchoscopy-guided radiofrequency ablation as a potential and novel interventional therapy for lung cancer. Chest. 2010;137.",Comparative study of three different catheters for CT imaging-bronchoscopy-guided radiofrequency ablation as a potential and novel interventional therapy for lung cancer,Chest,2010,137,,,,,Tanabe T; Koizumi T; Tsushima K; Ito M; Kanda S; Kobayashi T
81,"Koizumi T, Tsushima K, Tanabe T, Agatsuma T, Yokoyama T, Ito M. Bronchoscopy-guided cooled radiofrequency ablation as a novel intervention therapy for peripheral lung cancer. Respiration. 2015;90.",Bronchoscopy-guided cooled radiofrequency ablation as a novel intervention therapy for peripheral lung cancer,Respiration,2015,90,,,,,Koizumi T; Tsushima K; Tanabe T; Agatsuma T; Yokoyama T; Ito M
82,"Hawk K, Rooks K. Characterization of a bronchoscopic thermal ablation catheter in porcine lung [abstract. Am J Respir Crit Care Med. 2016;193:6019.",Characterization of a bronchoscopic thermal ablation catheter in porcine lung [abstract,Am J Respir Crit Care Med,2016,193,,6019,,,Hawk K; Rooks K
83,"Yamauchi Y, Izumi Y, Hashimoto K, Yashiro H, Inoue M, Nakatsuka S. Percutaneous cryoablation for the treatment of medically inoperable stage I non-small cell lung cancer. PLoS One. 2012;7:33223.",Percutaneous cryoablation for the treatment of medically inoperable stage I non-small cell lung cancer,PLoS One,2012,7,,33223,,,Yamauchi Y; Izumi Y; Hashimoto K; Yashiro H; Inoue M; Nakatsuka S
84,"Zheng X, Yang C, Zhang X, Yuan H, Xie F, Li Y. The cryoablation for peripheral pulmonary lesions using a novel flexible bronchoscopic cryoprobe in the ex vivo pig lung and liver. Respiration. 2019;97.",The cryoablation for peripheral pulmonary lesions using a novel flexible bronchoscopic cryoprobe in the ex vivo pig lung and liver,Respiration,2019,97,,,,,Zheng X; Yang C; Zhang X; Yuan H; Xie F; Li Y
85,"Henne E, Ferguson JS, Mest R, Herth FJ. Thermal vapor ablation for lung lesions in a porcine model. Respiration. 2015;90.",Thermal vapor ablation for lung lesions in a porcine model,Respiration,2015,90,,,,,Henne E; Ferguson JS; Mest R; Herth FJ
86,"Harms W, Krempien R, Grehn C, Hensley F, Debus J, Becker HD. Electromagnetically navigated brachytherapy as a new treatment option for peripheral pulmonary tumors. Strahlenther Onkol. 2006;182.",Electromagnetically navigated brachytherapy as a new treatment option for peripheral pulmonary tumors,Strahlenther Onkol,2006,182,,,,,Harms W; Krempien R; Grehn C; Hensley F; Debus J; Becker HD
87,"Imamura F, Ueno K, Kusunoki Y, Uchida J, Yoshimura M, Koizumi M. High-dose-rate brachytherapy for small-sized peripherally located lung cancer. Strahlenther Onkol. 2006;182.",High-dose-rate brachytherapy for small-sized peripherally located lung cancer,Strahlenther Onkol,2006,182,,,,,Imamura F; Ueno K; Kusunoki Y; Uchida J; Yoshimura M; Koizumi M
88,"Chen KC, Lee JM. Photodynamic therapeutic ablation for peripheral pulmonary malignancy via electromagnetic navigation bronchoscopy localization in a hybrid operating room (OR): a pioneering study. J Thorac Dis. 2018;10.",Photodynamic therapeutic ablation for peripheral pulmonary malignancy via electromagnetic navigation bronchoscopy localization in a hybrid operating room (OR): a pioneering study,J Thorac Dis,2018,10,,,,,Chen KC; Lee JM
89,"Kinoshita T, Effat A, Gregor A, Inage T, Ishiwata T, Motooka Y. A novel laser fiberscope for simultaneous imaging and phototherapy of peripheral lung cancer. Chest. 2019;156.",A novel laser fiberscope for simultaneous imaging and phototherapy of peripheral lung cancer,Chest,2019,156,,,,,Kinoshita T; Effat A; Gregor A; Inage T; Ishiwata T; Motooka Y
90,"Ernst A, Feller-Kopman D, Becker HD, Mehta AC. Central airway obstruction. Am J Respir Crit Care Med. 2004;169.",Central airway obstruction,Am J Respir Crit Care Med,2004,169,,,,,Ernst A; Feller-Kopman D; Becker HD; Mehta AC
91,"Murgu SD, Egressy K, Laxmanan B, Doblare G, Ortiz-Comino R, Hogarth DK. Central airway obstruction: benign strictures, tracheobronchomalacia, and malignancy-related obstruction. Chest. 2016;150.","Central airway obstruction: benign strictures, tracheobronchomalacia, and malignancy-related obstruction",Chest,2016,150,,,,,Murgu SD; Egressy K; Laxmanan B; Doblare G; Ortiz-Comino R; Hogarth DK
92,"Brouns M, Jayaraju ST, Lacor C et al.. Tracheal stenosis: a flow dynamics study. J Appl Physiol. 1985;102.",Tracheal stenosis: a flow dynamics study,J Appl Physiol,1985,102,,,,,Brouns M; Jayaraju ST; Lacor C; Mey D; Noppen J; Vincken M; W
93,"Geffin B, Grillo HC, Cooper JD, Pontoppidan H. Stenosis following tracheostomy for respiratory care. JAMA. 1971;216.",Stenosis following tracheostomy for respiratory care,JAMA,1971,216,,,,,Geffin B; Grillo HC; Cooper JD; Pontoppidan H
94,Hollingsworth HM. Wheezing and stridor. Clin Chest Med. 1987;8.,Wheezing and stridor,Clin Chest Med,1987,8,,,,,Hollingsworth HM
95,"Hindle H, Aldik MG, Marchbank A, Daneshvar C. Central airway obstruction in bronchogenic cancer. Central airway obstruction in bronchogenic cancer. 2016;None.",Central airway obstruction in bronchogenic cancer,Central airway obstruction in bronchogenic cancer,2016,,,,,,Hindle H; Aldik MG; Marchbank A; Daneshvar C
96,"Goldstraw P, Chansky K, Crowley J, Rami-Porta R, Asamura H, Eberhardt WE. International Association for the Study of Lung Cancer Staging and Prognostic Factors Committee, Advisory Boards, and Participating Institutions; International Association for the Study of Lung Cancer Staging and Prognostic Factors Committee Advisory Boards and Participating Institutions. The IASLC lung cancer staging project: proposals for revision of the TNM stage groupings in the forthcoming (eighth) edition of the TNM classification for lung cancer. J Thorac Oncol. 2016;11.","International Association for the Study of Lung Cancer Staging and Prognostic Factors Committee, Advisory Boards, and Participating Institutions; International Association for the Study of Lung Cancer Staging and Prognostic Factors Committee Advisory Boards and Participating Institutions. The IASLC lung cancer staging project: proposals for revision of the TNM stage groupings in the forthcoming (eighth) edition of the TNM classification for lung cancer",J Thorac Oncol,2016,11,,,,,Goldstraw P; Chansky K; Crowley J; Rami-Porta R; Asamura H; Eberhardt WE
97,"Goldstraw P, Crowley J, Chansky K, Giroux DJ, Groome PA, Rami-Porta R. International Association for the Study of Lung Cancer International Staging Committee; Participating Institutions. The IASLC lung cancer staging project: proposals for the revision of the TNM stage groupings in the forthcoming (seventh) edition of the TNM classification of malignant tumours. J Thorac Oncol. 2007;2.",International Association for the Study of Lung Cancer International Staging Committee; Participating Institutions. The IASLC lung cancer staging project: proposals for the revision of the TNM stage groupings in the forthcoming (seventh) edition of the TNM classification of malignant tumours,J Thorac Oncol,2007,2,,,,,Goldstraw P; Crowley J; Chansky K; Giroux DJ; Groome PA; Rami-Porta R
98,Macchiarini P. Primary tracheal tumours. Lancet Oncol. 2006;7.,Primary tracheal tumours,Lancet Oncol,2006,7,,,,,Macchiarini P
99,"Licht PB, Friis S, Pettersson G et al.. Postintubation tracheal stenosis. Treatment and results. J Thorac Cardiovasc Surg. 1995;19.",Postintubation tracheal stenosis. Treatment and results,J Thorac Cardiovasc Surg,1995,19,,,,,Licht PB; Friis S; Pettersson G; Grillo HC; Donahue DM; Mathisen DJ; Wain JC; Wright CD
100,"Grillo HC, Mark EJ, Mathisen DJ, Wain JC. Idiopathic laryngotracheal stenosis and its management. Ann Thorac Surg. 1993;56:102.",Idiopathic laryngotracheal stenosis and its management,Ann Thorac Surg,1993,56,,102,,,Grillo HC; Mark EJ; Mathisen DJ; Wain JC
101,"Keshishyan S, Delorenzo L, Hammoud K, Avagyan A, Assallum H, Harris K. Infections causing central airway obstruction: role of bronchoscopy in diagnosis and management. J Thorac Dis. 2017;9:103.",Infections causing central airway obstruction: role of bronchoscopy in diagnosis and management,J Thorac Dis,2017,9,,103,,,Keshishyan S; Delorenzo L; Hammoud K; Avagyan A; Assallum H; Harris K
102,"Baroni RH, Feller-Kopman D, Nishino M, Hatabu H, Loring SH, Ernst A. Tracheobronchomalacia: comparison between endexpiratory and dynamic expiratory CT for evaluation of central airway collapse. Radiology. 2005;235:104.",Tracheobronchomalacia: comparison between endexpiratory and dynamic expiratory CT for evaluation of central airway collapse,Radiology,2005,235,,104,,,Baroni RH; Feller-Kopman D; Nishino M; Hatabu H; Loring SH; Ernst A
103,"Boiselle PM, Reynolds KF, Ernst A. Multiplanar and three-dimensional imaging of the central airways with multidetector CT. AJR Am J Roentgenol. 2002;179:105.",Multiplanar and three-dimensional imaging of the central airways with multidetector CT,AJR Am J Roentgenol,2002,179,,105,,,Boiselle PM; Reynolds KF; Ernst A
104,"Gilkeson RC, Ciancibello LM, Hejal RB, Montenegro HD, Lange P. Tracheobronchomalacia: dynamic airway evaluation with multidetector CT. AJR Am J Roentgenol. 2001;176:106.",Tracheobronchomalacia: dynamic airway evaluation with multidetector CT,AJR Am J Roentgenol,2001,176,,106,,,Gilkeson RC; Ciancibello LM; Hejal RB; Montenegro HD; Lange P
105,"Quint LE, Whyte RI, Kazerooni EA et al.. Stenosis of the central airways: evaluation by using helical CT with multiplanar reconstructions. Radiology. 1995;194:107.",Stenosis of the central airways: evaluation by using helical CT with multiplanar reconstructions,Radiology,1995,194,,107,,,Quint LE; Whyte RI; Kazerooni EA; Martinez FJ; Cascade PN; Lynch JP; Iii
106,"Mathisen DJ, Grillo HC. Endoscopic relief of malignant airway obstruction. Ann Thorac Surg. 1989;48.",Endoscopic relief of malignant airway obstruction,Ann Thorac Surg,1989,48,,,,,Mathisen DJ; Grillo HC
107,"Rahman NA, Fruchter O, Shitrit D et al.. Flexible bronchoscopic management of benign tracheal stenosis: long term follow-up of 115 patients. J Cardiothorac Surg. 2002;5:110.",Flexible bronchoscopic management of benign tracheal stenosis: long term follow-up of 115 patients,J Cardiothorac Surg,2002,5,,110,,,Rahman NA; Fruchter O; Shitrit D; Fox BD; Kramer MR; Herth F; Becker HD; Locicero J; Iii EA
108,"Bolliger CT, Mathur PN, Beamis JF, Becker HD, Cavaliere S, Colt H. European Respiratory Society/American Thoracic Society. ERS/ATS statement on interventional pulmonology. Eur Respir J. 2002;19:111.",European Respiratory Society/American Thoracic Society. ERS/ATS statement on interventional pulmonology,Eur Respir J,2002,19,,111,,,Bolliger CT; Mathur PN; Beamis JF; Becker HD; Cavaliere S; Colt H
109,"Guibert N, Mazieres J, Lepage B, Plat G, Didier A, Hermant C. Prognostic factors associated with interventional bronchoscopy in lung cancer. Ann Thorac Surg. 2014;97:112.",Prognostic factors associated with interventional bronchoscopy in lung cancer,Ann Thorac Surg,2014,97,,112,,,Guibert N; Mazieres J; Lepage B; Plat G; Didier A; Hermant C
110,"Ost DE, Ernst A, Grosu HB, Lei X, Diaz-Mendoza J, Slade M. AQuIRE Bronchoscopy Registry. Complications following therapeutic bronchoscopy for malignant central airway obstruction: results of the AQuIRE registry. Chest. 2015;148:113.",AQuIRE Bronchoscopy Registry. Complications following therapeutic bronchoscopy for malignant central airway obstruction: results of the AQuIRE registry,Chest,2015,148,,113,,,Ost DE; Ernst A; Grosu HB; Lei X; Diaz-Mendoza J; Slade M
111,"Cavaliere S, Venuta F, Foccoli P, Toninelli C, Face L, B. Endoscopic treatment of malignant airway obstructions in 2,008 patients. Chest. 1996;110:114.","Endoscopic treatment of malignant airway obstructions in 2,008 patients",Chest,1996,110,,114,,,Cavaliere S; Venuta F; Foccoli P; Toninelli C; Face L; B
112,"Ost DE, Ernst A, Grosu HB, Lei X, Diaz-Mendoza J, Slade M. AQuIRE Bronchoscopy Registry. Therapeutic bronchoscopy for malignant central airway obstruction: success rates and impact on dyspnea and quality of life. Chest. 2015;147:115.",AQuIRE Bronchoscopy Registry. Therapeutic bronchoscopy for malignant central airway obstruction: success rates and impact on dyspnea and quality of life,Chest,2015,147,,115,,,Ost DE; Ernst A; Grosu HB; Lei X; Diaz-Mendoza J; Slade M
113,"Amjadi K, Voduc N, Cruysberghs Y, Lemmens R, Fergusson DA, Doucette S. Impact of interventional bronchoscopy on quality of life in malignant airway obstruction. Respiration. 2008;76:116.",Impact of interventional bronchoscopy on quality of life in malignant airway obstruction,Respiration,2008,76,,116,,,Amjadi K; Voduc N; Cruysberghs Y; Lemmens R; Fergusson DA; Doucette S
114,"Stratakos G, Gerovasili V, Dimitropoulos C, Giozos I, Filippidis FT, Gennimata S. Survival and quality of life benefit after endoscopic management of malignant central airway obstruction. J Cancer. 2016;7:117.",Survival and quality of life benefit after endoscopic management of malignant central airway obstruction,J Cancer,2016,7,,117,,,Stratakos G; Gerovasili V; Dimitropoulos C; Giozos I; Filippidis FT; Gennimata S
115,"Mahmood K, Wahidi MM, Thomas S, Argento AC, Ninan NA, Smathers EC. Therapeutic bronchoscopy improves spirometry, quality of life, and survival in central airway obstruction. Respiration. 2015;89:118.","Therapeutic bronchoscopy improves spirometry, quality of life, and survival in central airway obstruction",Respiration,2015,89,,118,,,Mahmood K; Wahidi MM; Thomas S; Argento AC; Ninan NA; Smathers EC
116,"Colt HG, Harrell JH. Therapeutic rigid bronchoscopy allows level of care changes in patients with acute respiratory failure from central airways obstruction. Chest. 1997;112:119.",Therapeutic rigid bronchoscopy allows level of care changes in patients with acute respiratory failure from central airways obstruction,Chest,1997,112,,119,,,Colt HG; Harrell JH
117,"Jeon K, Kim H, Yu CM, Koh WJ, Suh GY, Chung MP. Rigid bronchoscopic intervention in patients with respiratory failure caused by malignant central airway obstruction. J Thorac Oncol. 2006;1:120.",Rigid bronchoscopic intervention in patients with respiratory failure caused by malignant central airway obstruction,J Thorac Oncol,2006,1,,120,,,Jeon K; Kim H; Yu CM; Koh WJ; Suh GY; Chung MP
118,"Chhajed PN, Baty F, Pless M, Somandin S, Tamm M, Brutsche MH. Outcome of treated advanced non-small cell lung cancer with and without central airway obstruction. Chest. 2006;130:121.",Outcome of treated advanced non-small cell lung cancer with and without central airway obstruction,Chest,2006,130,,121,,,Chhajed PN; Baty F; Pless M; Somandin S; Tamm M; Brutsche MH
119,"Verma A, Goh SK, Tai D, Kor AC, Soo CI, Seow D. Outcome of advanced lung cancer with central airway obstruction versus without central airway obstruction. ERJ Open Res. 2018;4.",Outcome of advanced lung cancer with central airway obstruction versus without central airway obstruction,ERJ Open Res,2018,4,,,,,Verma A; Goh SK; Tai D; Kor AC; Soo CI; Seow D
120,"Brutinel WM, Mcdougall CD, Gillio JC, Bergstralh RG, EJ. A two-year experience with the neodymium-YAG laser in endobronchial obstruction. Chest. 1987;91:123.",A two-year experience with the neodymium-YAG laser in endobronchial obstruction,Chest,1987,91,,123,,,Brutinel WM; Mcdougall CD; Gillio JC; Bergstralh RG; EJ
121,"Cavaliere S, Foccoli P, Farina PL. Nd:YAG laser bronchoscopy: a fiveyear experience with 1,396 applications in 1,000 patients. Chest. 1988;94:124.","Nd:YAG laser bronchoscopy: a fiveyear experience with 1,396 applications in 1,000 patients",Chest,1988,94,,124,,,Cavaliere S; Foccoli P; Farina PL
122,"Dumon JF, Shapshay S, Bourcereau J, Cavaliere S, Meric B, Garbi N. Principles for safety in application of neodymium-YAG laser in bronchology. Chest. 1984;86:125.",Principles for safety in application of neodymium-YAG laser in bronchology,Chest,1984,86,,125,,,Dumon JF; Shapshay S; Bourcereau J; Cavaliere S; Meric B; Garbi N
123,"Venuta F, Rendina EA, Giacomo D et al.. Nd:YAG laser resection of lung cancer invading the airway as a bridge to surgery and palliative treatment. Ann Thorac Surg. 2002;74:126.",Nd:YAG laser resection of lung cancer invading the airway as a bridge to surgery and palliative treatment,Ann Thorac Surg,2002,74,,126,,,Venuta F; Rendina EA; Giacomo D; Mercadante T; Francioni E; Pugliese F; F
124,"Crosta C, Spaggiari L, Stefano D et al.. Endoscopic argon plasma coagulation for palliative treatment of malignant airway obstructions: early results in 47 cases. Lung Cancer. 2001;33:127.",Endoscopic argon plasma coagulation for palliative treatment of malignant airway obstructions: early results in 47 cases,Lung Cancer,2001,33,,127,,,Crosta C; Spaggiari L; Stefano D; Fiori A; Ravizza G; Pastorino D; U
125,"Sutedja G, Van Kralingen K, Schramel FM, Postmus PE. Fibreoptic bronchoscopic electrosurgery under local anaesthesia for rapid palliation in patients with central airway malignancies: a preliminary report. Thorax. 1994;49:128.",Fibreoptic bronchoscopic electrosurgery under local anaesthesia for rapid palliation in patients with central airway malignancies: a preliminary report,Thorax,1994,49,,128,,,Sutedja G; Van Kralingen K; Schramel FM; Postmus PE
126,"Jp D, Martínez-Ballarín JE, Llunell A, Farrero E, Rodríguez A, Castro MJ. Efficacy and safety of photodynamic therapy versus Nd-YAG laser resection in NSCLC with airway obstruction. Eur Respir J. 1999;14:129.",Efficacy and safety of photodynamic therapy versus Nd-YAG laser resection in NSCLC with airway obstruction,Eur Respir J,1999,14,,129,,,Jp D; Martínez-Ballarín JE; Llunell A; Farrero E; Rodríguez A; Castro MJ
127,"Minnich DJ, Bryant AS, Dooley A, Cerfolio RJ. Photodynamic laser therapy for lesions in the airway. Ann Thorac Surg. 2010;89.",Photodynamic laser therapy for lesions in the airway,Ann Thorac Surg,2010,89,,,,,Minnich DJ; Bryant AS; Dooley A; Cerfolio RJ
128,"Browning R, Turner JF, Jr, Parrish S. Spray cryotherapy (SCT): institutional evolution of techniques and clinical practice from early experience in the treatment of malignant airway disease. J Thorac Dis. 2015;7:131.",Spray cryotherapy (SCT): institutional evolution of techniques and clinical practice from early experience in the treatment of malignant airway disease,J Thorac Dis,2015,7,,131,,,Browning R; Turner JF; Jr; Parrish S
129,"Dibardino DM, Lanfranco AR, Haas AR. Bronchoscopic cryotherapy: clinical applications of the cryoprobe, cryospray, and cryoadhesion. Ann Am Thorac Soc. 2016;13:132.","Bronchoscopic cryotherapy: clinical applications of the cryoprobe, cryospray, and cryoadhesion",Ann Am Thorac Soc,2016,13,,132,,,Dibardino DM; Lanfranco AR; Haas AR
130,"Casal RF, Iribarren J, Eapen G, Ost D, Morice R, Lan C. Safety and effectiveness of microdebrider bronchoscopy for the management of central airway obstruction. Respirology. 2013;18:133.",Safety and effectiveness of microdebrider bronchoscopy for the management of central airway obstruction,Respirology,2013,18,,133,,,Casal RF; Iribarren J; Eapen G; Ost D; Morice R; Lan C
131,"Lunn W, Garland R, Ashiku S, Thurer RL, Feller-Kopman D, EA. Microdebrider bronchoscopy: a new tool for the interventional bronchoscopist. Ann Thorac Surg. 2005;80:134.",Microdebrider bronchoscopy: a new tool for the interventional bronchoscopist,Ann Thorac Surg,2005,80,,134,,,Lunn W; Garland R; Ashiku S; Thurer RL; Feller-Kopman D; EA
132,"Ball JB, Delaney JC, Evans CC, Donnelly RJ, Hind CR. Endoscopic bougie and balloon dilatation of multiple bronchial stenoses: 10 year follow up. Thorax. 1991;46:135.",Endoscopic bougie and balloon dilatation of multiple bronchial stenoses: 10 year follow up,Thorax,1991,46,,135,,,Ball JB; Delaney JC; Evans CC; Donnelly RJ; Hind CR
133,"Kim JH, Shin JH, Song HY, Ko GY, Gwon DI, Yoon HK. Cutting balloon treatment for resistant benign bronchial strictures: report of eleven patients. J Vasc Interv Radiol. 2010;21:136.",Cutting balloon treatment for resistant benign bronchial strictures: report of eleven patients,J Vasc Interv Radiol,2010,21,,136,,,Kim JH; Shin JH; Song HY; Ko GY; Gwon DI; Yoon HK
134,"Hautmann H, Gamarra F, Pfeifer KJ, Huber RM. Fiberoptic bronchoscopic balloon dilatation in malignant tracheobronchial disease: indications and results. Chest. 2001;120:137.",Fiberoptic bronchoscopic balloon dilatation in malignant tracheobronchial disease: indications and results,Chest,2001,120,,137,,,Hautmann H; Gamarra F; Pfeifer KJ; Huber RM
135,"Nouraei SA, Sandhu GS. Outcome of a multimodality approach to the management of idiopathic subglottic stenosis. Laryngoscope. 2013;123:138.",Outcome of a multimodality approach to the management of idiopathic subglottic stenosis,Laryngoscope,2013,123,,138,,,Nouraei SA; Sandhu GS
136,"Shitrit D, Kuchuk M, Zismanov V, Rahman NA, Amital A, Kramer MR. Bronchoscopic balloon dilatation of tracheobronchial stenosis: long-term follow-up. Eur J Cardiothorac Surg. 2010;38:139.",Bronchoscopic balloon dilatation of tracheobronchial stenosis: long-term follow-up,Eur J Cardiothorac Surg,2010,38,,139,,,Shitrit D; Kuchuk M; Zismanov V; Rahman NA; Amital A; Kramer MR
137,"Sethi J, Ali MS, Mohananey D, Nanchal R, Maldonado F, Musani A. Are transbronchial cryobiopsies ready for prime time?: a systematic review and meta-analysis. J Bronchology Interv Pulmonol. 2019;26:140.",Are transbronchial cryobiopsies ready for prime time?: a systematic review and meta-analysis,J Bronchology Interv Pulmonol,2019,26,,140,,,Sethi J; Ali MS; Mohananey D; Nanchal R; Maldonado F; Musani A
138,"Oh SK, Park KN, Lee SW. Long-term results of endoscopic dilatation for tracheal and subglottic stenosis. Clin Exp Otorhinolaryngol. 2014;7:141.",Long-term results of endoscopic dilatation for tracheal and subglottic stenosis,Clin Exp Otorhinolaryngol,2014,7,,141,,,Oh SK; Park KN; Lee SW
139,"Sheski FD, Mathur PN. Long-term results of fiberoptic bronchoscopic balloon dilation in the management of benign tracheobronchial stenosis. Chest. 1998;114:142.",Long-term results of fiberoptic bronchoscopic balloon dilation in the management of benign tracheobronchial stenosis,Chest,1998,114,,142,,,Sheski FD; Mathur PN
140,"Greer M, Fuehner T, Warnecke G, Noack H, Heilmann T, Haverich A. Paclitaxel-coated balloons in refractory nonanastomostic airway stenosis following lung transplantation. Am J Transplant. 2014;14:143.",Paclitaxel-coated balloons in refractory nonanastomostic airway stenosis following lung transplantation,Am J Transplant,2014,14,,143,,,Greer M; Fuehner T; Warnecke G; Noack H; Heilmann T; Haverich A
141,"Khan F, Anker CJ, Garrison G, Kinsey CM. Endobronchial ultrasound-guided transbronchial needle injection for local control of recurrent non-small cell lung cancer. Ann Am Thorac Soc. 2015;12:144.",Endobronchial ultrasound-guided transbronchial needle injection for local control of recurrent non-small cell lung cancer,Ann Am Thorac Soc,2015,12,,144,,,Khan F; Anker CJ; Garrison G; Kinsey CM
142,"Lu B, Sun L, Yan X, Ai Z, Xu J. Intratumoral chemotherapy with paclitaxel liposome combined with systemic chemotherapy: a new method of neoadjuvant chemotherapy for stage III unresectable non-small cell lung cancer. Med Oncol. 2015;32:145.",Intratumoral chemotherapy with paclitaxel liposome combined with systemic chemotherapy: a new method of neoadjuvant chemotherapy for stage III unresectable non-small cell lung cancer,Med Oncol,2015,32,,145,,,Lu B; Sun L; Yan X; Ai Z; Xu J
143,"Mehta HJ, Begnaud A, Penley AM, Wynne J, Malhotra P, Fernandez-Bussy S. Treatment of isolated mediastinal and hilar recurrence of lung cancer with bronchoscopic endobronchial ultrasound guided intratumoral injection of chemotherapy with cisplatin. Lung Cancer. 2015;90:146.",Treatment of isolated mediastinal and hilar recurrence of lung cancer with bronchoscopic endobronchial ultrasound guided intratumoral injection of chemotherapy with cisplatin,Lung Cancer,2015,90,,146,,,Mehta HJ; Begnaud A; Penley AM; Wynne J; Malhotra P; Fernandez-Bussy S
144,Dumon JF. A dedicated tracheobronchial stent. Chest. 1990;97:147.,A dedicated tracheobronchial stent,Chest,1990,97,,147,,,Dumon JF
145,"Noppen M, Pi Érard D, Meysman M, Claes I, Vincken W. Bacterial colonization of central airways after stenting. Am J Respir Crit Care Med. 1999;160:148.",Bacterial colonization of central airways after stenting,Am J Respir Crit Care Med,1999,160,,148,,,"Noppen M; Pi Érard D, Meysman M; Claes I; Vincken W"
146,"Dalar L, Karasulu L, Abul Y, Özdemir C, Sn, Tarhan M. Bronchoscopic treatment in the management of benign tracheal stenosis: choices for simple and complex tracheal stenosis. Ann Thorac Surg. 2016;101:149.",Bronchoscopic treatment in the management of benign tracheal stenosis: choices for simple and complex tracheal stenosis,Ann Thorac Surg,2016,101,,149,,,Dalar L; Karasulu L; Abul Y; Özdemir C; Sn; Tarhan M
147,"Bolliger CT, Sutedja TG, Strausz J, Freitag L. Therapeutic bronchoscopy with immediate effect: laser, electrocautery, argon plasma coagulation and stents. Eur Respir J. 2006;27:150.","Therapeutic bronchoscopy with immediate effect: laser, electrocautery, argon plasma coagulation and stents",Eur Respir J,2006,27,,150,,,Bolliger CT; Sutedja TG; Strausz J; Freitag L
148,"Chung FT, Chen HC, Chou CL, Yu CT, Kuo CH, Kuo HP. An outcome analysis of self-expandable metallic stents in central airway obstruction: a cohort study. J Cardiothorac Surg. 2011;6:151.",An outcome analysis of self-expandable metallic stents in central airway obstruction: a cohort study,J Cardiothorac Surg,2011,6,,151,,,Chung FT; Chen HC; Chou CL; Yu CT; Kuo CH; Kuo HP
149,"Wood DE, Liu YH, Valli Ères E, Karmy-Jones R, Mulligan MS. Airway stenting for malignant and benign tracheobronchial stenosis. Ann Thorac Surg. 2003;76:152.",Airway stenting for malignant and benign tracheobronchial stenosis,Ann Thorac Surg,2003,76,,152,,,Wood DE; Liu YH; Valli Ères E; Karmy-Jones R; Mulligan MS
150,"Burns KE, Orons PD, Dauber JH, Grgurich WF, Stitt LW, Raghu S. Endobronchial metallic stent placement for airway complications after lung transplantation: longitudinal results. Ann Thorac Surg. 2002;74:153.",Endobronchial metallic stent placement for airway complications after lung transplantation: longitudinal results,Ann Thorac Surg,2002,74,,153,,,Burns KE; Orons PD; Dauber JH; Grgurich WF; Stitt LW; Raghu S
151,"Chhajed PN, Malouf MA, Tamm M, Glanville AR. Ultraflex stents for the management of airway complications in lung transplant recipients. Respirology. 2003;8:154.",Ultraflex stents for the management of airway complications in lung transplant recipients,Respirology,2003,8,,154,,,Chhajed PN; Malouf MA; Tamm M; Glanville AR
