#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, The WHO family of international classifications. The WHO family of international classifications. 2006;None.,The WHO family of international classifications,The WHO family of international classifications,2006,,,,,,
98,"Miyazu Y, Miyazawa T, Kurimoto N. Endobronchial ultrasonography in the diagnosis and treatment of relapsing polychondritis with tracheobronchial malacia. Chest. 2003;124.",Endobronchial ultrasonography in the diagnosis and treatment of relapsing polychondritis with tracheobronchial malacia,Chest,2003,124,,,,,Miyazu Y; Miyazawa T; Kurimoto N
99,"Murgu S, Kurimoto N, Colt H. Endobronchial ultrasound morphology of expiratory central airway collapse. Respirology. 2008;13:100.",Endobronchial ultrasound morphology of expiratory central airway collapse,Respirology,2008,13,,100,,,Murgu S; Kurimoto N; Colt H
100,"Turato G, Zuin R, Saetta M. Pathogenesis and pathology of COPD. Respiration. 2001;68:101.",Pathogenesis and pathology of COPD,Respiration,2001,68,,101,,,Turato G; Zuin R; Saetta M
101,"Becker HD, Slawik M, Miyazawa T. Vibration response imaging as a new tool for interventionalbronchoscopy outcome assessment: a prospective pilot study. Respiration. 2009;77:102.",Vibration response imaging as a new tool for interventionalbronchoscopy outcome assessment: a prospective pilot study,Respiration,2009,77,,102,,,Becker HD; Slawik M; Miyazawa T
102,"Carden KA, Boiselle PM, Waltz DA. Tracheomalacia and tracheobronchomalacia in children and adults: an in-depth review. Chest. 2005;127:103.",Tracheomalacia and tracheobronchomalacia in children and adults: an in-depth review,Chest,2005,127,,103,,,Carden KA; Boiselle PM; Waltz DA
103,"Bouhuys A, Van De Woestijne KP. Mechanical consequences of airway smooth muscle relaxation. J Appl Physiol. 1971;30:104.",Mechanical consequences of airway smooth muscle relaxation,J Appl Physiol,1971,30,,104,,,Bouhuys A; Van De Woestijne KP
104,"Prendiville A, Green S, Silverman M. Paradoxical response to nebulized salbutamol in wheezy infants, assessed by partial expiratory flow-volume curves. Thorax. 1987;42:105.","Paradoxical response to nebulized salbutamol in wheezy infants, assessed by partial expiratory flow-volume curves",Thorax,1987,42,,105,,,Prendiville A; Green S; Silverman M
105,"Panitch HB, Keklikian EN, Motley RA. Effect of altering smooth muscle tone on maximal expiratory flows in patients with tracheomalacia. Pediatr Pulmonol. 1990;9:106.",Effect of altering smooth muscle tone on maximal expiratory flows in patients with tracheomalacia,Pediatr Pulmonol,1990,9,,106,,,Panitch HB; Keklikian EN; Motley RA
106,"Mcadam LP, 'hanlan O, Bluestone MA, R. Relapsing polychondritis: prospective study of 23 patients and a review of the literature. Medicine. 1976;55:107.",Relapsing polychondritis: prospective study of 23 patients and a review of the literature,Medicine,1976,55,,107,,,Mcadam LP; 'hanlan O; Bluestone MA; R
107,"Wiseman NE, Duncan PG, Cameron CB. Management of tracheobronchomalacia with continuous positive airway pressure. J Pediatr Surg. 1985;20:108.",Management of tracheobronchomalacia with continuous positive airway pressure,J Pediatr Surg,1985,20,,108,,,Wiseman NE; Duncan PG; Cameron CB
108,"Davis S, Jones M, Kisling J. Effect of continuous positive airway pressure on forced expiratory flows in infants with tracheomalacia. Am J Respir Crit Care Med. 1993;158:110.",Effect of continuous positive airway pressure on forced expiratory flows in infants with tracheomalacia,Am J Respir Crit Care Med,1993,158,,110,,,Davis S; Jones M; Kisling J
109,"Adliff M, Ngato D, Keshavjee S. Treatment of diffuse tracheomalacia secondary to relapsing polychondritis with continuous positive airway pressure. Chest. 1997;112:111.",Treatment of diffuse tracheomalacia secondary to relapsing polychondritis with continuous positive airway pressure,Chest,1997,112,,111,,,Adliff M; Ngato D; Keshavjee S
110,"Chi SY, Wu SC, Hsieh KC. Noninvasive positive pressure ventilation in the management of post-thyroidectomy tracheomalacia. World J Surg. 2011;35:112.",Noninvasive positive pressure ventilation in the management of post-thyroidectomy tracheomalacia,World J Surg,2011,35,,112,,,Chi SY; Wu SC; Hsieh KC
111,"Sirithangkul S, Ranganathan S, Robinson PJ. Positive expiratory pressure to enhance cough effectiveness in tracheomalacia. J Med Assoc Thai. 2010;93(Suppl 6):113.",Positive expiratory pressure to enhance cough effectiveness in tracheomalacia,J Med Assoc Thai,2010,93,Suppl 6,113,,,Sirithangkul S; Ranganathan S; Robinson PJ
112,"Palange P, Valli G, Onorati P. Effect of heliox on lung dynamic hyperinflation, dyspnea, and exercise endurance capacity in COPD patients. Ann Thorac Surg. 2004;97:115.","Effect of heliox on lung dynamic hyperinflation, dyspnea, and exercise endurance capacity in COPD patients",Ann Thorac Surg,2004,97,,115,,,Palange P; Valli G; Onorati P
113,"Odell DD, Shah A, Gangadharan SP. Airway stenting and tracheobronchoplasty improve respiratory symptoms in Mounier-Kuhn syndrome. Chest. 2011;140:116.",Airway stenting and tracheobronchoplasty improve respiratory symptoms in Mounier-Kuhn syndrome,Chest,2011,140,,116,,,Odell DD; Shah A; Gangadharan SP
114,"Sarodia BD, Dasgupta A, Mehta AC. Management of airway manifestations of relapsing polychondritis: case reports and review of literature. Chest. 1999;116:117.",Management of airway manifestations of relapsing polychondritis: case reports and review of literature,Chest,1999,116,,117,,,Sarodia BD; Dasgupta A; Mehta AC
115,"Dunne JA, Sabanathan S. Use of metallic stents in relapsing polychondritis. Chest. 1994;105:118.",Use of metallic stents in relapsing polychondritis,Chest,1994,105,,118,,,Dunne JA; Sabanathan S
116,"Ernst A, Rafeq S, Boiselle P. Relapsing polychondritis and airway involvement. Chest. 2009;135:119.",Relapsing polychondritis and airway involvement,Chest,2009,135,,119,,,Ernst A; Rafeq S; Boiselle P
117,"Bolot G, Poupart M, Pignat JC. Self-expanding metal stents for the management of bronchial stenosis and bronchomalacia after lung transplantation. notification: complications from metallic tracheal stents in patients with benign airway disorders. 1998;108:122.",Self-expanding metal stents for the management of bronchial stenosis and bronchomalacia after lung transplantation,notification: complications from metallic tracheal stents in patients with benign airway disorders,1998,108,,122,,,Bolot G; Poupart M; Pignat JC
118,"Lehman JD, Gordon RL, Rk K. Expandable metallic stents in benign tracheobronchial obstruction. J Thorac Imaging. 1998;13:123.",Expandable metallic stents in benign tracheobronchial obstruction,J Thorac Imaging,1998,13,,123,,,Lehman JD; Gordon RL; Rk K
119,"Dutau H, Maldonado F, Breen DP. Endoscopic successful management of tracheobronchomalacia with laser: apropos of a Mounier-Kuhn syndrome. Eur J Cardiothorac Surg. 2011;39:124.",Endoscopic successful management of tracheobronchomalacia with laser: apropos of a Mounier-Kuhn syndrome,Eur J Cardiothorac Surg,2011,39,,124,,,Dutau H; Maldonado F; Breen DP
120,"Dumon MC, Cavaliere S, Vergnon J, Ellis P, Grillo HC. Laser palatoplasty for snoring due to palatal flutter: a further report. Clin Otolaryngol Allied Sci. 1979;16:127.",Laser palatoplasty for snoring due to palatal flutter: a further report,Clin Otolaryngol Allied Sci,1979,16,,127,,,Dumon MC; Cavaliere S; Vergnon J; Ellis P; Grillo HC
121,"Wright CD, Grillo HC, Hammoud ZT. Tracheoplasty for expiratory collapse of central airways. Ann Thorac Surg. 2005;80:128.",Tracheoplasty for expiratory collapse of central airways,Ann Thorac Surg,2005,80,,128,,,Wright CD; Grillo HC; Hammoud ZT
122,"Gangadharan SP, Bakhos CT, Majid A. Technical aspects and outcomes of tracheobronchoplasty for severe tracheobronchomalacia. Ann Thorac Surg. 2011;91.",Technical aspects and outcomes of tracheobronchoplasty for severe tracheobronchomalacia,Ann Thorac Surg,2011,91,,,,,Gangadharan SP; Bakhos CT; Majid A
123,"Tse DG, Han SM, Charuworn B. Video-assisted thoracoscopic surgical tracheobronchoplasty for tracheobronchomalacia. J Thorac Cardiovasc Surg. 2001;142:131.",Video-assisted thoracoscopic surgical tracheobronchoplasty for tracheobronchomalacia,J Thorac Cardiovasc Surg,2001,142,,131,,,Tse DG; Han SM; Charuworn B
124,"Mair EA, Parsons DS. Pediatric tracheobronchomalacia and major airway collapse. Ann Otol Rhinol Laryngol. 1992;101.",Pediatric tracheobronchomalacia and major airway collapse,Ann Otol Rhinol Laryngol,1992,101,,,,,Mair EA; Parsons DS
