file,status,match_method,match_confidence,changed_fields,doi_json,doi_zotero,doi_conflict,pdf_basename,title_norm,error
out/batch_processed/Database to Inform Revisions.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1016/j.jtho.2023.01.088,,Asamura et al. - 2023 - IASLC Lung Cancer Staging Project The New Database to Inform Revisions in the Ninth Edition of the.pdf,,
out/batch_processed/Davies-2012-Effect of an indwelling pleural ca.json,unmatched,,,,,,,,effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion,
out/batch_processed/Deslee-2014-Lung volume reduction coil treatme.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1136/thoraxjnl-2014-205221,,Deslee et al. - 2014 - Lung volume reduction coil treatment for patients with severe emphysema a European multicentre tria.pdf,,
out/batch_processed/Developing an IP Service in a Community Practice.json,changed,title_exact,1.0,year_norm;doi;journal;volume;issue;pages;issn;url,,10.1016/j.chest.2015.12.025,,French et al. - 2016 - Developing an Interventional Pulmonary Service in a Community-Based Private Practice.pdf,,
out/batch_processed/Development of a Tool to Assess Basic Competen.json,changed,title_exact,1.0,year_norm;doi;journal;volume;issue;pages;issn;url,,10.1513/annalsats.201509-593oc,,Mahmood et al. - 2016 - Development of a Tool to Assess Basic Competency in the Performance of Rigid Bronchoscopy.pdf,,
out/batch_processed/Dexmedetomidine-fentanyl versus propofol-fentanyl.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.3892/etm.2016.3274,,Yuan et al. - 2016 - Dexmedetomidine-fentanyl versus propofol-fentanyl in flexible bronchoscopy A randomized study.pdf,,
out/batch_processed/Diagnostic Yield and Bleeding Complications.json,changed,title_exact,1.0,year_norm;doi;journal;abstract;volume;issue;pages;issn;url,,10.1097/lbr.0000000000000639,,Gao et al. - 2020 - Diagnostic Yield and Bleeding Complications Associated With Bronchoscopic Biopsy of Endobronchial Ca.pdf,,
out/batch_processed/Diagnostic accuracy of transbronchial lung cry.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1016/s2213-2600(19)30342-x,,Troy et al. - 2020 - Diagnostic accuracy of transbronchial lung cryobiopsy for interstitial lung disease diagnosis (COLDI.pdf,,
out/batch_processed/Diagnostic flexible bronchoscopy and accessory techniques.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1016/j.rppneu.2012.01.003,,Dionísio - 2012 - Diagnostic flexible bronchoscopy and accessory techniques.pdf,,
out/batch_processed/Diagnostic value of EBUS elastography for the differentiation.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1111/resp.12979,,Korrungruang and Boonsarngsuk - 2017 - Diagnostic value of endobronchial ultrasound elastography for the differentiation of benign and mali.pdf,,
out/batch_processed/Diagnostic yield and safety of navigation bronchoscopy.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;pages;issn;url,,10.1016/j.lungcan.2023.107196,,Kops et al. - 2023 - Diagnostic yield and safety of navigation bronchoscopy A systematic review and meta-analysis.pdf,,
out/batch_processed/Differentiating malignant and benign nodes with elastography.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1016/j.jfma.2018.06.021,,Lin et al. - 2019 - Differentiating malignant and benign lymph nodes using endobronchial ultrasound elastography.pdf,,
out/batch_processed/Documentation Tips for Pulmonary.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1378/chest.09-1283,,Koshy - 2012 - Documentation Tips for Pulmonary Medicine.pdf,,
out/batch_processed/Dransfield-2020-Effect of Zephyr Endobronchial.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1513/annalsats.201909-666oc,,"Dransfield et al. - 2020 - Effect of Zephyr Endobronchial Valves on Dyspnea, Activity Levels, and Quality of Life at One Year..pdf",,
out/batch_processed/Dresler-2005-Phase III intergroup study of tal.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1378/chest.127.3.909,,Dresler et al. - 2005 - Phase III Intergroup Study of Talc Poudrage vs Talc Slurry Sclerosis for Malignant Pleural Effusion.pdf,,
out/batch_processed/EBUS  vs conventional TBNA  in the diagnosis of sarcoidosis.json,changed,title_exact,1.0,year_norm;doi;journal;abstract;volume;issue;pages;issn;url,,10.1378/chest.13-2339,,Gupta et al. - 2014 - Endobronchial Ultrasound-Guided Transbronchial Needle Aspiration vs Conventional Transbronchial Need.pdf,,
out/batch_processed/EBUS for the Diagnosis and Subtyping of Lymphoma.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1513/annalsats.201503-165oc,,Grosu et al. - 2015 - Endobronchial Ultrasound–Guided Transbronchial Needle Aspiration for the Diagnosis and Subtyping of.pdf,,
out/batch_processed/EBUS-TBNA and EUS-FNA Risk Assessment for Clopidogrel.json,changed,author_year,0.9,title;year_norm;doi;journal;abstract;volume;issue;pages;issn;url,,10.1097/lbr.0000000000000312,,Meena et al. - 2016 - EBUS-TBNA and EUS-FNA Risk Assessment for Patients Receiving Clopidogrel.pdf,,
"out/batch_processed/ENB for PPNs One-Year Results of the Prospective, Multicenter NAVIGATE Study.json",changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1016/j.jtho.2018.11.013,,Folch et al. - 2019 - Electromagnetic Navigation Bronchoscopy for Peripheral Pulmonary Lesions One-Year Results of the Pr.pdf,,
out/batch_processed/ENB-directed dye marking for locating pulmonary nodules.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1136/postgradmedj-2019-137083,,Wang et al. - 2020 - Electromagnetic navigational bronchoscopy-directed dye marking for locating pulmonary nodules.pdf,,
out/batch_processed/ERSATS statement on IP.json,unmatched,,,,,,,,ers ats statement on interventional pulmonology,
out/batch_processed/Eberhardt-2021-Endobronchial Valve (Zephyr) Tr.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1159/000517034,,Eberhardt et al. - 2021 - Endobronchial Valve (Zephyr) Treatment in Homogeneous Emphysema One-Year Results from the IMPACT Ra.pdf,,
out/batch_processed/Effectiveness of Elastography.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.7150/jca.19819,,Huang et al. - 2017 - Effectiveness of the Benign and Malignant Diagnosis of Mediastinal and Hilar Lymph Nodes by Endobron.pdf,,
out/batch_processed/Efficacy and Safety of Airway Stent in TEF.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1159/000544124,,Li et al. - 2025 - Efficacy and Safety of Airway Stent Placement in the Treatment of Airway Esophageal Fistula.pdf,,
out/batch_processed/Efficacy and safety of cone-beam computed tomography-guided bronchoscopy.json,changed,title_exact,1.0,year_norm;doi;journal;abstract;volume;issue;pages;issn;url,,10.21037/jtd-24-1224,,Li et al. - 2025 - Efficacy and safety of cone-beam computed tomography-guided bronchoscopy for peripheral pulmonary le.pdf,,
out/batch_processed/Efficacy ofWhole-LungLavageinPulmonaryAlveolar.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1159/000455179,,Gay et al. - 2017 - Efficacy of Whole-Lung Lavage in Pulmonary Alveolar Proteinosis A Multicenter International Study o.pdf,,
out/batch_processed/Electromagnetic navigation bronchoscopy a comprehensive review.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;pages;issn;url,,10.21037/amj.2018.11.04,,Pickering et al. - 2018 - Electromagnetic navigation bronchoscopy a comprehensive review.pdf,,
out/batch_processed/Electromagnetic navigation bronchoscopy to access lung lesions in.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1186/s12890-017-0403-9,,"for the NAVIGATE Study Investigators et al. - 2017 - Electromagnetic navigation bronchoscopy to access lung lesions in 1,000 subjects first results of t.pdf",,
out/batch_processed/Endobronchial Valves for Emphysema without Int.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1056/nejmoa1507807,,Klooster et al. - 2015 - Endobronchial Valves for Emphysema without Interlobar Collateral Ventilation.pdf,,
out/batch_processed/Endobronchial epinephrine confusion is in the air.json,changed,override:doi,1.0,title;year_norm;authors;journal;volume;issue;pages;issn;url,,10.1164/rccm.201209-1682le,,Khoo et al. - 2013 - Endobronchial Epinephrine Confusion Is in the Air.pdf,,
out/batch_processed/Endobronchial tumor debulking with a flexible.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1016/j.jtcvs.2009.06.023,,Schumann et al. - 2010 - Endobronchial tumor debulking with a flexible cryoprobe for immediate treatment of malignant stenosi.pdf,,
out/batch_processed/Endosonography for mediastinal disease EUS vs EBUS.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1055/s-0034-1392092,,Meena and Bartter - 2015 - Endosonography for mediastinal disease esophageal ultrasound vs. endobronchial ultrasound.pdf,,
out/batch_processed/Equipment and procedural setup for IP.json,changed,title_exact,1.0,year_norm;doi;journal;abstract;volume;issue;pages;issn;url,,10.21037/jtd-20-3595,,Ray et al. - 2021 - Equipment and procedural setup for interventional pulmonology procedures in the intensive care unit.pdf,,
out/batch_processed/Eur Respir Rev-2020-DeMaio-200028.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1183/16000617.0028-2020,,DeMaio and Sterman - 2020 - Bronchoscopic intratumoural therapies for non-small cell lung cancer.pdf,,
out/batch_processed/Evaluating the Patient With a Pulmonary Nodule_A Review.json,changed,title_fuzzy,0.8571,title;year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1001/jama.2021.24287,,Mazzone and Lam - 2022 - Evaluating the Patient With a Pulmonary Nodule A Review.pdf,,
out/batch_processed/Evaluation of Safety and Short-term.json,changed,title_exact,1.0,year_norm;doi;journal;volume;issue;pages;issn;url,,10.1159/000504679,,Murgu et al. - 2020 - Evaluation of Safety and Short-term Outcomes of Therapeutic Rigid Bronchoscopy Using Total Intraveno.pdf,,
out/batch_processed/Evaluation of a EBUS  forceps in enlarged mediastinal lymph nodes.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1159/000350867,,Darwiche et al. - 2013 - Evaluation of a Novel Endobronchial Ultrasound-Guided Lymph Node Forceps in Enlarged Mediastinal Lym.pdf,,
out/batch_processed/Evaluation of individuals with pulmonary nodules when is it lung cancer.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1378/chest.12-2351,,Gould et al. - 2013 - Evaluation of Individuals With Pulmonary Nodules When Is It Lung Cancer.pdf,,
out/batch_processed/External irradiation versus external irradiati.json,changed,title_exact,1.0,authors,,,,Langendijk et al. - External irradiation versus external irradiation plus endobronchial brachytherapy in inoperable non-.pdf,,
out/batch_processed/Fiducial marker placement with ENB.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;pages;issn;url,,10.1177/1753466619841234,,Bowling et al. - 2019 - Fiducial marker placement with electromagnetic navigation bronchoscopy a subgroup analysis of the p.pdf,,
out/batch_processed/Financial Justification for IP Programs.json,changed,title_exact,1.0,year_norm;doi;journal;volume;issue;pages;issn;url,,10.1016/j.chest.2020.02.026,,Mahajan et al. - 2020 - Financial Justification for Interventional Pulmonology Programs.pdf,,
out/batch_processed/First Human Use of a New Robotic-Assisted Fiber Optic Sensing Navigation System for Small Peripheral Pulmonary Nodules.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1159/000498951,,Fielding et al. - 2019 - First Human Use of a New Robotic-Assisted Fiber Optic Sensing Navigation System for Small Peripheral.pdf,,
out/batch_processed/Flexible Bronchoscope Use by Pulmonologists.json,unmatched,,,,,,,,flexible bronchoscope use by pulmonologists in collaboration with gastroenterologists for placement of percutaneous endoscopic gastrostomy via transnasal route in patients with head and neck cancer,
out/batch_processed/Flexible bronchoscopy.json,changed,title_exact,1.0,year_norm;doi;journal;volume;issue;pages;issn;url,,10.1016/j.ccm.2017.09.002,,Miller et al. - 2018 - Flexible Bronchoscopy.pdf,,
out/batch_processed/Forbearance With Bronchoscopy.json,changed,title_exact,1.0,year_norm;doi;journal;volume;issue;pages;issn;url,,10.1016/j.chest.2018.08.1035,,Deshwal et al. - 2019 - Forbearance With Bronchoscopy.pdf,,
out/batch_processed/Foreign body aspiration.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.21037/jtd.2020.03.94,,Bajaj et al. - 2021 - Foreign body aspiration.pdf,,
out/batch_processed/Foreign body inhalation in the adult population.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.4187/respcare.03976,,"Sehgal et al. - 2015 - Foreign Body Inhalation in the Adult Population Experience of 25,998 Bronchoscopies and Systematic.pdf",,
out/batch_processed/Garner-2020-A prospective safety and feasibili.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1183/13993003.00556-2020,,Garner et al. - 2020 - A prospective safety and feasibility study of metered cryospray for patients with chronic bronchitis.pdf,,
out/batch_processed/Ghattas-2021-State of the art_ percutaneous tr.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.21037/jtd-19-4121,,Ghattas et al. - 2021 - State of the art percutaneous tracheostomy in the intensive care unit.pdf,,
out/batch_processed/Gomes-2015-Percutaneous endoscopic gastrostomy.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;issn;url,,10.1002/14651858.cd008096.pub4,,Gomes Jr et al. - 2015 - Percutaneous endoscopic gastrostomy versus nasogastric tube feeding for adults with swallowing distu.pdf,,
out/batch_processed/Grosu-2013-Stents are associated with increase.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1378/chest.12-1721,,Grosu et al. - 2013 - Stents Are Associated With Increased Risk of Respiratory Infections in Patients Undergoing Airway In.pdf,,
out/batch_processed/Grosu-2018-Sensitivity of Initial Thoracentesi.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1159/000490732,,Grosu et al. - 2018 - Sensitivity of Initial Thoracentesis for Malignant Pleural Effusion Stratified by Tumor Type in Pati.pdf,,
out/batch_processed/Grosu-2019-Secondary spontaneous pneumothorax.json,changed,title_exact,1.0,year_norm;doi;journal;abstract;volume;issue;pages;issn;url,,10.21037/jtd.2019.03.35,,Grosu et al. - 2019 - Secondary spontaneous pneumothorax in cancer patients.pdf,,
out/batch_processed/Hartman-2021-New bronchoscopic treatment modal.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1183/16000617.0281-2020,,Hartman et al. - 2021 - New bronchoscopic treatment modalities for patients with chronic bronchitis.pdf,,
out/batch_processed/Havelock-2010-Pleural procedures and thoracic.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1136/thx.2010.137026,,Havelock et al. - 2010 - Pleural procedures and thoracic ultrasound British Thoracic Society pleural disease guideline 2010.pdf,,
out/batch_processed/Herth-2019-Endoscopic Lung Volume Reduction_ A.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1159/000496122,,Herth et al. - 2019 - Endoscopic Lung Volume Reduction An Expert Panel Recommendation – Update 2019.pdf,,
out/batch_processed/High-dose-rate endobronchial brachytherapy eff.json,changed,title_fuzzy,0.8636,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1016/s0360-3016(00)00693-3,,Kelly et al. - 2000 - High-dose-rate endobronchial brachytherapy effectively palliates symptoms due to airway tumors The.pdf,,
out/batch_processed/Hillerdal-2014-One- to four-year follow-up of.json,changed,title_exact,1.0,year_norm;doi;journal;abstract;volume;issue;pages;issn;url,,10.1159/000365662,,Hillerdal and Mindus - 2014 - One- to Four-Year Follow-Up of Endobronchial Lung Volume Reduction in Alpha-1-Antitrypsin Deficiency.pdf,,
out/batch_processed/Holden-2020-Safety and Efficacy of the Tracheo.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1159/000506815,,Holden et al. - 2020 - Safety and Efficacy of the Tracheobronchial Bonastent A Single-Center Case Series.pdf,,
out/batch_processed/Hooper-2010-Investigation of a unilateral pleu.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1136/thx.2010.136978,,Hooper et al. - 2010 - Investigation of a unilateral pleural effusion in adults British Thoracic Society pleural disease g.pdf,,
out/batch_processed/Hu-2018-Application of the Montgomery T-tube i.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.21037/jtd.2018.05.140,,Hu et al. - 2018 - Application of the Montgomery T-tube in subglottic tracheal benign stenosis.pdf,,
"out/batch_processed/Hu-2020-Pleural manometry_ techniques, applica.json",changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.21037/jtd.2020.04.04,,"Hu et al. - 2020 - Pleural manometry techniques, applications, and pitfalls.pdf",,
out/batch_processed/IASLC Proposals for Revision of TNM.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1016/j.jtho.2024.02.011,,Rami-Porta et al. - 2024 - The International Association for the Study of Lung Cancer Lung Cancer Staging Project Proposals fo.pdf,,
out/batch_processed/IP Fellowship Accreditation Standards.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1016/j.chest.2017.01.024,,Mullon et al. - 2017 - Interventional Pulmonology Fellowship Accreditation Standards.pdf,,
out/batch_processed/IP extending breath of care.json,changed,override:doi,1.0,authors;issue;issn;url,,10.1146/annurev-med-050922-060929,,Gesthalter and Channick - 2024 - Interventional Pulmonology Extending the Breadth of Thoracic Care.pdf,,
out/batch_processed/IPC review.json,changed,title_exact,1.0,year_norm;doi;journal;volume;issue;pages;issn;url,,10.1016/j.ccm.2021.08.009,,Schwalk and Ost - 2021 - Indwelling Pleural Catheters.pdf,,
out/batch_processed/IPCplus.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1056/nejmoa1716883,,Bhatnagar et al. - 2018 - Outpatient Talc Administration by Indwelling Pleural Catheter for Malignant Effusion.pdf,,
out/batch_processed/Iatrogenic bleeding during flexible bronchoscopy.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1183/23120541.00084-2016,,"Bernasconi et al. - 2017 - Iatrogenic bleeding during flexible bronchoscopy risk factors, prophylactic measures and management.pdf",,
out/batch_processed/Imaging in peripheral bronchoscopy.json,changed,title_exact,1.0,year_norm;doi;journal;abstract;volume;issue;pages;issn;url,,10.1097/mcp.0000000000001028,,Shaller et al. - 2024 - Imaging in peripheral bronchoscopy.pdf,,
out/batch_processed/Impact of Pulmonary and Critical Care Fellow Participation during Advanced Diagnostic Bronchoscopy.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.34197/ats-scholar.2024-0067oc,,Chrissian et al. - 2025 - Impact of Pulmonary and Critical Care Fellow Participation during Advanced Diagnostic Bronchoscopy.pdf,,
out/batch_processed/Impact of a Dedicated Pleural Clinic on Indwelling Pleural Catheter Related Outcomes_A Retrospective Single Center Experience.json,unmatched,,,,,,,,impact of a dedicated pleural clinic on indwelling pleural catheter related outcomes,
out/batch_processed/Impact of the Ninth International Association for the Study of Lung Cancer TNM Classification on Endobronchial Ultrasound for Lung Cancer Staging.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1016/j.jtho.2024.07.010,,Faria et al. - 2024 - Impact of the Ninth International Association for the Study of Lung Cancer TNM Classification on End.pdf,,
out/batch_processed/Improved diagnostic yield  with digital tomosynthesis ENB.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1111/resp.13609,,Aboudara et al. - 2020 - Improved diagnostic yield for lung nodules with digital tomosynthesis‐corrected navigational broncho.pdf,,
out/batch_processed/Improving diagnostic yield of navigational bronchoscopy .json,changed,title_exact,1.0,year_norm;doi;journal;abstract;volume;issue;pages;issn;url,,10.21037/jtd-2020-abpd-003,,Wagh et al. - 2020 - Improving diagnostic yield of navigational bronchoscopy for peripheral pulmonary lesions a review o.pdf,,
out/batch_processed/Indications and complications of rigid broncho.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1080/17476348.2018.1473037,,Batra and Yarmus - 2018 - Indications and complications of rigid bronchoscopy.pdf,,
out/batch_processed/Indocyanine Green-Soaked Fiducial Markers.json,changed,title_exact,1.0,year_norm;doi;journal;volume;issue;pages;issn;url,,10.1016/j.chpulm.2024.100131,,Benn et al. - 2025 - Spot On.pdf,,
out/batch_processed/Indwelling Pleural Catheter versus Pleurodesis.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1513/annalsats.201807-495oc,,Iyer et al. - 2019 - Indwelling Pleural Catheter versus Pleurodesis for Malignant Pleural Effusions. A Systematic Review.pdf,,
out/batch_processed/Inhaled GM-CSF for Pulmonary Alveolar Proteino.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1056/nejmoa1816216,,Tazawa et al. - 2019 - Inhaled GM-CSF for Pulmonary Alveolar Proteinosis.pdf,,
out/batch_processed/Inhaled TXA for Hemoptysis Treatment.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1016/j.chest.2018.09.026,,Wand et al. - 2018 - Inhaled Tranexamic Acid for Hemoptysis Treatment.pdf,,
out/batch_processed/Interventional Bronchoscopy.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1164/rccm.201907-1292so,,Criner et al. - 2020 - Interventional Bronchoscopy.pdf,,
out/batch_processed/Interventional pulmonology in the intensive ca.json,changed,title_exact,1.0,year_norm;doi;journal;abstract;volume;issue;pages;issn;url,,10.1055/s-0034-1395504,,Belanger and Akulian - 2014 - Interventional Pulmonology in the Intensive Care Unit Percutaneous Tracheostomy and Gastrostomy.pdf,,
out/batch_processed/Intrapleural Fibrinolytic Therapy versus Early.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1513/annalsats.202001-076oc,,Kheir et al. - 2020 - Intrapleural Fibrinolytic Therapy versus Early Medical Thoracoscopy for Treatment of Pleural Infecti.pdf,,
out/batch_processed/Intrapleural use of tissue plasminogen activat.json,changed,title_exact,1.0,year_norm;authors;journal;abstract,,,,Rahman et al. - 2011 - Intrapleural Use of Tissue Plasminogen Activator and DNase in Pleural Infection.pdf,,
out/batch_processed/Jayadevappa-2019-Outcomes of patients with adv.json,changed,title_exact,1.0,year_norm;doi;journal;abstract;volume;issue;pages;issn;url,,10.21037/jtd.2019.04.60,,Jayadevappa et al. - 2019 - Outcomes of patients with advanced non-small cell lung cancer and airway obstruction treated with ph.pdf,,
out/batch_processed/Jet Ventilation during Rigid Bronchoscopy in Adults.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;pages;issn;url,,10.1155/2016/4234861,,Putz et al. - 2016 - Jet Ventilation during Rigid Bronchoscopy in Adults A Focused Review.pdf,,
out/batch_processed/Karakoca-2018-Follow-up outcomes of chronic ob.json,changed,author_year,0.9,title;year_norm;doi;journal;volume;issue;pages;issn;url,,10.1097/md.0000000000013400,,Karakoca et al. - 2018 - Follow-up outcomes of chronic obstructive pulmonary disease patients who underwent dilatation and cu.pdf,,
out/batch_processed/Kashiwabara-2021-Efficacy and safety of transb.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1007/s00432-021-03560-3,,Kashiwabara et al. - 2021 - Efficacy and safety of transbronchial microwave ablation therapy under moderate sedation in malignan.pdf,,
out/batch_processed/Kemp-2017-A Multicenter Randomized Controlled.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1164/rccm.201707-1327oc,,Kemp et al. - 2017 - A Multicenter Randomized Controlled Trial of Zephyr Endobronchial Valve Treatment in Heterogeneous E.pdf,,
out/batch_processed/Kimura-2015-Photodynamic Therapy (PDT) with Ch.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.3390/ijms161025466,,Kimura et al. - 2015 - Photodynamic Therapy (PDT) with Chemotherapy for Advanced Lung Cancer with Airway Stenosis.pdf,,
out/batch_processed/Klooster-2017-One-Year Follow-Up after Endobro.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1159/000453529,,Klooster et al. - 2017 - One-Year Follow-Up after Endobronchial Valve Treatment in Patients with Emphysema without Collateral.pdf,,
out/batch_processed/Koizumi-2015-Bronchoscopy-Guided Cooled Radiof.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1159/000430825,,Koizumi et al. - 2015 - Bronchoscopy-Guided Cooled Radiofrequency Ablation as a Novel Intervention Therapy for Peripheral Lu.pdf,,
out/batch_processed/Koshy-2021-Safety of delivering bronchial ther.json,changed,title_exact,1.0,year_norm;doi;journal;volume;issue;pages;issn;url,,10.1186/s12931-021-01901-x,,Koshy et al. - 2021 - Safety of delivering bronchial thermoplasty in two treatment sessions.pdf,,
out/batch_processed/Labarca-2019-Bronchoscopic Lung Volume Reducti.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1159/000499508,,Labarca et al. - 2019 - Bronchoscopic Lung Volume Reduction with Endobronchial Zephyr Valves for Severe Emphysema A Systema.pdf,,
out/batch_processed/Lamb-2020-Use of Tracheostomy During the COVID.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1016/j.chest.2020.05.571,,Lamb et al. - 2020 - Use of Tracheostomy During the COVID-19 Pandemic.pdf,,
out/batch_processed/Li-2019-The REACH Trial_ A Randomized Controll.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1159/000494327,,Li et al. - 2019 - The REACH Trial A Randomized Controlled Trial Assessing the Safety and Effectiveness of the Spirati.pdf,,
out/batch_processed/Lipp-2013-Systemic antimicrobial prophylaxis f.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;issn;url,,10.1002/14651858.cd005571.pub3,,Lipp and Lusardi - 2013 - Systemic antimicrobial prophylaxis for percutaneous endoscopic gastrostomy.pdf,,
out/batch_processed/Ljungdahl-2006-Complication rate lower after p.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1007/s00464-005-0757-6,,Ljungdahl and Sundbom - 2006 - Complication rate lower after percutaneous endoscopic gastrostomy than after surgical gastrostomy a.pdf,,
out/batch_processed/Local anaesthetic thoracoscopy .json,unmatched,,,,,,,,local anaesthetic thoracoscopy practice in the united kingdom in 2024 a snapshot survey,
out/batch_processed/Local determinants of response to endobronchia.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1378/chest.112.4.946,,Ofiara et al. - 1997 - Local Determinants of Response to Endobronchial High-Dose Rate Brachytherapy in Bronchogenic Carcino.pdf,,
