file,status,changed_fields,error
out/hardened/cancers-15-01068.json,skip_complete,,
out/hardened/chest tube pandora box.json,skip_complete,,
out/hardened/chest tube practical.json,skip_complete,,
out/hardened/complications_of_bronchoscopy__a_concise_synopsis.json,skip_complete,,
out/hardened/cone_beam_ct_with_augmented_fluoroscopy_combined.json,skip_complete,,
out/hardened/editorial Nth edition.json,skip_complete,,
out/hardened/endoscopic_treatment_of_bronchial_carcinoids_i.json,dry-run,doi;issn;journal;pages;url,
out/hardened/fistula Abu-Hijleh-2019-Intrabronchial Valves for Air.json,skip_complete,,
out/hardened/fistula Airway Covered Metallic Stent Based on Differe.json,skip_complete,,
out/hardened/fistula Airway ultraflex stenting in esophageal cancer.json,unchanged,,
out/hardened/fistula Bronstein-2019-Management of air leaks post-su.json,skip_complete,,
out/hardened/fistula Debourdeau-2019-Endoscopic treatment of nonmal.json,skip_complete,,
out/hardened/fistula Fernandez-2016-Pleural gas analysis for the id.json,skip_complete,,
out/hardened/fistula Fiorelli-2018-Unidirectional endobronchial val.json,skip_complete,,
out/hardened/fistula Grewal-2019-Treatment of Tracheobronchial Inju.json,skip_complete,,
out/hardened/fistula Han-2018-Customized airway stenting for bronch.json,skip_complete,,
out/hardened/fistula Herth-2010-Combined airway and oesophageal ste.json,skip_complete,,
out/hardened/fistula Ke-2015-The treatment strategy for tracheoesop.json,unchanged,,
out/hardened/fistula Kim-2020-Management of tracheo-oesophageal fis.json,skip_complete,,
out/hardened/fistula Lazarus-2017-Persistent air leaks_ a review wi.json,skip_complete,,
out/hardened/fistula Li-2016-Neoadjuvant therapy and risk of bronch.json,skip_complete,,
out/hardened/fistula Okuda-2017-Risk factor of bronchopleural fistu.json,skip_complete,,
out/hardened/fistula Schweigert-2019-[Interventional treatment of t.json,skip_complete,,
out/hardened/fistula Silon-2017-Endoscopic Management of Esophagore.json,skip_complete,,
out/hardened/fistula Youness-2018-Bronchoscopic advances in the man.json,skip_complete,,
out/hardened/gonzalez-et-al-2024-assessment-of-advanced-diagnostic-bronchoscopy-outcomes-for-peripheral-lung-lesions-a-delphi (1).json,skip_complete,,
out/hardened/green-et-al-2021-overview-of-interventional-pulmonology-for-radiologists.json,skip_complete,,
out/hardened/incidence_and_outcomes_of_revision_bronchoscopies.11.json,skip_complete,,
out/hardened/klug-et-al-2024-proposed-ninth-edition-tnm-staging-system-for-lung-cancer-guide-for-radiologists.json,skip_complete,,
out/hardened/lessions learned valves.json,skip_complete,,
out/hardened/management-of-incidental-pulmonary-nodule-fleischner.json,skip_complete,,
out/hardened/medical thoracoscopy step by step.json,skip_complete,,
out/hardened/nd__yag_laser_therapy_in_lung_cancer__an_11_year.6.json,unchanged,,
out/hardened/nebulized TXA review.json,skip_complete,,
out/hardened/normal_saline_versus_hypertonic_saline_for_airway.json,skip_complete,,
out/hardened/percutaneous_endoscopic_gastrostomy__a_practic.json,skip_complete,,
out/hardened/rapid_pleurodesis_in_patients_with_chronic.json,dry-run,doi;issn;issue;journal;url;volume;year_norm,
out/hardened/ratwani-et-al-2025-post-thoracentesis-ultrasound-vs-chest-x-ray-for-the-evaluation-of-effusion-evacuation-and-lung-re.json,dry-run,doi;issn;issue;journal;pages;url;volume;year_norm,
out/hardened/safety_and_clinical_utility_of_flexible.3.json,skip_complete,,
out/hardened/surigicalLVR A randomized trial comparing lung-volume-reduc.json,skip_complete,,
out/hardened/surigicalLVR Consolidating LVRS After Endoscopic LVR Failur.json,skip_complete,,
out/hardened/surigicalLVR Decker-2014-Lung volume reduction surgery sinc.json,skip_complete,,
out/hardened/surigicalLVR Lung Volume Reduction Surgery on Extracorporea.json,skip_complete,,
out/hardened/surigicalLVR Rationale and design of The NETT Trial.json,unchanged,,
out/hardened/tana-et-al-2025-airway-scairway-scaffolds-for-emphysema.json,skip_complete,,
out/hardened/the_impact_of_video_assisted_thoracoscopic_versus.4.json,skip_complete,,
out/hardened/transbronchial ablation Miller.json,skip_complete,,
out/hardened/transbronchial__ablation_NAVABLATE.json,dry-run,doi;issn;issue;journal;pages;url;volume;year_norm,
out/hardened/update_on_airway_stents.json,skip_complete,,
